repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
Scottcjn/Rustchain,javascript,85738d824699877b152c3e12bab67a1a587af498,contracts/erc20/test/WRTC.test.js,<anonymous>_12,before_each,13,22,8,,0,per_test,1,1,0,0,0,0,https://github.com/Scottcjn/Rustchain/blob/85738d824699877b152c3e12bab67a1a587af498/contracts/erc20/test/WRTC.test.js#L13-L22,qwen_coder,agent,feat,"beforeEach(async function () {
    [owner, addr1, addr2, bridgeOperator] = await ethers.getSigners();

    // Deploy contract with 1M initial supply
    initialSupply = ethers.parseUnits(""1000000"", DECIMALS);
    
    const WRTC = await ethers.getContractFactory(""WRTC"");
    wrtc = await WRTC.deploy(initialSupply, bridgeOperator.address);
    await wrtc.waitForDeployment();
  })",2026-03-09,0.8788501026694046,1
Scottcjn/Rustchain,javascript,2587a9d504cc7b1a43c568b8d1c4348d67c74c71,snap/tests/snap.test.js,<anonymous>_14,before_each,15,17,3,,0,per_test,1,1,0,0,0,0,https://github.com/Scottcjn/Rustchain/blob/2587a9d504cc7b1a43c568b8d1c4348d67c74c71/snap/tests/snap.test.js#L15-L17,qwen_coder,agent,feat,"beforeEach(() => {
  mockSnapState = { accounts: [] };
})",2026-03-09,0.8788501026694046,1
Scottcjn/Rustchain,javascript,d2b3dd9eb3d8f75567eff27946301e29e507976d,extension/tests/send-sign-flow.test.js,<anonymous>_97,before_each,98,101,4,,0,per_test,1,1,0,0,0,0,https://github.com/Scottcjn/Rustchain/blob/d2b3dd9eb3d8f75567eff27946301e29e507976d/extension/tests/send-sign-flow.test.js#L98-L101,qwen_coder,agent,feat,"beforeEach(() => {
    mockSnapState = { accounts: [] };
    global.window.ethereum = null;
  })",2026-03-09,0.8788501026694046,1
Scottcjn/Rustchain,javascript,d2b3dd9eb3d8f75567eff27946301e29e507976d,snap/tests/snap-integration.test.js,<anonymous>_72,before_each,73,75,3,,0,per_test,1,1,0,0,0,0,https://github.com/Scottcjn/Rustchain/blob/d2b3dd9eb3d8f75567eff27946301e29e507976d/snap/tests/snap-integration.test.js#L73-L75,qwen_coder,agent,feat,"beforeEach(() => {
    mockSnapState = { accounts: [], transactions: [] };
  })",2026-03-09,0.8788501026694046,1
amd/gaia,javascript,377e1a3cb0550455573f51b94e87a171b9bd9f57,tests/electron/tray-manager.test.cjs,<anonymous>_41,before_each,42,45,4,,0,per_test,1,1,0,0,0,1,https://github.com/amd/gaia/blob/377e1a3cb0550455573f51b94e87a171b9bd9f57/tests/electron/tray-manager.test.cjs#L42-L45,claude,agent,fix,"beforeEach(() => {
  jest.clearAllMocks();
  fs.existsSync.mockReturnValue(true);
})",2026-06-10,1.4784394250513346,1
amd/gaia,javascript,377e1a3cb0550455573f51b94e87a171b9bd9f57,tests/electron/tray-manager.test.cjs,<anonymous>_46,after_each,47,49,3,,0,per_test,1,1,0,0,0,0,https://github.com/amd/gaia/blob/377e1a3cb0550455573f51b94e87a171b9bd9f57/tests/electron/tray-manager.test.cjs#L47-L49,claude,agent,fix,"afterEach(() => {
  setPlatform(ORIGINAL_PLATFORM);
})",2026-06-10,1.4784394250513346,1
aipoch/medical-research-skills,javascript,ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b,scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js,<anonymous>_20,mocha_before,21,28,8,,0,per_test,2,2,1,0,0,1,https://github.com/aipoch/medical-research-skills/blob/ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b/scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js#L21-L28,claude,agent,none,"before(function(done) {
    var out = fs.createWriteStream(testBlobFile);
    for (var i = 0; i < testBlobFileSize / 1024; i += 1) {
      out.write(crypto.pseudoRandomBytes(1024));
    }
    out.end();
    out.on('close', done);
  })",2026-03-23,0.12594113620807665,1
aipoch/medical-research-skills,javascript,ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b,scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js,<anonymous>_28,before_each,29,34,6,,0,per_test,2,2,0,0,0,0,https://github.com/aipoch/medical-research-skills/blob/ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b/scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js#L29-L34,claude,agent,none,"beforeEach(function() {
    try {
      fs.unlinkSync(testOutBlobFile);
    } catch (err) {
    }
  })",2026-03-23,0.12594113620807665,1
aipoch/medical-research-skills,javascript,ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b,scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js,<anonymous>_34,mocha_after,35,41,7,,0,per_test,2,2,0,0,0,0,https://github.com/aipoch/medical-research-skills/blob/ecc27b6cfb4c3b15fb1f2d273ccf2665983eff3b/scientific-skills/Others/html-to-pdf/node_modules/fd-slicer/test/test.js#L35-L41,claude,agent,none,"after(function() {
    try {
      fs.unlinkSync(testBlobFile);
      fs.unlinkSync(testOutBlobFile);
    } catch (err) {
    }
  })",2026-03-23,0.12594113620807665,1
Scottcjn/Rustchain,javascript,85738d824699877b152c3e12bab67a1a587af498,contracts/erc20/test/WRTC.test.js,<anonymous>_12,before_each,13,22,8,,0,per_test,1,1,0,0,0,0,https://github.com/Scottcjn/Rustchain/blob/85738d824699877b152c3e12bab67a1a587af498/contracts/erc20/test/WRTC.test.js#L13-L22,qwen_coder,agent,feat,"beforeEach(async function () {
    [owner, addr1, addr2, bridgeOperator] = await ethers.getSigners();

    // Deploy contract with 1M initial supply
    initialSupply = ethers.parseUnits(""1000000"", DECIMALS);
    
    const WRTC = await ethers.getContractFactory(""WRTC"");
    wrtc = await WRTC.deploy(initialSupply, bridgeOperator.address);
    await wrtc.waitForDeployment();
  })",2026-03-09,0.8788501026694046,1
