repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics,stars,forks,num_contributors,agent_adoption_intensity
FidelusAleksander/ghcertified,javascript,4,1,b730ca705dba550fbb93cc5541033eda6f4abaff,b730ca705dba550fbb93cc5541033eda6f4abaff,https://github.com/FidelusAleksander/ghcertified.git,7,4,3,2023-08-17T06:09:14,"[""certificates"", ""certification"", ""certification-exam"", ""certifications"", ""copilot"", ""free"", ""free-learning"", ""frontend"", ""ghas"", ""github"", ""github-actions"", ""github-administration"", ""github-advanced-security"", ""github-certifications"", ""github-copilot"", ""github-foundations"", ""github-foundations-certification-practice"", ""hugo""]",948,299,68,limited
FradSer/dotclaude,javascript,71,10,0a9d93dc3f619acaacc18e631f1c67da35773304,a9f492b530248ee9370e78583bcdd746072f17e4,https://github.com/FradSer/dotclaude.git,38,16,22,2025-08-04T05:29:10,"[""claude""]",577,48,3,limited
NomaDamas/k-skill,javascript,1,1,00a6d9feaed95fa98d004b637c1939d1bce946ff,00a6d9feaed95fa98d004b637c1939d1bce946ff,https://github.com/NomaDamas/k-skill.git,40,30,10,2026-03-24T04:39:30,[],7066,841,38,consistent
OpenLAIR/dr-claw,javascript,12,3,cb0d01d180685e218e9ebde9e9ee85373f8d1d7a,32bc4b724a15f8b7718fa6c7fa4ed9ae9bfad04d,https://github.com/OpenLAIR/dr-claw.git,14,3,11,2026-02-26T05:03:51,"[""ai-agents"", ""ai-scientist"", ""auto-research"", ""claude-code"", ""claude-science-desktop-alternative"", ""claude-science-free"", ""literature-review"", ""paper-writing"", ""research-assistant""]",1044,117,23,limited
Silentely/eSIM-Tools,javascript,2,1,bb80d3dc0a2ce0c60f9a2788839d7e59c41895f2,bb80d3dc0a2ce0c60f9a2788839d7e59c41895f2,https://github.com/Silentely/eSIM-Tools.git,1,0,1,2025-08-01T10:28:14,"[""esim"", ""giffgaff"", ""simyo"", ""tools""]",2059,215,6,experimental
Wei-Shaw/claude-relay-service,javascript,5,2,11429dc003befc70ec2d4b56862a291e5b4e5de8,63a91dad8f56dbc2b0df3c0d2f3122b71d8d6fcd,https://github.com/Wei-Shaw/claude-relay-service.git,3,1,2,2025-07-14T10:11:32,"[""claude"", ""claude-api"", ""claude-code"", ""claude-proxy"", ""codex-cli"", ""crs"", ""droid"", ""droid-cli"", ""droid2api"", ""gemini-cli""]",12492,1862,89,experimental
agershun/alasql,javascript,92,45,1298c4b49f73491fd192a1df129fe5771dba42af,ec7831fcb0f0f4473ec194132de891b2b823c7ab,https://github.com/agershun/alasql.git,94,22,72,2014-10-26T04:30:37,[],5810,563,66,pervasive
akitaonrails/FrankMD,javascript,114,22,029e3d1b869aacc2bd1d67cba103cfb99a6ca04f,ec71e9fcf8fc7a519ef09b66d04c897c5316ddf0,https://github.com/akitaonrails/FrankMD.git,112,23,89,2026-01-30T02:18:35,[],543,72,11,pervasive
asciidoctor/asciidoctor.js,javascript,6,2,d5541c4ee2bc1fbd0e951c911d7df565144defe6,08184c8df1343fd5815c090de2f03bfeb2bd3b7d,https://github.com/asciidoctor/asciidoctor.js.git,61,21,40,2013-05-19T08:46:05,"[""asciidoc"", ""asciidoctor"", ""hacktoberfest"", ""javascript""]",798,152,32,pervasive
auth0/express-openid-connect,javascript,3,1,4a34780714333b279f37ffb1d8a7ac958ed7b830,4a34780714333b279f37ffb1d8a7ac958ed7b830,https://github.com/auth0/express-openid-connect.git,1,0,1,2018-11-08T10:02:14,"[""dx-sdk"", ""openid"", ""openid-connect""]",517,159,51,experimental
bdeitte/hot-shots,javascript,1,1,b6cb8576b73d74548c35f0e0451b3c29b5f38229,b6cb8576b73d74548c35f0e0451b3c29b5f38229,https://github.com/bdeitte/hot-shots.git,4,2,2,2015-09-24T07:44:19,[],564,144,83,limited
bfirsh/jsnes,javascript,16,7,4c4af69fe7203960bab07370b92864b30791d5f9,86a911aa62c14becf8e560137fbeb3dc554f5fdc,https://github.com/bfirsh/jsnes.git,59,48,11,2009-06-30T06:24:29,"[""6502"", ""emulation"", ""emulator"", ""javascript"", ""nes""]",6413,854,39,consistent
bpmn-io/bpmn-js,javascript,5,2,39da77ce1f8c76eca020c1db3b07049ba3f61425,0395c36d259cbdaad4672119879bd7d439773781,https://github.com/bpmn-io/bpmn-js.git,6,4,2,2014-03-10T12:57:00,"[""bpmn"", ""bpmn-js"", ""browser"", ""hacktoberfest"", ""javascript"", ""modeler"", ""toolkit""]",9628,1483,55,limited
cboard-org/cboard,javascript,5,2,348cc044060cef22a29f571025a44df6c3c93a1c,a8864adf5f3cf75418355abe67d9413f47f9616c,https://github.com/cboard-org/cboard.git,20,14,6,2017-02-10T03:00:45,"[""aac"", ""accessibility"", ""assistive-technology"", ""autism"", ""cerebral-palsy"", ""communication"", ""communication-board"", ""disabilities"", ""javascript"", ""progressive-web-app"", ""react"", ""speech"", ""symbols"", ""text-to-speech"", ""tts""]",746,278,83,limited
cjo4m06/mcp-shrimp-task-manager,javascript,2,1,9973a3dc9b65ed6e9b77e2ae565ff8c32627a0a2,9973a3dc9b65ed6e9b77e2ae565ff8c32627a0a2,https://github.com/cjo4m06/mcp-shrimp-task-manager.git,4,3,1,2025-04-12T08:59:07,"[""agent"", ""ai"", ""codeagent"", ""coding-assistant"", ""cursor-ai"", ""cursorai"", ""mcp"", ""mcp-server"", ""roocode"", ""task-list"", ""task-manager"", ""tasks"", ""thought-processes"", ""windsurf"", ""windsurf-ai""]",1602,180,8,limited
clientio/joint,javascript,8,1,4ee90417ebc81490d736c6da97c2606b57c98d7b,4ee90417ebc81490d736c6da97c2606b57c98d7b,https://github.com/clientio/joint.git,13,0,13,2009-09-11T11:17:53,"[""charts"", ""diagramming"", ""html5"", ""interactive-diagrams"", ""javascript"", ""javascript-library"", ""low-code"", ""no-code"", ""svg"", ""typescript"", ""typescript-library"", ""visual-applications"", ""visualization""]",5332,885,82,consistent
cloudflare/wrangler2,javascript,29,14,07c8611b69721e8aa1300ba209dc45a75173e1d7,6e0bf6e917bf4a2b9cd3ee741e625174075e38e1,https://github.com/cloudflare/wrangler2.git,117,62,55,2021-11-10T02:45:40,[],645,99,54,limited
codeceptjs/codeceptjs,javascript,16,9,75bf99ec57017331421c3331fdbe9490196fe086,45ad5b09e44def5dcbe02611ec88e73228156f10,https://github.com/codeceptjs/codeceptjs.git,60,24,36,2015-11-22T01:14:36,"[""acceptance-testing"", ""bdd"", ""bdd-framework"", ""codeceptjs"", ""e2e-tests"", ""end-to-end-testing"", ""graphql-testing"", ""hacktoberfest"", ""javascript"", ""nodejs"", ""pageobject"", ""playwright"", ""selenium"", ""selenium-webdriver"", ""testing"", ""webdriver"", ""webdriverio""]",4235,758,389,consistent
countly/countly-server,javascript,19,12,93dc057b3db24ed8a85c4ae1c8647fe56d575db3,6172b93388f1bae22b3669f749e5044a2831e708,https://github.com/countly/countly-server.git,70,26,44,2012-05-28T06:48:40,"[""ai"", ""analytics"", ""coppa"", ""crash-analytics"", ""customer-engagement"", ""dashboard"", ""data-ownership"", ""data-privacy"", ""digital-analytics"", ""feature-flags"", ""gdpr"", ""hipaa"", ""insights"", ""mobile-analytics"", ""push-notifications"", ""remote-configuration"", ""tracking"", ""user-feedback"", ""user-journeys"", ""web-analytics""]",5887,981,92,limited
covibes/zeroshot,javascript,25,9,fe242cc49c41e8f6c2e0eee809f361ea4b76796f,8e8d4d83d1c2e6d75420cff2d159f0e80d1351ed,https://github.com/covibes/zeroshot.git,48,26,22,2025-12-25T05:12:45,"[""agent-orchestration"", ""agentic-workflow"", ""ai-agent"", ""ai-agents"", ""autonomous-agents"", ""claude"", ""cli"", ""codex"", ""coding-assistant"", ""developer-tools"", ""gemini"", ""generative-ai"", ""github-automation"", ""llm"", ""llm-ops"", ""llm-tools"", ""multi-agent"", ""vibecoding""]",1500,127,6,consistent
ctrlplusb/easy-peasy,javascript,1,1,08add2db65e00bc9262abbb1920383a61e512949,08add2db65e00bc9262abbb1920383a61e512949,https://github.com/ctrlplusb/easy-peasy.git,8,4,4,2018-10-21T08:52:18,"[""hooks"", ""immer"", ""immutable"", ""react"", ""react-hooks"", ""redux"", ""state-management""]",5043,190,67,pervasive
