repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics,stars,forks,num_contributors,agent_adoption_intensity
15r10nk/inline-snapshot,python,0,0,,,https://github.com/15r10nk/inline-snapshot.git,4,3,1,2022-07-25T04:57:35,"[""approval-testing"", ""golden-master"", ""pytest"", ""pytest-plugin"", ""python"", ""snapshot"", ""snapshot-plugin"", ""snapshot-test"", ""snapshot-testing"", ""snapshot-tests"", ""snapshottest"", ""testing""]",748,28,17,limited
AgriciDaniel/claude-ads,python,4,1,8ed6da17e39a978f56776df899a1680518c9a6a1,8ed6da17e39a978f56776df899a1680518c9a6a1,https://github.com/AgriciDaniel/claude-ads.git,3,2,1,2026-02-11T01:01:49,"[""agent-skills"", ""ai"", ""ai-marketing"", ""claude-code"", ""claude-code-skill"", ""google-ads"", ""marketing-automation"", ""meta-ads"", ""open-source"", ""paid-advertising"", ""ppc""]",7081,1054,2,limited
AgriciDaniel/claude-seo,python,0,0,,,https://github.com/AgriciDaniel/claude-seo.git,27,7,20,2026-02-07T08:17:38,"[""ai"", ""ai-seo"", ""claude-code"", ""claude-code-skill"", ""marketing-automation"", ""open-source"", ""seo""]",12872,1888,12,consistent
24kchengYe/MemoMind,python,0,0,,,https://github.com/24kchengYe/MemoMind.git,0,0,0,2026-03-15T05:10:02,"[""agent-memory"", ""ai"", ""claude-code"", ""llm"", ""local-first"", ""mcp"", ""memory""]",689,10,2,no_commits
AgriciDaniel/claude-blog,python,6,4,1c9edd19eec57cc9650ec34d64a7dfb94a6594a9,f9ff6eeab19c2d34399fa067d3a801e7251cde6e,https://github.com/AgriciDaniel/claude-blog.git,32,14,18,2026-02-17T10:40:44,"[""agent-skills"", ""ai"", ""ai-citations"", ""ai-content"", ""ai-marketing"", ""ai-marketing-hub"", ""blog"", ""blog-writing"", ""claude-code"", ""claude-code-skill"", ""claude-plugin"", ""claude-skill"", ""content-creation"", ""content-optimization"", ""content-strategy"", ""eeat"", ""geo"", ""multilingual"", ""open-source"", ""seo""]",1532,266,2,consistent
AlphaGPU/leetgpu-challenges,python,0,0,,,https://github.com/AlphaGPU/leetgpu-challenges.git,0,0,0,2025-07-20T06:11:44,[],1044,121,26,no_commits
Archmonger/django-dbbackup,python,2,2,6869166c4b8c863d831b1d82e1f17477a7a6da3c,099ac5d54d57f5e4903ca9e1890c16159e762c28,https://github.com/Archmonger/django-dbbackup.git,20,10,10,2014-12-29T02:39:34,"[""backup"", ""django"", ""mongodb"", ""mysql"", ""postgresql"", ""sqlite""]",1111,218,73,pervasive
Ar9av/obsidian-wiki,python,0,0,,,https://github.com/Ar9av/obsidian-wiki.git,1,1,0,2026-04-06T06:20:10,"[""agent-skills"", ""brain"", ""knowledge-base"", ""llm-tools"", ""obsidian"", ""obsidian-brain"", ""wiki""]",3149,320,19,experimental
Alishahryar1/free-claude-code,python,0,0,,,https://github.com/Alishahryar1/free-claude-code.git,24,19,5,2026-01-28T07:02:30,[],44945,7433,39,limited
Aiven-Open/karapace,python,0,0,,,https://github.com/Aiven-Open/karapace.git,0,0,0,2019-01-07T10:39:05,"[""kafka"", ""rest-proxy"", ""schema-registry""]",625,106,62,no_commits
AutoForgeAI/autoforge,python,0,0,,,https://github.com/AutoForgeAI/autoforge.git,0,0,0,2025-12-30T05:01:32,[],1766,411,25,no_commits
1517005260/graph-rag-agent,python,0,0,,,https://github.com/1517005260/graph-rag-agent.git,1,1,0,2025-02-12T03:11:51,"[""agentic-rag"", ""chain-of-exploration"", ""deepresearch"", ""deepsearch"", ""evaluation"", ""graphrag"", ""graphsearch"", ""kg"", ""lightrag"", ""reasoning"", ""think-on-graph""]",1410,196,1,experimental
1bananachicken/MaaNTE,python,0,0,,,https://github.com/1bananachicken/MaaNTE.git,0,0,0,2026-04-26T12:42:30,"[""computer-vision"", ""maaframework"", ""neverness-to-everness"", ""neverness-to-everness-software"", ""nte""]",2636,192,24,no_commits
Arize-ai/openinference,python,5,1,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,https://github.com/Arize-ai/openinference.git,46,29,17,2023-12-26T05:33:58,"[""aiops"", ""gemini"", ""hacktoberfest"", ""haystack"", ""langchain"", ""langraph"", ""llamaindex"", ""llmops"", ""llms"", ""mcp"", ""openai"", ""openai-agents"", ""opentelemetry"", ""pydantic-ai"", ""smolagents"", ""telemetry"", ""tracing"", ""vercel"", ""vertex""]",1136,287,125,limited
BeehiveInnovations/gemini-mcp-server,python,2,1,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,https://github.com/BeehiveInnovations/gemini-mcp-server.git,74,62,12,2025-06-08T03:36:50,[],547,61,2,consistent
AxDSan/mnemosyne,python,62,29,655202ca7b78daf72f9c3c367af1cd8c2b59449b,fd05d85ef3d872fe86c32a0e6d9c337581050edb,https://github.com/AxDSan/mnemosyne.git,88,35,53,2026-04-05T02:59:04,"[""agents"", ""ai"", ""hermes"", ""hermes-agent"", ""ml"", ""nousresearch""]",1262,116,37,consistent
ArcadeAI/arcade-mcp,python,0,0,,,https://github.com/ArcadeAI/arcade-mcp.git,0,0,0,2024-04-26T10:25:48,"[""ai"", ""arcade"", ""arcade-ai"", ""claude"", ""claude-code"", ""claude-mcp"", ""mcp"", ""mcp-framework"", ""mcp-gateway"", ""mcp-runtime"", ""mcp-server"", ""mcp-servers"", ""mcp-tools"", ""mcpserver"", ""model-context-protocol"", ""model-context-protocol-sdk"", ""python""]",982,101,27,no_commits
BeehiveInnovations/zen-mcp-server,python,0,0,,,https://github.com/BeehiveInnovations/zen-mcp-server.git,0,0,0,2025-06-08T03:36:50,[],9700,822,31,no_commits
3dg1luk43/ha_washdata,python,11,7,2a2f02a78a1a2140b7ed7f82e19ac965afe247cc,13b602414026aaa9757695adf6a8db7bd82c2526,https://github.com/3dg1luk43/ha_washdata.git,90,29,61,2025-12-07T01:47:54,"[""appliance-monitoring"", ""automation"", ""custom-components"", ""dishwasher"", ""dryer"", ""energy-monitoring"", ""hacs"", ""home-assistant"", ""iot"", ""numpy"", ""power-profile"", ""smart-plug"", ""time-remaining"", ""washing-machine""]",1153,38,12,consistent
ArcadeAI/arcade-ai,python,2,1,f537771f296c6cab91fe403964ce45b28357cd72,f537771f296c6cab91fe403964ce45b28357cd72,https://github.com/ArcadeAI/arcade-ai.git,17,11,6,2024-04-26T10:25:48,"[""agent"", ""ai"", ""arcade"", ""arcade-ai"", ""artificial-intelligence"", ""langchain"", ""langgraph"", ""llm"", ""llm-tool-call"", ""llm-tools"", ""mcp"", ""mcp-client"", ""mcp-servers"", ""mcp-tools"", ""openai"", ""toolcalling""]",657,68,16,limited
BeehiveInnovations/pal-mcp-server,python,0,0,,,https://github.com/BeehiveInnovations/pal-mcp-server.git,0,0,0,2025-06-08T03:36:50,[],10510,893,32,no_commits
BlueManCZ/hyprmod,python,0,0,,,https://github.com/BlueManCZ/hyprmod.git,0,0,0,2026-03-27T01:23:16,"[""configuration"", ""desktop-customization"", ""gtk4"", ""gui"", ""hyprland"", ""hyprland-config"", ""libadwaita"", ""linux"", ""python"", ""rice"", ""wayland""]",877,22,7,no_commits
Auriti-Labs/geo-optimizer-skill,python,16,5,e82b2167e2f4dfff64eff35be65e3e73101059d5,57fa0ef5592796e76ec384ebe9b9aa275f995ab8,https://github.com/Auriti-Labs/geo-optimizer-skill.git,75,39,36,2026-02-18T04:55:11,"[""aeo"", ""ai-search-optimization"", ""ai-seo"", ""ai-visibility"", ""answer-engine-optimization"", ""astro"", ""chatgpt"", ""citation-tracking"", ""claude"", ""cli"", ""gemini"", ""generative-engine-optimization"", ""geo"", ""llm-seo"", ""llms-txt"", ""mcp"", ""perplexity"", ""python"", ""schema-markup"", ""seo""]",654,83,2,consistent
CelestoAI/SmolVM,python,10,9,57923526fadf1d663e78c248f33a365ce3bfa5f9,e008d88f6c6eb32189351dffe68aaf0a7490ed24,https://github.com/CelestoAI/SmolVM.git,110,72,38,2026-02-15T12:31:08,"[""agent-runtime"", ""browser-agent"", ""browser-use"", ""computer-use"", ""openclaw"", ""sandbox""]",745,58,14,pervasive
