repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics,stars,forks,num_contributors,agent_adoption_intensity
4regab/TaskSync,typescript,0,0,,,https://github.com/4regab/TaskSync.git,0,0,0,2025-07-13T07:16:16,[],638,38,10,no_commits
195440/nof1.ai,typescript,0,0,,,https://github.com/195440/nof1.ai.git,0,0,0,2025-10-27T04:58:37,"[""ai-auto-trading"", ""ai-trader"", ""al-trading"", ""alpha-arena"", ""clawdbot"", ""moltbot"", ""nof1"", ""nofx"", ""openclaw"", ""valuecell""]",669,197,6,no_commits
027xiguapi/code-box,typescript,0,0,,,https://github.com/027xiguapi/code-box.git,0,0,0,2024-07-09T08:22:45,[],3235,201,1,no_commits
0xGF/boneyard,typescript,3,3,6a6e91f037d062a24146defd688808da5a1baa77,53f0f7d3ca5772ccca9927100ea23d67a01fd223,https://github.com/0xGF/boneyard.git,9,2,7,2026-04-01T03:25:45,[],6045,236,15,limited
404-novel-project/novel-downloader,typescript,0,0,,,https://github.com/404-novel-project/novel-downloader.git,0,0,0,2021-04-07T03:38:32,"[""novel"", ""novel-downloader""]",1835,152,20,no_commits
21st-dev/1code,typescript,0,0,,,https://github.com/21st-dev/1code.git,0,0,0,2026-01-14T02:12:40,[],5207,555,19,no_commits
1st1/lat.md,typescript,6,2,a6b79378e590b2a568cfa26f73a1f8578d09a867,d0e40ac124c0f7d07f51d11485a83ba1a00320f2,https://github.com/1st1/lat.md.git,32,19,13,2026-03-09T08:26:00,[],1805,113,3,consistent
AHS12/thoth-blueprint,typescript,0,0,,,https://github.com/AHS12/thoth-blueprint.git,0,0,0,2025-09-07T07:17:59,"[""database-design"", ""database-visualization"", ""indexeddb"", ""offline"", ""pwa-app"", ""reactjs"", ""sql"", ""typescript"", ""zustand""]",622,53,3,no_commits
1weiho/open-slide,typescript,1,1,f5a60ade563dd9e80f0ecb02fe696cb8bb70968c,f5a60ade563dd9e80f0ecb02fe696cb8bb70968c,https://github.com/1weiho/open-slide.git,27,13,14,2026-04-26T10:04:20,"[""agent"", ""react"", ""slides""]",6098,434,17,consistent
7as0nch/mimo2codex,typescript,0,0,,,https://github.com/7as0nch/mimo2codex.git,12,6,6,2026-05-07T08:39:38,"[""codex"", ""deepseek"", ""macos"", ""mimo"", ""mimo2codex"", ""minimax"", ""npm"", ""windows""]",622,64,8,consistent
AI-Prompt-Genius/AI-Prompt-Genius,typescript,0,0,,,https://github.com/AI-Prompt-Genius/AI-Prompt-Genius.git,1,0,1,2022-12-09T04:54:10,"[""ai"", ""browser-extension"", ""chatgpt"", ""chrome-extension""]",1298,182,2,limited
AIPexStudio/AIPex,typescript,0,0,,,https://github.com/AIPexStudio/AIPex.git,0,0,0,2024-08-22T03:02:28,"[""accessbility-testing"", ""agent-browser"", ""agent-skills"", ""browser-automation"", ""browser-use"", ""chatgpt-atlas-alternative"", ""chrome-extension"", ""claude-chrome"", ""gemini-chrome"", ""mcp"", ""openclaw-alternative"", ""tab-management""]",1230,128,9,no_commits
0x2E/fusion,typescript,0,0,,,https://github.com/0x2E/fusion.git,0,0,0,2024-03-06T08:43:43,"[""rss"", ""rss-aggregator"", ""rss-reader"", ""self-hosted""]",2145,86,16,no_commits
Agent-3-7/minions,typescript,0,0,,,https://github.com/Agent-3-7/minions.git,0,0,0,2026-05-02T05:15:34,[],546,54,2,no_commits
AVIDS2/memorix,typescript,0,0,,,https://github.com/AVIDS2/memorix.git,2,2,0,2026-02-14T06:53:17,"[""agent-memory"", ""ai-coding"", ""antigravity"", ""claude-code"", ""codex"", ""coding-agents"", ""copilot"", ""cross-agent-memory"", ""cursor"", ""gemini-cli"", ""hermes-agent"", ""local-first"", ""mcp"", ""mcp-server"", ""model-context-protocol"", ""oh-my-pi"", ""openclaw"", ""opencode"", ""typescript"", ""windsurf""]",612,46,6,experimental
0-AI-UG/cate,typescript,3,1,40759e31878f18acc8f1471bc4d58bd708fd24d3,40759e31878f18acc8f1471bc4d58bd708fd24d3,https://github.com/0-AI-UG/cate.git,11,5,6,2026-03-29T02:49:51,[],2049,130,19,limited
AgentDock/AgentDock,typescript,3,1,50b942bcab405be0e559fb593640b972f50ac890,50b942bcab405be0e559fb593640b972f50ac890,https://github.com/AgentDock/AgentDock.git,2,1,1,2025-02-21T02:29:23,"[""agentic-ai"", ""agentic-framework"", ""ai-agents"", ""llm"", ""natural-language-inference"", ""nextjs"", ""typescript"", ""workflows""]",1646,112,11,experimental
AdventDevInc/kudu,typescript,25,4,d14656806554234a333776c4f4a0e5a619a99019,d8d87dad960951d0ae3b0976e2002f6198fd1664,https://github.com/AdventDevInc/kudu.git,43,22,21,2026-03-14T05:38:51,"[""ccleaner-alternative"", ""cleaner"", ""free"", ""hardening"", ""kudu"", ""linux-cleaner"", ""mac-cleaner"", ""malware-detection"", ""open-source"", ""pc-optimization"", ""performance"", ""privacy"", ""scanner"", ""security"", ""startup-manager"", ""system-cleaner"", ""system-maintenance"", ""windows-cleaner""]",1995,157,4,consistent
777genius/agent-teams-ai,typescript,0,0,,,https://github.com/777genius/agent-teams-ai.git,0,0,0,2026-02-21T08:14:44,"[""agent-orchestration"", ""agent-teams"", ""agent-to-agent"", ""ai-agents"", ""claude"", ""claude-code"", ""codex"", ""coding-agent"", ""cursor"", ""developer-tools"", ""electron"", ""github-copilot"", ""kiro"", ""llm"", ""mcp-server"", ""multi-agent"", ""multi-agent-systems"", ""openai"", ""opencode"", ""typescript""]",1862,323,26,no_commits
AlmanacCode/codealmanac,typescript,5,2,ef3fc6bebe5c83419ea88d64a3715543c4da95f7,6086fed5400e911dc29cb21919a3c1fe6e79d80f,https://github.com/AlmanacCode/codealmanac.git,13,9,4,2026-04-16T05:31:42,"[""ai"", ""claude"", ""cli"", ""codebase"", ""codex"", ""coding-agents"", ""developer-tools"", ""documentation"", ""knowledge-base"", ""typescript"", ""wiki""]",688,64,5,limited
AIDotNet/OpenCowork,typescript,0,0,,,https://github.com/AIDotNet/OpenCowork.git,18,8,10,2026-02-10T01:46:40,[],596,121,11,limited
AmoyLab/Unla,typescript,0,0,,,https://github.com/AmoyLab/Unla.git,0,0,0,2025-04-15T08:51:28,"[""awesome"", ""mcp"", ""mcp-adapter"", ""mcp-gateway"", ""mcp-server"", ""rest-to-mcp"", ""restful-to-mcp""]",2195,179,20,no_commits
Adam-CAD/CADAM,typescript,0,0,,,https://github.com/Adam-CAD/CADAM.git,2,0,2,2025-09-01T05:53:58,"[""agents"", ""ai"", ""ai-agents"", ""cad"", ""llms"", ""mechnical-engineering"", ""openscad"", ""react"", ""robotics"", ""stl"", ""text-to-cad"", ""wasm""]",4935,611,10,experimental
47ng/nuqs,typescript,0,0,,,https://github.com/47ng/nuqs.git,0,0,0,2020-05-11T03:52:32,"[""query-params"", ""react"", ""search-params"", ""state-management"", ""type-safe"", ""type-safety"", ""url-parameters"", ""url-params"", ""url-state""]",10727,290,73,no_commits
AndyMik90/Aperant,typescript,0,0,,,https://github.com/AndyMik90/Aperant.git,0,0,0,2025-12-04T10:10:37,[],14356,1931,24,no_commits
AIDC-AI/ComfyUI-Copilot,typescript,0,0,,,https://github.com/AIDC-AI/ComfyUI-Copilot.git,0,0,0,2025-02-14T09:02:28,"[""agent"", ""ai"", ""comfy-ui"", ""comfyui"", ""comfyui-nodes"", ""copilot"", ""deepseek"", ""deepseek-v3"", ""flux"", ""gpt-4"", ""llm-agent"", ""rag"", ""stable-diffusion""]",4985,309,12,no_commits
AprilNEA/AChat,typescript,0,0,,,https://github.com/AprilNEA/AChat.git,0,0,0,2023-04-26T11:15:19,"[""agent"", ""ai"", ""chat"", ""chatbot"", ""claude"", ""deepseek"", ""enterprise-solutions"", ""gemini"", ""llm-client"", ""openai"", ""self-hosted""]",3257,1166,9,no_commits
Afilmory/Afilmory,typescript,0,0,,,https://github.com/Afilmory/Afilmory.git,1,0,1,2025-06-05T05:16:03,"[""exif"", ""hono"", ""live-photo"", ""photo-gallery"", ""photography"", ""react"", ""s3"", ""self-hosted"", ""typescript"", ""vite""]",2580,322,24,experimental
419Labs/starknet-ecosystem.com,typescript,0,0,,,https://github.com/419Labs/starknet-ecosystem.com.git,0,0,0,2022-02-28T02:50:20,"[""community"", ""ecosystem-dashboard"", ""ecosystem-starknet"", ""starknet"", ""starkware""]",563,488,209,no_commits
777genius/agent_teams_ai,typescript,0,0,,,https://github.com/777genius/agent_teams_ai.git,0,0,0,2026-02-21T08:14:44,"[""agent-teams"", ""ai"", ""ai-agents"", ""ai-assistant"", ""ai-tools"", ""anthropic"", ""claude"", ""claude-ai"", ""claude-code"", ""codex"", ""developer-tools"", ""electron"", ""llm"", ""mcp"", ""multi-agent"", ""openai"", ""opencode"", ""react"", ""team-management"", ""typescript""]",870,192,14,no_commits
AprilNEA/AdminChat,typescript,0,0,,,https://github.com/AprilNEA/AdminChat.git,0,0,0,2023-04-26T11:15:19,"[""ai-system"", ""chatgpt"", ""gpt-4"", ""llm"", ""llvm"", ""newbing"", ""nextjs"", ""postgresql"", ""prisma"", ""prompt"", ""user-management"", ""webui""]",3238,1220,9,no_commits
Auto-Plugin/milkup,typescript,0,0,,,https://github.com/Auto-Plugin/milkup.git,0,0,0,2025-07-16T07:49:12,"[""markdown"", ""milkup""]",900,69,14,no_commits
777genius/claude_agent_teams_ui,typescript,1,1,edf0e0bd3932eb5d47a50a9136c2b916ac690fa1,edf0e0bd3932eb5d47a50a9136c2b916ac690fa1,https://github.com/777genius/claude_agent_teams_ui.git,17,2,15,2026-02-21T08:14:44,"[""agent-teams"", ""ai"", ""ai-agents"", ""ai-assistant"", ""ai-tools"", ""anthropic"", ""claude"", ""claude-ai"", ""claude-code"", ""codex"", ""developer-tools"", ""electron"", ""llm"", ""mcp"", ""multi-agent"", ""openai"", ""opencode"", ""react"", ""team-management"", ""typescript""]",829,185,14,experimental
ArnasDon/wacrm,typescript,46,16,db11f76226203caaa64787334df645b4f151d8e8,14664335d67fc8dc43330c3d92477e7a62ac3073,https://github.com/ArnasDon/wacrm.git,54,16,38,2026-04-16T02:04:40,"[""crm"", ""nextjs"", ""no-code"", ""sales-pipeline"", ""self-hosted"", ""shared-inbox"", ""supabase"", ""typescript"", ""whatsapp"", ""whatsapp-business-api""]",1833,4885,12,consistent
Ashutoshx7/VengenceUI,typescript,0,0,,,https://github.com/Ashutoshx7/VengenceUI.git,0,0,0,2025-10-15T09:03:20,[],911,68,13,no_commits
AxaFrance/oidc-client,typescript,7,4,f35ae0174664ea8abcc6c79b608958d0b2164636,416a1b52c64e8d9c764f605f19c8a21fe3a5f467,https://github.com/AxaFrance/oidc-client.git,7,2,5,2018-09-19T02:18:21,"[""axa"", ""context-api"", ""front-end-development"", ""javascript"", ""js"", ""library"", ""nextjs"", ""oauth2"", ""oidc-client"", ""ope"", ""openid"", ""openid-client"", ""openid-connect"", ""react"", ""reactjs"", ""redux"", ""security""]",676,169,63,limited
BingZi-233/check-cx,typescript,0,0,,,https://github.com/BingZi-233/check-cx.git,0,0,0,2025-11-11T01:15:48,[],626,136,6,no_commits
BetterTyped/react-zoom-pan-pinch,typescript,0,0,,,https://github.com/BetterTyped/react-zoom-pan-pinch.git,0,0,0,2019-07-14T02:34:27,"[""figma"", ""gesture"", ""html-manipulation"", ""miro"", ""pan"", ""pinch"", ""react"", ""react-component"", ""svg"", ""zoom"", ""zoomin"", ""zoomout""]",1906,303,54,no_commits
BigSweetPotatoStudio/HyperChat,typescript,0,0,,,https://github.com/BigSweetPotatoStudio/HyperChat.git,1,0,1,2024-12-14T06:46:41,"[""agent"", ""chat-application"", ""llm"", ""local-agent"", ""mcp"", ""modelcontextprotocol""]",658,71,5,experimental
BlockRunAI/Franklin,typescript,2,1,751b6bcb684e1d536b92fbcdcc2978c2d50ecf91,751b6bcb684e1d536b92fbcdcc2978c2d50ecf91,https://github.com/BlockRunAI/Franklin.git,6,2,4,2026-03-22T05:57:55,"[""ai-agent"", ""ai-marketing"", ""ai-trading"", ""autonomous-agent"", ""autonomous-economic-agent"", ""blockrun"", ""crypto-native"", ""franklin"", ""llm-agent"", ""micropayments"", ""multi-model"", ""pay-per-action"", ""runcode"", ""typescript"", ""usdc"", ""wallet"", ""wallet-native"", ""x402""]",631,53,6,experimental
AutoMaker-Org/automaker,typescript,51,8,23ff99d2e2b14bb8ec9f94b470578dec0a6f1acf,71a0309a0b34783f902dc6489630d8bca6484da1,https://github.com/AutoMaker-Org/automaker.git,72,45,27,2025-12-07T09:42:08,[],3155,595,43,limited
Ashutoshx7/VengeanceUI,typescript,0,0,,,https://github.com/Ashutoshx7/VengeanceUI.git,0,0,0,2025-10-15T09:03:20,[],1012,82,21,no_commits
Brandawg93/PeaNUT,typescript,0,0,,,https://github.com/Brandawg93/PeaNUT.git,14,14,0,2023-08-31T01:36:37,"[""nextjs"", ""nut"", ""ups""]",1616,45,17,limited
BradGroux/veritas-kanban,typescript,9,3,a5f54d6d4ccc7f8fd4226064fcd67701751a15d9,4d7c29b73a13c3b1fb7417c239fb2928e9bb38f5,https://github.com/BradGroux/veritas-kanban.git,10,7,3,2026-01-26T08:35:20,"[""agents"", ""ai-agents"", ""codex"", ""design-thinking"", ""developer-tools"", ""devops"", ""devops-tools"", ""hermes"", ""kanban"", ""local-first"", ""openclaw"", ""pino"", ""project-management"", ""react"", ""scrum"", ""scrum-board"", ""task-management"", ""task-manager"", ""typescript"", ""vite""]",808,99,10,experimental
BlockRunAI/ClawRouter,typescript,0,0,,,https://github.com/BlockRunAI/ClawRouter.git,0,0,0,2026-02-03T05:32:00,"[""ai"", ""ai-agents"", ""anthropic"", ""cost-optimization"", ""deepseek"", ""gemini"", ""llm"", ""llm-router"", ""micropayments"", ""openai"", ""openclaw"", ""smart-routing"", ""stablecoin-payment"", ""stablecoin-payments"", ""usdc"", ""x402""]",6682,634,21,no_commits
CameronFoxly/Ascii-Motion,typescript,5,3,9828229fe9becbde7f021f12a3b70f485e1ed65f,c9d8da000e1a74d91fc090e8656dd532e20f8eb2,https://github.com/CameronFoxly/Ascii-Motion.git,9,4,5,2025-09-03T04:26:39,[],834,53,6,experimental
23blocks-OS/ai-maestro,typescript,40,14,c5017012365ae1c0128b522a1a3f73dea46734e0,443dd39e8880da7dd058d45e0a68cc7d2e3ef3c0,https://github.com/23blocks-OS/ai-maestro.git,38,15,23,2025-10-10T12:17:03,"[""agent-communication"", ""agent-skills"", ""agentic-ai"", ""ai-agents"", ""ai-coding-assistant"", ""ai-memory"", ""ai-orchestration"", ""ai-workforce"", ""autonomous-agents"", ""claude-code"", ""claude-code-plugins"", ""claude-code-skills"", ""clawdbot"", ""code-graph"", ""developer-tools"", ""multi-agent-systems"", ""openclaw"", ""pair-programming"", ""plugin-builder"", ""tmux""]",738,93,7,limited
ChartGPU/ChartGPU,typescript,6,2,c1e38a5db315839a368e2442f55d6076ea1a4da3,fa52052279a8b3cd1b0c5ce1886e69e024d458d1,https://github.com/ChartGPU/ChartGPU.git,5,2,3,2026-01-17T12:52:00,"[""awesome-list"", ""candlestick-chart"", ""chart-library"", ""charting-library"", ""charts"", ""data-analysis"", ""data-visualization"", ""financial-charts"", ""gpu"", ""high-performance"", ""open-source"", ""scatter-plot"", ""shaders"", ""typescript"", ""webgpu"", ""wgsl""]",3173,99,5,experimental
AhmedElywa/prisma-tools,typescript,0,0,,,https://github.com/AhmedElywa/prisma-tools.git,0,0,0,2020-04-12T12:18:36,"[""apollo"", ""crud"", ""graphql-modules"", ""graphql-schema"", ""graphql-server"", ""nexus-framework"", ""prisma"", ""prisma-admin"", ""prisma-client"", ""prisma-framework"", ""sdl"", ""typescript""]",700,59,21,no_commits
ChatLab/ChatLab,typescript,0,0,,,https://github.com/ChatLab/ChatLab.git,0,0,0,2025-11-26T05:54:26,"[""ai-agent"", ""ai-agents"", ""chat-analyzer"", ""chat-history"", ""data-analysis"", ""data-visualization""]",7097,1484,18,no_commits
AndyMik90/Auto-Claude,typescript,144,29,9b472e497948d86bbdb0b85f9bb95081300ccb27,53b55468c96ee74dcfcce8fd714eb5d64624b3c3,https://github.com/AndyMik90/Auto-Claude.git,164,95,69,2025-12-04T10:10:37,[],13028,1779,24,consistent
