commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
a4c1a42dc834708ef8f5f167c8a2057fbc1add2f,agershun/alasql,alasql/alasql,javascript,2,5810,7282
5217f44d4380516d07fa661345a0cc93ac402ba7,agershun/alasql,alasql/alasql,javascript,2,5810,7282
0029abebab248ffe4b2b96be685503fdbb2ede53,agershun/alasql,alasql/alasql,javascript,2,5810,7282
2cf087574c9d5db1ca0afab7bcbc8e2d4b59aab7,agershun/alasql,alasql/alasql,javascript,2,5810,7282
088e1109b0e89c703c53609b42b6a9b4e1039102,agershun/alasql,alasql/alasql,javascript,2,5810,7282
8d9f37c862a831b9ff474969439b035ae775998f,agershun/alasql,alasql/alasql,javascript,2,5810,7282
4992fcb164ebb91b8d9555f0a8f0f90657f37d0c,agershun/alasql,alasql/alasql,javascript,2,5810,7282
569dfd7260df09ade6964125a9d29c97ea38439e,squaremo/amqp.node,amqp-node/amqplib,javascript,2,3062,3837
71854d402dceff8cbf15e6ee9c059d9079ebd065,andris9/imapapi,postalsys/emailengine,javascript,3,886,2192
71854d402dceff8cbf15e6ee9c059d9079ebd065,postalsys/imapapi,postalsys/emailengine,javascript,3,925,2192
5a41a88e2f3dce1a7d76810c5ad008bc7bfdcd56,beatai-org/beatai,genesislab-io/beatai,javascript,2,4679,4692
5f5f7e4f8aebe18b59d0be9148385aa67e6da267,beatai-org/beatai,genesislab-io/beatai,javascript,2,4679,4692
14de11574f7490853411eefc229218e2223aca9c,beatai-org/beatai,genesislab-io/beatai,javascript,2,4679,4692
2797ffa09d97c6b361eea8a77013f72438d2f587,beatai-org/beatai,genesislab-io/beatai,javascript,2,4679,4692
b3bb24a1d0b2a7f5a1705719714b412f119fbbaf,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
d79dd89ad5c288baf8e912ea72f471088ae9f37d,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
f3e5e01b87157d78dd806ef2535e0b4bdfe63345,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
3e4e86b6113a85568f8eb89d8fda8044742543a6,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
26e1160ed78255ac0d191484a527e170901661c7,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
34d64e5028aee91a22a1cd1d8490c1c64105a7cd,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
caf83e386faa9133df70460f266fc27ab323082b,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
751f09f7f0ce94d2e53e629ceb74c86f59cdb3cd,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
a68ac9205c5e51b5f7758135a23ba31236eb635a,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
0e8baf278e4105ae019929138956938cd5189035,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
8c7ffb6cdbd81f8c730a9467806b03462b009800,trueadm/ripple,Ripple-TS/ripple,javascript,2,5775,7388
7ce3e233065a3431930c9506c5ef9fb188e1c9f3,SynkraAI/aios-core,SynkraAI/aiox-core,javascript,2,1422,2968
6ba8db8fa1573190123915847cf6062c385480bd,SynkraAI/aios-core,SynkraAI/aiox-core,javascript,2,1422,2968
