repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
1095071913/maozi-cloud-parent,1,java,1351,https://github.com/1095071913/maozi-cloud-parent.git,1,,,2026-07-29T03:04:33.555386+00:00,2019-08-15T09:24:01,"[""devops"", ""k8s"", ""serverless"", ""servermesh"", ""springcloudalibaba""]"
AlexProgrammerDE/SoulFire,1,java,505,https://github.com/AlexProgrammerDE/SoulFire.git,18,,,2026-07-29T03:04:33.555386+00:00,2021-07-18T08:51:24,"[""bot"", ""minecraft"", ""minecraft-bot"", ""minecraft-bot-attack"", ""minecraft-botting"", ""stress-testing""]"
AugmentOS-Community/AugmentOS,1,java,537,https://github.com/AugmentOS-Community/AugmentOS.git,24,,,2026-07-29T03:04:33.555386+00:00,2023-08-12T07:18:38,"[""activelook"", ""conversational-ai"", ""rayneo"", ""smart-glasses"", ""smartglasses"", ""vuzix"", ""vuzix-shield"", ""vuzix-ultralite"", ""wearable"", ""wearables""]"
AxonIQ/AxonFramework,1,java,3592,https://github.com/AxonIQ/AxonFramework.git,184,,,2026-07-29T03:04:33.555386+00:00,2011-12-02T04:04:42,"[""cqrs"", ""dcb"", ""ddd"", ""domain-driven-design"", ""domaindrivendesign"", ""dynamic-consistency-boundary"", ""dynamicconsistencyboundary"", ""event-sourcing"", ""java"", ""message-driven"", ""performance"", ""scalability""]"
Canner/wren-engine,1,java,661,https://github.com/Canner/wren-engine.git,30,,,2026-07-29T03:04:33.555386+00:00,2022-05-09T07:07:45,"[""agent"", ""agentic-ai"", ""ai"", ""business-intelligence"", ""data"", ""data-analysis"", ""data-analytics"", ""data-lake"", ""data-warehouse"", ""hacktoberfest"", ""llm"", ""mcp"", ""mcp-server"", ""semantic"", ""semantic-layer"", ""sql""]"
KouShenhai/KCloud-Platform-IOT,1,java,661,https://github.com/KouShenhai/KCloud-Platform-IOT.git,16,,,2026-07-29T03:04:33.555386+00:00,2023-01-12T06:53:54,"[""ddd"", ""elasticsearch"", ""grpc"", ""influxdb"", ""iot"", ""kafka"", ""modbus"", ""mongodb"", ""mqtt"", ""mybatis"", ""mybatis-plus"", ""nacos"", ""netty"", ""redis"", ""spring-boot"", ""spring-cloud"", ""spring-cloud-alibaba"", ""spring-security"", ""tdengine"", ""timescaledb""]"
LegacyLands/legacy-lands-library,1,java,841,https://github.com/LegacyLands/legacy-lands-library.git,7,,,2026-07-29T03:04:33.555386+00:00,2024-12-18T01:08:39,"[""bukkit"", ""bukkit-library"", ""folia"", ""folia-library"", ""folia-plugin"", ""folia-plugins"", ""folia-server"", ""java"", ""library"", ""minecraft"", ""minecraft-library"", ""minecraft-plugin"", ""minecraft-plugin-api"", ""minecraft-plugin-library"", ""minecraft-plugin-utility"", ""minecraft-plugins"", ""minecraft-server"", ""spigot"", ""spigotmc""]"
ModelEngine-Group/fit-framework,1,java,2106,https://github.com/ModelEngine-Group/fit-framework.git,30,,,2026-07-29T03:04:33.555386+00:00,2025-02-22T08:20:15,"[""agentic-ai"", ""ai"", ""java"", ""plugin"", ""plugin-system"", ""python""]"
OpenAEV-Platform/openaev,1,java,1739,https://github.com/OpenAEV-Platform/openaev.git,57,,,2026-07-29T03:04:33.555386+00:00,2016-09-12T11:36:20,"[""adversary-emulation"", ""adversary-exposure-validation"", ""aev"", ""attack-simulation"", ""breach-simulator"", ""cybersecurity"", ""purple-team""]"
OpenBAS-Platform/openbas,1,java,1374,https://github.com/OpenBAS-Platform/openbas.git,29,,,2026-07-29T03:04:33.555386+00:00,2016-09-12T11:36:20,"[""adversary-emulation"", ""adversary-exposure-validation"", ""aev"", ""attack-simulation"", ""breach-simulator"", ""cybersecurity"", ""purple-team""]"
