repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,num_comment_lines,comment_density,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/BinaryTreeTest.java,setUp,junit3_setup,13,27,14,junit,0,per_test,3,3,0,2,0,0,0.0,1,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/BinaryTreeTest.java#L13-L27,human_pre2022,human,,"public void setUp() throws Exception {
        super.setUp();
        BinaryTree.Node[] nodes = new BinaryTree.Node[10];
        nodes[0] = new BinaryTree.Node(2);
        root.left = nodes[0];
        for (int i = 1 ; i < 10;i++) {
            nodes[i] = new BinaryTree.Node(2 + i);
            if (i % 2 == 0){
                nodes[i - 1].left = nodes[i];
            }else{
                nodes[i - 1].right = nodes[i];
            }
        }

    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/BinaryTreeTest.java,tearDown,junit3_teardown,29,31,3,junit,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/BinaryTreeTest.java#L29-L31,human_pre2022,human,,"public void tearDown() throws Exception {
        System.out.println();
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/FindTest.java,setUp,junit3_setup,13,16,4,junit,0,per_test,1,1,0,0,0,0,0.0,1,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/FindTest.java#L13-L16,human_pre2022,human,,"public void setUp() throws Exception {
        super.setUp();
        nums = new int[]{};
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/FindTest.java,tearDown,junit3_teardown,18,20,3,junit,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/FindTest.java#L18-L20,human_pre2022,human,,"public void tearDown() throws Exception {
        System.out.println(result);
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/GraphMatrixTest.java,setUp,junit3_setup,14,37,20,junit,0,per_test,3,3,0,13,0,0,0.0,1,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/GraphMatrixTest.java#L14-L37,human_pre2022,human,,"public void setUp() throws Exception {
        super.setUp();
        weights = new GraphMatrix.Weight[5][5];
        for (int i = 0 ; i < weights.length;i++)
            for (int j = 0 ; j < weights[i].length;j++){
                weights[i][j] = new GraphMatrix.Weight();
                weights[j][i] = new GraphMatrix.Weight();
            }

        weights[0][1] = new GraphMatrix.Weight(100);
        weights[1][2] = new GraphMatrix.Weight(10);
        weights[2][3] = new GraphMatrix.Weight(20);
        weights[3][1] = new GraphMatrix.Weight(25);
        weights[2][4] = new GraphMatrix.Weight(20);

        weights[1][0] = new GraphMatrix.Weight(100);
        weights[2][1] = new GraphMatrix.Weight(10);
        weights[3][2] = new GraphMatrix.Weight(20);
        weights[1][3] = new GraphMatrix.Weight(25);
        weights[4][2] = new GraphMatrix.Weight(20);


        graphMatrix = new GraphMatrix(weights);
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/GraphMatrixTest.java,tearDown,junit3_teardown,39,41,2,junit,0,per_test,1,1,0,0,0,0,0.0,0,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/GraphMatrixTest.java#L39-L41,human_pre2022,human,,"public void tearDown() throws Exception {

    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/SingleLinkListTest.java,setUp,junit3_setup,15,18,4,junit,0,per_test,1,1,0,1,0,0,0.0,1,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/SingleLinkListTest.java#L15-L18,human_pre2022,human,,"public void setUp() throws Exception {
        super.setUp();
        linkList = new SingleLinkList();
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/SingleLinkListTest.java,tearDown,junit3_teardown,20,23,4,junit,0,per_test,1,1,0,0,0,2,0.5,0,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/SingleLinkListTest.java#L20-L23,human_pre2022,human,,"public void tearDown() throws Exception {
//        linkList.printLinkList(linkList.head);
//        System.out.println();
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/SortTest.java,setUp,junit3_setup,12,15,4,junit,0,per_test,1,1,0,0,0,0,0.0,1,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/SortTest.java#L12-L15,human_pre2022,human,,"public void setUp() throws Exception {
        super.setUp();
        nums = new int[]{10, 20, 2, 3, 1, 100, 45, 22, 51, 21};
    }",2017-07-03,0.5147159479808351,1
byhieg/javatutorial,java,80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a,src/test/java/cn/byhieg/algorithmtutorialtest/SortTest.java,tearDown,junit3_teardown,17,21,5,junit,0,per_test,2,2,0,0,0,0,0.0,0,https://github.com/byhieg/javatutorial/blob/80f5f0aefb0f60be2c71ef3d2bf247f55a48a37a/src/test/java/cn/byhieg/algorithmtutorialtest/SortTest.java#L17-L21,human_pre2022,human,,"public void tearDown() throws Exception {
        for (int i = 0 ; i < nums.length;i++){
            System.out.print(nums[i] + "" "");
        }
    }",2017-07-03,0.5147159479808351,1
