repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,num_comment_lines,comment_density,has_teardown_pair,fixture_type_kind,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
microservices-patterns/ftgo-application,javascript,a835e23bb0f3bc92dd712ff48a1510496ecb10fa,ftgo-api-gateway-graphql/tests/unit/client.test.js,<anonymous>_11,before_each,12,14,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/microservices-patterns/ftgo-application/blob/a835e23bb0f3bc92dd712ff48a1510496ecb10fa/ftgo-api-gateway-graphql/tests/unit/client.test.js#L12-L14,human_pre2022,human,,"beforeEach(() => {
    context = {consumerServiceProxy: {}, orderServiceProxy: {}, restaurantServiceProxy: {}, deliveryServiceProxy: {}}
})",2020-08-28,2.847364818617385,1
microservices-patterns/ftgo-application,javascript,a835e23bb0f3bc92dd712ff48a1510496ecb10fa,ftgo-api-gateway-graphql/tests/unit/schema.test.js,<anonymous>_12,before_each,13,15,3,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/microservices-patterns/ftgo-application/blob/a835e23bb0f3bc92dd712ff48a1510496ecb10fa/ftgo-api-gateway-graphql/tests/unit/schema.test.js#L13-L15,human_pre2022,human,,"beforeEach(() => {
    context = {consumerServiceProxy: {}, orderServiceProxy: {}, restaurantServiceProxy: {}, deliveryServiceProxy: {}}
})",2020-08-28,2.847364818617385,1
wkeyuan/dwsurvey,javascript,3cf321af4ea423be4aad4f1030e44f3bda6c8ea1,src/main/webapp/js/plugs/echarts/echarts-master/test/ut/spec/util/graphic.js,<anonymous>_5,before_all,6,13,8,,0,per_class,1,1,1,0,0,1,0.125,0,setup,https://github.com/wkeyuan/dwsurvey/blob/3cf321af4ea423be4aad4f1030e44f3bda6c8ea1/src/main/webapp/js/plugs/echarts/echarts-master/test/ut/spec/util/graphic.js#L6-L13,human_pre2022,human,,"beforeAll(function (done) { // jshint ignore:line
        utHelper.resetPackageLoader(function () {
            window.require(['echarts/util/graphic'], function (g) {
                graphic = g;
                done();
            });
        });
    })",2020-02-18,2.6885694729637235,1
wkeyuan/dwsurvey,javascript,3cf321af4ea423be4aad4f1030e44f3bda6c8ea1,src/main/webapp/js/plugs/echarts/echarts-master/test/ut/spec/util/model.js,<anonymous>_5,before_all,6,13,8,,0,per_class,1,1,1,0,0,1,0.125,0,setup,https://github.com/wkeyuan/dwsurvey/blob/3cf321af4ea423be4aad4f1030e44f3bda6c8ea1/src/main/webapp/js/plugs/echarts/echarts-master/test/ut/spec/util/model.js#L6-L13,human_pre2022,human,,"beforeAll(function (done) { // jshint ignore:line
        utHelper.resetPackageLoader(function () {
            window.require(['echarts/util/model'], function (h) {
                modelUtil = h;
                done();
            });
        });
    })",2020-02-18,2.6885694729637235,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/app.js,<anonymous>_8,before_each,9,9,1,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/app.js#L9-L9,human_pre2022,human,,"beforeEach(module('wasabi', 'ui.router', 'wasabi.controllers', 'config'))",2019-08-28,3.184120465434634,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/app.js,<anonymous>_9,before_each,10,19,8,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/app.js#L10-L19,human_pre2022,human,,"beforeEach(inject(function($rootScope, $controller, _$location_){
        $location = _$location_;
        scope = $rootScope.$new();
        
        var $injector = angular.injector(['wasabi.services']);

        SessionFactory = function () {
            return $injector.get('Session');
        };
    }))",2019-08-28,3.184120465434634,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/controllers/AddApplicationModalCtrl.js,<anonymous>_12,before_each,13,13,1,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/controllers/AddApplicationModalCtrl.js#L13-L13,human_pre2022,human,,"beforeEach(module('wasabi', 'ui.bootstrap', 'ui.router', 'wasabi.controllers'))",2019-08-28,3.184120465434634,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/controllers/AddApplicationModalCtrl.js,<anonymous>_13,before_each,14,37,24,,2,per_test,1,1,2,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/controllers/AddApplicationModalCtrl.js#L14-L37,human_pre2022,human,,"beforeEach(inject(function($rootScope, $controller){
        scope = $rootScope.$new();
        modal = {
            close: sinon.stub(),
            dismiss: sinon.stub()
        };
        application = 'angularjs';
        applications = [];
        administeredApplications = [];
        user = {};
        appsThatCanBeAdded = [];
        createController = function (isEditingPermissions) {
            return $controller('AddApplicationModalCtrl', {
                '$scope': scope,
                '$modalInstance': modal,
                'application': application,
                'applications': applications,
                'administeredApplications': administeredApplications,
                'appsThatCanBeAdded': appsThatCanBeAdded,
                'user': user,
                'isEditingPermissions': isEditingPermissions || false
            });
        };
    }))",2019-08-28,3.184120465434634,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/controllers/AddUserModalCtrl.js,<anonymous>_9,before_each,10,10,1,,0,per_test,1,1,0,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/controllers/AddUserModalCtrl.js#L10-L10,human_pre2022,human,,"beforeEach(module('wasabi', 'ui.bootstrap', 'ui.router', 'wasabi.controllers'))",2019-08-28,3.184120465434634,1
intuit/wasabi,javascript,56e12d5d656d071782c5d980e712d719e61891e8,modules/ui/test/spec/controllers/AddUserModalCtrl.js,<anonymous>_10,before_each,11,28,18,,2,per_test,1,1,2,0,0,0,0.0,0,setup,https://github.com/intuit/wasabi/blob/56e12d5d656d071782c5d980e712d719e61891e8/modules/ui/test/spec/controllers/AddUserModalCtrl.js#L11-L28,human_pre2022,human,,"beforeEach(inject(function($rootScope, $controller){
        scope = $rootScope.$new();
        modal = {
            close: sinon.stub(),
            dismiss: sinon.stub()
        };
        application = 'angularjs';
        user = {};
        createController = function (isEditingPermissions, _application, _user) {
            return $controller('AddUserModalCtrl', {
                '$scope': scope,
                '$modalInstance': modal,
                'application': _application || application,
                'user': _user || user,
                'isEditingPermissions': isEditingPermissions || false
            });
        };
    }))",2019-08-28,3.184120465434634,1
