repo_to_remove,repo_to_keep,shared_commit_sha,cluster_size,language,stars_removed,stars_kept
mindorksopensource/android-mvp-architecture,janishar/android-mvp-architecture,c9ef181d766627348748e4c3ed7ff74f94e34786,2,java,4281,4432
bephrem1/interviewpen,bephrem1/backtobackswe,f4dd28d4ffd950319181e22c611cf54ff67eba92,2,java,1771,1775
hope-for/hope-boot,java-aodeng/hope-boot,d90cecad037f1d68393d68d400831830f0334ca6,2,java,3201,3218
xaecbd/kafkacenter,xaecbd/kcenter,3f577ddefb78ac1d511deb951b1a3bb7cdf6c0bc,2,java,1034,1161
nordicsemiconductor/android-ble-library,nordicsemi/Android-BLE-Library,6a7ac47c25bda346a561d227b491424d5df79a18,2,java,2329,2389
yangchong211/lifehelper,yangchong211/ycapptool,d62a2577e2652039fed77e1a34a1ab43453707c3,2,java,2584,3141
wanliyang1990/wlmedia,ywl5320/wlmedia,11d113973eb2d5ad5f510d69d5177fc881e782f2,2,java,735,836
wxgzgl/flinkx-web,birdlark/larkmidtable,d4024f1858b59bcd46b9f77289c73bd03d295f66,3,java,611,1412
wxgzgl/larkmidtable,birdlark/larkmidtable,d4024f1858b59bcd46b9f77289c73bd03d295f66,3,java,724,1412
gdgahmedabad/learning-resources,gdgahmedabad/awesome-learning-resources,90bf014d7cc4e65c0e8048d704ab4f3c94f3ab2a,2,java,564,702
janheinrichmerker/material-intro,heinrichreimer/material-intro,d7a09d94baac6babcd0338bc6a7ccc78fe0476ca,2,java,1727,1738
klinker-apps/talon-for-twitter-android,klinker24/talon-for-twitter-android,f35d54e34ff9e0384104510631e564dc4682b217,2,java,1066,1172
tibcosoftware/jasperreports,Jaspersoft/jasperreports,de6fd0fdd3c166cc83a86972e6e8ac9e56a9e900,2,java,1090,1349
lennartkoopmann/nzyme,nzymeorg/nzyme,0a38e1729cc13f183a3aac6a468e9f395a07f8d3,3,java,1227,1573
nzymedefense/nzyme,nzymeorg/nzyme,0a38e1729cc13f183a3aac6a468e9f395a07f8d3,3,java,1572,1573
adlered/bolo-solo,bolo-blog/bolo-solo,ea250f940f467a8596a368d2b24ba8f22392fc12,2,java,1283,1318
mzheravin/exchange-core,exchange-core/exchange-core,2a9de802d1c5f0605e7bae494d529031c7d3e2af,2,java,1308,1854
didi/logi-kafkamanager,didi/knowstreaming,02b9ac04c8f949fde57f5cb83fc350528cd914d3,3,java,2681,7172
didi/logikm,didi/knowstreaming,02b9ac04c8f949fde57f5cb83fc350528cd914d3,3,java,4364,7172
mindorksopensource/android-mvvm-architecture,janishar/android-mvvm-architecture,2b143436c3b5de3321298db75521f48eb99c2a46,2,java,2483,2932
yummylau/panelswitchhelper,dsappteam/panelswitchhelper,9caab0e3a11fc07e518be929cbb704600fb3d43a,2,java,1934,2421
yunaiv/springboot-labs,yudaocode/SpringBoot-Labs,81755e2ce7fac3a5f7d73481aa782790d0dab55e,2,java,15012,18446
polidea/rxandroidble,dariuszseweryn/rxandroidble,66dab6eab68448784f11f7f508ba830e8500ad40,2,java,3000,3505
linkedin/tony,tony-framework/tony,12227c7b896388f6d37af8bd8934598031b34290,2,java,644,697
vakinge/jeesuite-libs,dromara/mendmix-cloud,7024ba7cfbc581dc9d2c13991327fbea76772806,4,java,600,695
dromara/jeesuite-libs,dromara/mendmix-cloud,7024ba7cfbc581dc9d2c13991327fbea76772806,4,java,600,695
dromara/mendmix,dromara/mendmix-cloud,7024ba7cfbc581dc9d2c13991327fbea76772806,4,java,667,695
wildfirechat/server,wildfirechat/im-server,772940e50d3a9c0983bd327655604205a5a9fee6,2,java,6492,8509
yunaiv/onemall,yunaiv/yudao-cloud,4e926d8d1a00478358c0eb3eb006d14960ad2209,2,java,5388,19348
li-xiaojun/xpopup,junixapp/XPopup,74af7ba9c4198e0db126b45209a35e9b6ea91341,2,java,7407,7821
react-native-svg/react-native-svg,software-mansion/react-native-svg,14e0454e86d56f02a48061b9da7522c3f403e923,2,java,6333,8000
horaapps/leafpic,unevensoftware/leafpic,ad827e478e365f5694e2933c51ed3e5b2e3f35e2,2,java,3149,3245
