repo_name,language,clone_url,github_id,created_at,topics,stars
jhipster/jhipster-registry,typescript,https://github.com/jhipster/jhipster-registry.git,3265069,2016-02-05,"[""eureka"", ""hacktoberfest"", ""jhipster"", ""spring-configuration""]",708
mcodex/react-native-sensitive-info,typescript,https://github.com/mcodex/react-native-sensitive-info.git,3268965,2016-05-10,"[""android"", ""biometric-authentication"", ""expo"", ""fingerprint"", ""ios"", ""ios-keychain"", ""keystore"", ""macos"", ""react-native"", ""react-native-sensitive-info"", ""secure-enclave"", ""strongbox"", ""tvos"", ""visionos"", ""watchos""]",1056
apicurio/apicurio-studio,typescript,https://github.com/apicurio/apicurio-studio.git,3273276,2016-09-29,"[""angular2"", ""api-design"", ""developer-tools"", ""openapi"", ""swagger"", ""typescript""]",1062
microsoft/vscode-java-debug,typescript,https://github.com/microsoft/vscode-java-debug.git,3273322,2017-09-06,"[""java"", ""java-debugger"", ""vscode-java""]",587
software-mansion/react-native-gesture-handler,typescript,https://github.com/software-mansion/react-native-gesture-handler.git,3275766,2016-10-27,"[""gesture"", ""javascript"", ""react-native""]",6759
software-mansion/react-native-screens,typescript,https://github.com/software-mansion/react-native-screens.git,3277676,2018-08-03,"[""react-native"", ""react-navigation"", ""typescript""]",3695
openvidu/openvidu,typescript,https://github.com/openvidu/openvidu.git,3279818,2016-10-10,"[""chat"", ""kurento"", ""openvidu"", ""room"", ""sfu"", ""typescript"", ""video"", ""video-conferencing"", ""webrtc""]",2117
ionic-team/capacitor,typescript,https://github.com/ionic-team/capacitor.git,3341822,2017-11-18,"[""android"", ""capacitor"", ""cordova"", ""cross-platform"", ""css"", ""html"", ""ionic"", ""ios"", ""java"", ""javascript"", ""pwa"", ""swift""]",16026
expo/expo,typescript,https://github.com/expo/expo.git,3374198,2016-08-15,"[""android"", ""app-framework"", ""expo"", ""framework"", ""frontend"", ""ios"", ""javascript"", ""mobile"", ""native"", ""native-apps"", ""react"", ""react-native"", ""typescript"", ""universal"", ""web"", ""web-framework""]",50401
justjake/quickjs-emscripten,typescript,https://github.com/justjake/quickjs-emscripten.git,3392131,2020-01-05,"[""eval"", ""javascript"", ""plugins"", ""quickjs"", ""wasm""]",1615
crauzer/obsidian,typescript,https://github.com/crauzer/obsidian.git,3453493,2017-09-16,"[""editor"", ""league-of-legends"", ""obsidian"", ""tool"", ""wad""]",646
