repo_name,language,domain,clone_url
dependency-check/dependency-check-sonar-plugin,java,infra,https://github.com/dependency-check/dependency-check-sonar-plugin.git
hazelcast/hazelcast,java,data,https://github.com/hazelcast/hazelcast.git
i2p/i2p.i2p,java,infra,https://github.com/i2p/i2p.i2p.git
minerllabs/minerl,java,data,https://github.com/minerllabs/minerl.git
vipshop/saturn,java,infra,https://github.com/vipshop/saturn.git
ilmila/j2eescan,java,infra,https://github.com/ilmila/j2eescan.git
liyiorg/weixin-popular,java,library,https://github.com/liyiorg/weixin-popular.git
mrniko/netty-socketio,java,library,https://github.com/mrniko/netty-socketio.git
mixpanel/mixpanel-android,java,library,https://github.com/mixpanel/mixpanel-android.git
dotcms/core,java,web,https://github.com/dotcms/core.git
amitshekhariitbhu/fast-android-networking,java,library,https://github.com/amitshekhariitbhu/fast-android-networking.git
ververica/flink-training-exercises,java,data,https://github.com/ververica/flink-training-exercises.git
netflix/simianarmy,java,infra,https://github.com/netflix/simianarmy.git
kermitt2/grobid,java,data,https://github.com/kermitt2/grobid.git
authorwlh/alldata,java,data,https://github.com/authorwlh/alldata.git
axonframework/axonframework,java,library,https://github.com/axonframework/axonframework.git
seata/seata,java,infra,https://github.com/seata/seata.git
noear/solon,java,web,https://github.com/noear/solon.git
spongepowered/mixin,java,library,https://github.com/spongepowered/mixin.git
rosemoe/sora-editor,java,library,https://github.com/rosemoe/sora-editor.git
apache/flume,java,data,https://github.com/apache/flume.git
ps3mediaserver/ps3mediaserver,java,infra,https://github.com/ps3mediaserver/ps3mediaserver.git
apache/log4j,java,library,https://github.com/apache/log4j.git
jumpmindinc/symmetric-ds,java,data,https://github.com/jumpmindinc/symmetric-ds.git
zo3i/frpmgr,java,infra,https://github.com/zo3i/frpmgr.git
martykan/forecastie,java,library,https://github.com/martykan/forecastie.git
apache/logging-log4j1,java,library,https://github.com/apache/logging-log4j1.git
eucalyptus/eucalyptus,java,infra,https://github.com/eucalyptus/eucalyptus.git
keycloak/keycloak,java,infra,https://github.com/keycloak/keycloak.git
baidu/starlight,java,infra,https://github.com/baidu/starlight.git
jenkinsci/slack-plugin,java,infra,https://github.com/jenkinsci/slack-plugin.git
java-aodeng/hope-boot,java,cli,https://github.com/java-aodeng/hope-boot.git
neznamy/tab,java,library,https://github.com/neznamy/tab.git
hellochenjinjun/newfastframe,java,library,https://github.com/hellochenjinjun/newfastframe.git
zhihuili/flower,java,infra,https://github.com/zhihuili/flower.git
csploit/android,java,infra,https://github.com/csploit/android.git
airbnb/lottie-android,java,library,https://github.com/airbnb/lottie-android.git
open-keychain/open-keychain,java,library,https://github.com/open-keychain/open-keychain.git
alibaba/canal,java,data,https://github.com/alibaba/canal.git
rancher/cattle,java,infra,https://github.com/rancher/cattle.git
playframework/play1,java,web,https://github.com/playframework/play1.git
winder/universal-g-code-sender,java,cli,https://github.com/winder/universal-g-code-sender.git
prestodb/presto,java,data,https://github.com/prestodb/presto.git
rymcu/forest,java,web,https://github.com/rymcu/forest.git
questdb/questdb,java,data,https://github.com/questdb/questdb.git
sqlancer/sqlancer,java,data,https://github.com/sqlancer/sqlancer.git
daimajia/animetaste,java,library,https://github.com/daimajia/animetaste.git
deptofdefense/androidtacticalassaultkit-civ,java,library,https://github.com/deptofdefense/androidtacticalassaultkit-civ.git
