repo_name,language,domain,clone_url
anarchylinux/installer,javascript,cli,https://github.com/anarchylinux/installer.git
tobegit3hub/seagull,javascript,infra,https://github.com/tobegit3hub/seagull.git
phalcon/phalcon-devtools,javascript,cli,https://github.com/phalcon/phalcon-devtools.git
ebryn/ember-model,javascript,library,https://github.com/ebryn/ember-model.git
hyperledger/caliper,javascript,data,https://github.com/hyperledger/caliper.git
northwoodssoftware/gojs,javascript,library,https://github.com/northwoodssoftware/gojs.git
steveseguin/obsninja,javascript,web,https://github.com/steveseguin/obsninja.git
moeiscool/shinobi,javascript,other,https://github.com/moeiscool/shinobi.git
brianc/node-postgres,javascript,library,https://github.com/brianc/node-postgres.git
wbotelhos/raty,javascript,library,https://github.com/wbotelhos/raty.git
tape-testing/tape,javascript,cli,https://github.com/tape-testing/tape.git
rawgraphs/rawgraphs-app,javascript,data,https://github.com/rawgraphs/rawgraphs-app.git
patriksimek/vm2,javascript,library,https://github.com/patriksimek/vm2.git
alienkitty/alien.js,javascript,library,https://github.com/alienkitty/alien.js.git
es-analysis/plato,javascript,cli,https://github.com/es-analysis/plato.git
berstend/puppeteer-extra,javascript,library,https://github.com/berstend/puppeteer-extra.git
talpor/django-dashing,javascript,web,https://github.com/talpor/django-dashing.git
renzhezhilu/webp2jpg-online,javascript,web,https://github.com/renzhezhilu/webp2jpg-online.git
zauner/vvvv.js,javascript,web,https://github.com/zauner/vvvv.js.git
galooshi/import-js,javascript,cli,https://github.com/galooshi/import-js.git
firebaseextended/firepad,javascript,web,https://github.com/firebaseextended/firepad.git
kedro-org/kedro-viz,javascript,data,https://github.com/kedro-org/kedro-viz.git
knockout/knockout,javascript,library,https://github.com/knockout/knockout.git
hackclub/sinerider,javascript,other,https://github.com/hackclub/sinerider.git
browserengineering/book,javascript,other,https://github.com/browserengineering/book.git
brigand/react-mixin,javascript,library,https://github.com/brigand/react-mixin.git
chrispederick/web-developer,javascript,web,https://github.com/chrispederick/web-developer.git
ligershark/side-waffle,javascript,cli,https://github.com/ligershark/side-waffle.git
millermedeiros/esformatter,javascript,cli,https://github.com/millermedeiros/esformatter.git
zohararad/audio5js,javascript,library,https://github.com/zohararad/audio5js.git
powercord-org/powercord,javascript,cli,https://github.com/powercord-org/powercord.git
jslint-org/jslint,javascript,cli,https://github.com/jslint-org/jslint.git
copy/v86,javascript,infra,https://github.com/copy/v86.git
bevacqua/woofmark,javascript,web,https://github.com/bevacqua/woofmark.git
lucifier129/react-lite,javascript,library,https://github.com/lucifier129/react-lite.git
iotaledger/wallet,javascript,cli,https://github.com/iotaledger/wallet.git
thoughtworks/build-your-own-radar,javascript,data,https://github.com/thoughtworks/build-your-own-radar.git
jshint/jshint,javascript,cli,https://github.com/jshint/jshint.git
nodester/nodester,javascript,infra,https://github.com/nodester/nodester.git
lokenx/plexrequests-meteor,javascript,web,https://github.com/lokenx/plexrequests-meteor.git
xtuc/webassemblyjs,javascript,library,https://github.com/xtuc/webassemblyjs.git
flowhub/the-graph,javascript,library,https://github.com/flowhub/the-graph.git
neumino/thinky,javascript,library,https://github.com/neumino/thinky.git
mishoo/uglifyjs,javascript,cli,https://github.com/mishoo/uglifyjs.git
hapijs/hapi,javascript,web,https://github.com/hapijs/hapi.git
unsignedapps/swift-create-xcframework,javascript,cli,https://github.com/unsignedapps/swift-create-xcframework.git
alibaba/anyproxy,javascript,infra,https://github.com/alibaba/anyproxy.git
atom/teletype-crdt,javascript,library,https://github.com/atom/teletype-crdt.git
canop/miaou,javascript,web,https://github.com/canop/miaou.git
dequelabs/axe-core-npm,javascript,cli,https://github.com/dequelabs/axe-core-npm.git
breakwa11/gfw_whitelist,javascript,cli,https://github.com/breakwa11/gfw_whitelist.git
gajus/eslint-plugin-flowtype,javascript,library,https://github.com/gajus/eslint-plugin-flowtype.git
mayswind/ariang,javascript,web,https://github.com/mayswind/ariang.git
softvar/secure-ls,javascript,library,https://github.com/softvar/secure-ls.git
apache/incubator-weex-cli,javascript,cli,https://github.com/apache/incubator-weex-cli.git
silverwind/droppy,javascript,web,https://github.com/silverwind/droppy.git
lorenwest/node-monitor,javascript,infra,https://github.com/lorenwest/node-monitor.git
reactioncommerce/reaction,javascript,web,https://github.com/reactioncommerce/reaction.git
mmckegg/loop-drop-app,javascript,other,https://github.com/mmckegg/loop-drop-app.git
fzaninotto/uptime,javascript,infra,https://github.com/fzaninotto/uptime.git
naturalcrit/homebrewery,javascript,web,https://github.com/naturalcrit/homebrewery.git
vimperator/vimperator-labs,javascript,other,https://github.com/vimperator/vimperator-labs.git
christopherthielen/ui-router-extras,javascript,library,https://github.com/christopherthielen/ui-router-extras.git
c9fe/viewfinder,javascript,infra,https://github.com/c9fe/viewfinder.git
dthree/vorpal,javascript,cli,https://github.com/dthree/vorpal.git
aws/aws-sdk-js,javascript,library,https://github.com/aws/aws-sdk-js.git
llk/scratch-gui,javascript,web,https://github.com/llk/scratch-gui.git
imaegoo/twikoo,javascript,web,https://github.com/imaegoo/twikoo.git
leonardomso/33-js-concepts,javascript,library,https://github.com/leonardomso/33-js-concepts.git
unconed/termkit,javascript,cli,https://github.com/unconed/termkit.git
unitech/gridcontrol,javascript,infra,https://github.com/unitech/gridcontrol.git
laurentj/slimerjs,javascript,cli,https://github.com/laurentj/slimerjs.git
webtools-ng/webtools-ng,javascript,cli,https://github.com/webtools-ng/webtools-ng.git
1c7/youtube-auto-subtitle-download,javascript,cli,https://github.com/1c7/youtube-auto-subtitle-download.git
odrick/free-tex-packer,javascript,cli,https://github.com/odrick/free-tex-packer.git
victorporof/sublime-htmlprettify,javascript,cli,https://github.com/victorporof/sublime-htmlprettify.git
mozilla/fathom,javascript,data,https://github.com/mozilla/fathom.git
levelgraph/levelgraph,javascript,data,https://github.com/levelgraph/levelgraph.git
manuel83/craftbeerpi,javascript,infra,https://github.com/manuel83/craftbeerpi.git
continuing-creativity/flocking,javascript,library,https://github.com/continuing-creativity/flocking.git
cyclonedx/cdxgen,javascript,cli,https://github.com/cyclonedx/cdxgen.git
popcorn-official/popcorn-desktop,javascript,other,https://github.com/popcorn-official/popcorn-desktop.git
sandstorm-io/sandstorm,javascript,infra,https://github.com/sandstorm-io/sandstorm.git
jcubic/jquery.terminal,javascript,cli,https://github.com/jcubic/jquery.terminal.git
nextcloud/text,javascript,web,https://github.com/nextcloud/text.git
nosqlclient/nosqlclient,javascript,infra,https://github.com/nosqlclient/nosqlclient.git
lucidworks/banana,javascript,data,https://github.com/lucidworks/banana.git
igorkasyanchuk/rails_db,javascript,cli,https://github.com/igorkasyanchuk/rails_db.git
alexmojaki/birdseye,javascript,library,https://github.com/alexmojaki/birdseye.git
pipedreamhq/pipedream,javascript,cli,https://github.com/pipedreamhq/pipedream.git
rwjblue/pivot.js,javascript,data,https://github.com/rwjblue/pivot.js.git
