repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
elastic/logstash,java,1,1,6aa265dcd8357336503fa7b82c3f1f785bef8c8b,6aa265dcd8357336503fa7b82c3f1f785bef8c8b,https://github.com/elastic/logstash.git
fabric8io/kubernetes-client,java,6,3,d7c769ccc3d2f4a3750976b4430abb40e4e68c14,5613b7a6d2c9005d8ec76a5aa2a97bd22c3d4adb,https://github.com/fabric8io/kubernetes-client.git
frooodle/stirling-pdf,java,16,3,7d7f1272e4b974999d57093179343113334a6e17,28613caf8ac728383df624196d3fd6ccbe04bfbd,https://github.com/frooodle/stirling-pdf.git
graphql-java/graphql-java,java,1,1,14e580b7129e1f1de3b455660fc8c6cf0c5e08bf,14e580b7129e1f1de3b455660fc8c6cf0c5e08bf,https://github.com/graphql-java/graphql-java.git
graylog2/graylog2-server,java,7,5,5e6363a977f4f1cf21e16784062c84416d44ce91,d23c0b1445405f6a85d5b816c16cc6ef734bc249,https://github.com/graylog2/graylog2-server.git
grimmory-tools/grimmory,java,13,2,2e537bb2a1b079c8d03560d825a8726dad8b8f5b,69c3c883759f4b5aecfff94860a7756794ca90b1,https://github.com/grimmory-tools/grimmory.git
hapifhir/hapi-fhir,java,14,8,68d1aeb886693af49b3a0263d954cdbed9f930a1,49cf7855d71eaced71b133b9b24c82c9725b94bf,https://github.com/hapifhir/hapi-fhir.git
hyperledger/besu,java,8,6,b4ad0e20416bda6133a7cca5f9dda7b7f699abf5,8fe48c6fef45c9974d94f43b5fae9ebc9b99f574,https://github.com/hyperledger/besu.git
interestinglab/waterdrop,java,5,2,fe182baced10d67972173afcfb67950ebad67f4a,be5d0f0279d72ba6f6b64e22f44bfc4391117816,https://github.com/interestinglab/waterdrop.git
java-operator-sdk/java-operator-sdk,java,1,1,2c16143f6cdf509bb82d54bfa6759f2fecce4bad,2c16143f6cdf509bb82d54bfa6759f2fecce4bad,https://github.com/java-operator-sdk/java-operator-sdk.git
jjazzboss/JJazzLab,java,1,1,dac79113c95c93443d79b8120ca451288116c417,dac79113c95c93443d79b8120ca451288116c417,https://github.com/jjazzboss/JJazzLab.git
kestra-io/kestra,java,14,5,cdbec44f1aae350361e5c874fae90019ad89bd26,dcb7b6c3a0a29063aaa332f58f1ed8883158e062,https://github.com/kestra-io/kestra.git
knowm/xchart,java,2,2,36c4b19ee4762e0ff66cc09e40f78415e9a1eccb,782ce7b2ec5c68f84ab319b43f528f8710cdab26,https://github.com/knowm/xchart.git
linkedin/ambry,java,4,1,9bf8da3980307966794be5c8c24eb728a740f593,9bf8da3980307966794be5c8c24eb728a740f593,https://github.com/linkedin/ambry.git
linkedin/datahub,java,104,27,b3fafc38be1db047663571d99a6bd1bc3f960e59,464e45961ee39d9d2727192a2dd3405fbadf0db3,https://github.com/linkedin/datahub.git
lucky-aeon/AgentX,java,6,2,3a9f440bec5f054ddf0068dca93e547f4d7753dc,9b25ffe4db649df4f13ba279db4b8353ecd7f85b,https://github.com/lucky-aeon/AgentX.git
microsoft/typespec,java,51,24,f9065da7d9f88ecbb9b52ac452d068609e220ac2,fedfbc915b33cef41205cbb0f788dc63af2b409e,https://github.com/microsoft/typespec.git
mixpanel/mixpanel-android,java,18,3,0d9a900627066598b0d6eb7f5957307a1472650a,63f13afa5450d0daba0124fee02b2da2df45c0f0,https://github.com/mixpanel/mixpanel-android.git
