repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
AugmentOS-Community/AugmentOS,java,58e3526b859f76f0c8bbeee0cac1765a12521e11,asg_client/app/src/test/java/com/mentra/asg_client/io/bluetooth/managers/mentralive/internal/BesWireFormatTest.java,tearDown,junit4_after,16,19,4,junit,0,cursor,agent
AugmentOS-Community/AugmentOS,java,a084e7a1510382b69ced4ebae9c67199be8c3c00,asg_client/app/src/test/java/com/mentra/asg_client/io/hardware/core/HardwareManagerFactoryTest.java,tearDown,junit4_after,27,46,20,junit,0,cursor,agent
AugmentOS-Community/AugmentOS,java,bf46d3882517f8d8b74d1fe5a5111b81310dab7a,asg_client/app/src/test/java/com/mentra/asg_client/camera/lifecycle/PhotoExifMetadataWriterTest.java,<anonymous>_19,junit_rule,20,20,1,junit,0,cursor,agent
AugmentOS-Community/AugmentOS,java,1c9f94e8ea84976dc2b9712d453c34c3807cca37,mobile/modules/bluetooth-sdk/android/src/test/java/com/mentra/bluetoothsdk/utils/BlePhotoUploadServiceTest.java,<anonymous>_24,junit_rule,25,25,1,junit,0,cursor,agent
AugmentOS-Community/AugmentOS,java,10cbc7ac086b68db947218f024dd4269adcc2c14,asg_client/app/src/test/java/com/mentra/asg_client/service/core/handlers/K900CommandHandlerDispatchTest.java,setUp,junit4_before,32,41,10,junit,4,cursor,agent
AugmentOS-Community/AugmentOS,java,10cbc7ac086b68db947218f024dd4269adcc2c14,asg_client/app/src/test/java/com/mentra/asg_client/service/core/handlers/subscribers/BatteryEventSubscriberTest.java,setUp,junit4_before,33,42,10,junit,4,cursor,agent
AugmentOS-Community/AugmentOS,java,10cbc7ac086b68db947218f024dd4269adcc2c14,asg_client/app/src/test/java/com/mentra/asg_client/service/core/handlers/subscribers/BesOtaAuthEventSubscriberTest.java,setUp,junit4_before,26,32,7,junit,2,cursor,agent
AugmentOS-Community/AugmentOS,java,10cbc7ac086b68db947218f024dd4269adcc2c14,asg_client/app/src/test/java/com/mentra/asg_client/service/core/handlers/subscribers/ShutdownEventSubscriberTest.java,setUp,junit4_before,37,46,10,junit,2,cursor,agent
Canner/wren-engine,java,7f70daec16069ab260349c79519b7c726303898f,ibis-server/tests/routers/v3/connector/duckdb/conftest.py,connection_info,pytest_decorator,20,25,5,pytest,0,claude,agent
Canner/wren-engine,java,7f70daec16069ab260349c79519b7c726303898f,ibis-server/tests/routers/v3/connector/duckdb/test_query.py,manifest_str,pytest_decorator,58,60,2,pytest,0,claude,agent
Canner/wren-engine,java,41f3f21f97aba6418b087c1d6437183fdd30f2b3,wren/tests/connectors/test_duckdb.py,engine,pytest_decorator,35,48,11,pytest,0,claude,agent
Canner/wren-engine,java,41f3f21f97aba6418b087c1d6437183fdd30f2b3,wren/tests/connectors/test_postgres.py,engine,pytest_decorator,72,90,17,pytest,0,claude,agent
Canner/wren-engine,java,41f3f21f97aba6418b087c1d6437183fdd30f2b3,wren/tests/suite/query.py,manifest_str,pytest_decorator,135,137,2,pytest,0,claude,agent
Canner/wren-engine,java,41f3f21f97aba6418b087c1d6437183fdd30f2b3,wren/tests/unit/test_engine.py,duckdb_engine,pytest_decorator,46,52,6,pytest,0,claude,agent
Canner/wren-engine,java,41f3f21f97aba6418b087c1d6437183fdd30f2b3,wren/tests/unit/test_engine.py,pg_engine,pytest_decorator,55,66,11,pytest,0,claude,agent
Canner/wren-engine,java,dfdff010371f649abfa999b9fd08a729b81b15f2,wren/tests/unit/test_memory.py,memory_store,pytest_decorator,225,233,6,pytest,0,claude,agent
Canner/wren-engine,java,dfdff010371f649abfa999b9fd08a729b81b15f2,wren/tests/unit/test_memory.py,wren_memory,pytest_decorator,328,336,6,pytest,0,claude,agent
Canner/wren-engine,java,b086576fbc0ead4ce46af915403a5c7268eac525,wren/tests/test_profile.py,isolated_profiles,pytest_decorator,14,20,6,pytest,0,claude,agent
Canner/wren-engine,java,b086576fbc0ead4ce46af915403a5c7268eac525,wren/tests/test_profile_cli.py,isolated_profiles,pytest_decorator,17,23,6,pytest,0,claude,agent
Canner/wren-engine,java,bdaddf25bb9c10287b7f2062e727c26ac0e76303,wren/tests/suite/test_ref_sql.py,engine,pytest_decorator,79,93,12,pytest,0,claude,agent
ModelEngine-Group/fit-framework,java,356190c8a3905cf6341c8224a5dc1dd589cb0b1d,framework/fit/java/fit-builtin/services/fit-http-classic/definition/src/test/java/modelengine/fit/http/client/proxy/scanner/resolver/RequestAuthResolverTest.java,setUp,junit5_before_each,30,33,4,junit,0,claude,agent
ModelEngine-Group/fit-framework,java,b3166e82b75dd7fef8fe45adccb736da9e523711,framework/fel/python/tests/test_langchain_tools_ssrf.py,setUpClass,unittest_setup,136,137,2,unittest,0,claude,agent
OpenBAS-Platform/openbas,java,df23bbf1d855e0cdc5654b986514b49620e970ce,openaev-api/src/test/java/io/openaev/opencti/OpenCTIJwtAuthenticationTest.java,setUp,junit5_before_each,48,51,4,junit,0,copilot,agent
OpenFeign/querydsl,java,b43432f5abb6346a249730c1fd13b92df380bb61,querydsl-libraries/querydsl-mongodb/src/test/java/com/querydsl/mongodb/MongoExpressionTest.java,setUp,junit4_before,37,96,60,junit,0,copilot,agent
StarRocks/starrocks,java,a5528963b068144555b85dc66e5782b65bc29cf4,fe/fe-core/src/test/java/com/starrocks/sql/plan/MinMaxMonotonicRewriteTest.java,beforeAll,junit5_before_all,44,47,4,junit,0,claude,agent
StarRocks/starrocks,java,a5528963b068144555b85dc66e5782b65bc29cf4,fe/fe-core/src/test/java/com/starrocks/sql/plan/MinMaxMonotonicRewriteTest.java,afterAll,junit5_after_all,49,52,4,junit,0,claude,agent
StarRocks/starrocks,java,c225e6f4328f2838be83555b74ccd5a4e441c022,fe/fe-core/src/test/java/com/starrocks/qe/RefreshConnectionsStmtTest.java,beforeClass,junit5_before_all,56,89,30,junit,0,claude,agent
StarRocks/starrocks,java,0f74cc83101c0634c280f1d29d4e912b43af29bd,fe/fe-core/src/test/java/com/starrocks/mysql/nio/MySQLReadListenerTest.java,setUp,junit5_before_each,50,54,5,junit,0,claude,agent
StarRocks/starrocks,java,0f74cc83101c0634c280f1d29d4e912b43af29bd,fe/fe-core/src/test/java/com/starrocks/mysql/nio/MySQLReadListenerTest.java,tearDown,junit5_after_each,56,58,3,junit,0,claude,agent
StarRocks/starrocks,java,33ffb02a62d8adbfea63467cfd5d2e6653900243,fe/fe-core/src/test/java/com/starrocks/authorization/SetRoleInformationSchemaTest.java,setUp,junit5_before_all,82,135,44,junit,0,claude,agent
