repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
thedjpetersen/subway,javascript,6,1,58d99655ded04101a76b092ba52296b267ccbb23,58d99655ded04101a76b092ba52296b267ccbb23,https://github.com/thedjpetersen/subway.git
haraka/haraka,javascript,8,1,5156a69e6826e63f2ad622b238c8c58fd848b762,5156a69e6826e63f2ad622b238c8c58fd848b762,https://github.com/haraka/haraka.git
skyvers/skyve,javascript,4,1,b260fbb0557add679704ee0b0fe681a7d7ec8ba5,b260fbb0557add679704ee0b0fe681a7d7ec8ba5,https://github.com/skyvers/skyve.git
clientio/joint,javascript,8,1,4ee90417ebc81490d736c6da97c2606b57c98d7b,4ee90417ebc81490d736c6da97c2606b57c98d7b,https://github.com/clientio/joint.git
bfirsh/jsnes,javascript,9,2,2b542b95bc4c0ffa073f208796dd7040713192f7,b80ba2a4c59f0bf3031e8f01ef49750555ddd18b,https://github.com/bfirsh/jsnes.git
agershun/alasql,javascript,119,55,f1ca00e246998044ccd883a8b7c8b1d427fedda6,f9f6e750054be4c62ec55378ab46082966abd146,https://github.com/agershun/alasql.git
brasilapi/brasilapi,javascript,6,2,b314cf186e7d668228469150ba83d9e11c69174f,2368acfad39d1cc4ac94e3e9dcb509eaeec244d3,https://github.com/brasilapi/brasilapi.git
zapier/zapier-platform,javascript,12,6,d539c62ff09e5bb8e59d0e88a0bfe6f998d1253a,379cfe3330d800905da185b76d1e121416e23ae6,https://github.com/zapier/zapier-platform.git
dynamoose/dynamoose,javascript,1,1,b2eb7684f6d96c05ca041607bdd74b9c5a877c19,b2eb7684f6d96c05ca041607bdd74b9c5a877c19,https://github.com/dynamoose/dynamoose.git
datadog/dd-trace-js,javascript,2,1,64890d7c25907004dc6fd72248d3ac7d48107d62,64890d7c25907004dc6fd72248d3ac7d48107d62,https://github.com/datadog/dd-trace-js.git
codeceptjs/codeceptjs,javascript,2,1,75bf99ec57017331421c3331fdbe9490196fe086,75bf99ec57017331421c3331fdbe9490196fe086,https://github.com/codeceptjs/codeceptjs.git
