repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
good/repo,python,1,1,abc123,abc123,https://github.com/good/repo.git
chipsec/chipsec,python,2,1,7747d4549841fcc7065e0130a95c40e37201aeb9,7747d4549841fcc7065e0130a95c40e37201aeb9,https://github.com/chipsec/chipsec.git
airbytehq/airbyte,python,24,16,3abe13651ffa1d45032392deb27971b6880d1f6b,b3580344b7c2e1a7de4365daa5bcf001e41ebbd3,https://github.com/airbytehq/airbyte.git
trustedsec/hate_crack,python,1,1,1963f80e3ea2c801fc793f9422bff8be0c319aa7,1963f80e3ea2c801fc793f9422bff8be0c319aa7,https://github.com/trustedsec/hate_crack.git
nvidia/megatron-lm,python,32,8,5e4fc931ba8b8558445dc3ff6eccf07e5fa92a5c,a51c1c82ad3d20cd5d1f412076c9ad1fb70b0c70,https://github.com/nvidia/megatron-lm.git
enarjord/passivbot,python,4,1,88f711d0b3eeb72436f9fe76b2bf1c5f5cc82149,88f711d0b3eeb72436f9fe76b2bf1c5f5cc82149,https://github.com/enarjord/passivbot.git
michaelchu/optopsy,python,16,7,2ca67e0fb51c7d690cb15b04aca8a45931caf3eb,2147baffd4ee7f302a5bbd76494faf7e3f391c2d,https://github.com/michaelchu/optopsy.git
openatx/uiautomator2,python,1,1,b407b9eb8876b1de3eda6022d019a8611782f202,b407b9eb8876b1de3eda6022d019a8611782f202,https://github.com/openatx/uiautomator2.git
zengbin93/czsc,python,6,3,0193d3318c02afed17fe5d493685b713cf893d4c,ca6bbd16e44d2cf2866ef9aeb40b0779accd5b22,https://github.com/zengbin93/czsc.git
idank/explainshell,python,1,1,94f3ca4bb70d856730560a5d8d5d608b0875804d,94f3ca4bb70d856730560a5d8d5d608b0875804d,https://github.com/idank/explainshell.git
quantecon/quantecon.py,python,3,2,6eaa3144ed88f379650245ef34ac7ffd21e93fff,6045b518cac20694d5d660e143490aac7ae71569,https://github.com/quantecon/quantecon.py.git
custom-components/alexa_media_player,python,4,2,79083aa1af0128195a09ef3a8538f47936959154,06981499d6b6a1a02118a1c5c4d2021ff09b03bb,https://github.com/custom-components/alexa_media_player.git
reactionmechanismgenerator/rmg-py,python,1,1,c09211efa3cb45dfc8393348bd88c9cbba33f1d3,c09211efa3cb45dfc8393348bd88c9cbba33f1d3,https://github.com/reactionmechanismgenerator/rmg-py.git
exa-networks/exabgp,python,41,17,a0ef2459d36367dd438b7f9b38b28ef92042651a,78c81c19f74fbc3e2ed640c9ceac4c9323e20b7d,https://github.com/exa-networks/exabgp.git
archivebox/archivebox,python,63,11,c2bb4b25cb849b56718fedc3ae18b3e4e10895ca,0941aca4a3a00b95254cb5caafe097fe56f172d5,https://github.com/archivebox/archivebox.git
pythainlp/pythainlp,python,4,2,e2c4bfdfdacd8f907bb0e84b69c5ff13fefd573b,783a66d13da9d14d36f895a80339aaa0e56c33dd,https://github.com/pythainlp/pythainlp.git
drakkar-software/octobot,python,6,1,ebe1b2e7f3c8e9badc99f37dde4f46544682fc19,ebe1b2e7f3c8e9badc99f37dde4f46544682fc19,https://github.com/drakkar-software/octobot.git
opencti-platform/connectors,python,22,6,e625caf07e20a54e5320a731418c67852e0ad031,0c78f6a044a66dbbf90c3880d5e86b1923b04d40,https://github.com/opencti-platform/connectors.git
ewels/multiqc,python,4,2,29ba13b61ef85219b84ca4946e84226fd22013d8,be3f0fc534e24b060d6a6126c4b0855700628c00,https://github.com/ewels/multiqc.git
hypothesisworks/hypothesis,python,21,9,f5cc08044e05cd8332277cb716e413f894cfc57b,11f5b6639eecfa3f42b6714dec5d3b092b44a9dd,https://github.com/hypothesisworks/hypothesis.git
librephotos/librephotos,python,15,10,349db20f3111d104ed4d00d2788d3ad2ed658cd7,7ab9bc7de19072391367fc44366b8f6774ae4f4f,https://github.com/librephotos/librephotos.git
openmc-dev/openmc,python,1,1,d56cda254408971c3f0a79736c46b080ca37f1b7,d56cda254408971c3f0a79736c46b080ca37f1b7,https://github.com/openmc-dev/openmc.git
dimagi/commcare-hq,python,8,6,f43ca88eed762c84b28340279b81a92956cc25f2,4c7125c8cf2d2f98af1930fd7ca4e24e04206ed9,https://github.com/dimagi/commcare-hq.git
prefecthq/prefect,python,275,99,fe4d3560dc4f0f6a21b71d39919e87f6dd83a02b,90f261bc0c06e5fc6cda92e83c39ff5131f6d52a,https://github.com/prefecthq/prefect.git
mongodb/mongo-python-driver,python,1,1,5da91837d4db9b2f1d3521f2e39cff9e0ff94334,5da91837d4db9b2f1d3521f2e39cff9e0ff94334,https://github.com/mongodb/mongo-python-driver.git
home-assistant/supervisor,python,1,1,014082eda822e08b7f6cc9094c1bb0c94706112f,014082eda822e08b7f6cc9094c1bb0c94706112f,https://github.com/home-assistant/supervisor.git
