repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,event_loop,pytest_decorator,34,39,5,pytest,0,claude,agent
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,db_session,pytest_decorator,42,52,8,pytest,0,claude,agent
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,client,pytest_decorator,55,66,8,pytest,0,claude,agent
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,test_user_data,pytest_decorator,69,77,8,pytest,0,claude,agent
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,test_project_data,pytest_decorator,80,89,9,pytest,0,claude,agent
869413421/ai-moive-studio,python,f1103449c4be590287c12d3413152e95c243180f,backend/tests/conftest.py,auth_headers,pytest_decorator,92,108,14,pytest,0,claude,agent
869413421/ai-moive-studio,python,d5012dd4afb57a7c78a13969ae1c2434a0d77dbf,backend/tests/unit/test_text_parser.py,parser_service,pytest_decorator,165,168,3,pytest,0,claude,agent
AgentOps-AI/agentops,python,c1a40153a08ca2ee049a9229f5df15f91b3b6dfd,tests/unit/instrumentation/openai_agents/test_openai_agents.py,instrumentation,pytest_decorator,69,98,25,pytest,2,other,agent
AgentOps-AI/agentops,python,c1a40153a08ca2ee049a9229f5df15f91b3b6dfd,tests/unit/instrumentation/openai_agents/test_openai_agents_attributes.py,mock_external_dependencies,pytest_decorator,116,123,7,pytest,0,other,agent
AgriciDaniel/claude-blog,python,1c9edd19eec57cc9650ec34d64a7dfb94a6594a9,tests/conftest.py,sample_blog_post,pytest_decorator,12,60,31,pytest,0,claude,agent
AgriciDaniel/claude-blog,python,1c9edd19eec57cc9650ec34d64a7dfb94a6594a9,tests/conftest.py,sample_post_no_frontmatter,pytest_decorator,63,73,7,pytest,0,claude,agent
AgriciDaniel/claude-blog,python,1c9edd19eec57cc9650ec34d64a7dfb94a6594a9,tests/conftest.py,sample_post_with_schema,pytest_decorator,76,115,35,pytest,0,claude,agent
AgriciDaniel/claude-blog,python,dda5ccc0ff4233f1a359ff3a270a974f5d3f79c7,tests/test_generate_hero_ssrf.py,hero_module,pytest_decorator,29,35,6,pytest,0,claude,agent
AgriciDaniel/claude-blog,python,2422526e241d3e6796a7a7aaa2a781b62db3eb91,tests/test_review_nonce.py,preflight_module,pytest_decorator,33,39,6,pytest,0,claude,agent
AgriciDaniel/claude-blog,python,f9ff6eeab19c2d34399fa067d3a801e7251cde6e,tests/test_preflight_http_head_no_redirect.py,preflight_module,pytest_decorator,20,26,6,pytest,0,claude,agent
ArcadeAI/arcade-ai,python,f537771f296c6cab91fe403964ce45b28357cd72,libs/tests/worker/test_arcade_telemetry_bridge.py,app,pytest_decorator,21,23,2,pytest,0,claude,agent
ArcadeAI/arcade-ai,python,f537771f296c6cab91fe403964ce45b28357cd72,libs/tests/worker/test_arcade_telemetry_bridge.py,fake_arcade_telemetry,pytest_decorator,26,55,22,pytest,2,claude,agent
Archmonger/django-dbbackup,python,6869166c4b8c863d831b1d82e1f17477a7a6da3c,tests/test_signals.py,setUp,unittest_setup,18,20,3,unittest,0,copilot,agent
Archmonger/django-dbbackup,python,099ac5d54d57f5e4903ca9e1890c16159e762c28,tests/test_connectors/test_django.py,setUp,unittest_setup,18,19,2,unittest,0,copilot,agent
Arize-ai/openinference,python,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,python/instrumentation/openinference-instrumentation-claude-agent-sdk/tests/conftest.py,cassette_transport,pytest_decorator,113,183,62,pytest,0,claude,agent
Arize-ai/openinference,python,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,python/instrumentation/openinference-instrumentation-claude-agent-sdk/tests/conftest.py,in_memory_span_exporter,pytest_decorator,186,188,2,pytest,0,claude,agent
Arize-ai/openinference,python,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,python/instrumentation/openinference-instrumentation-claude-agent-sdk/tests/conftest.py,tracer_provider,pytest_decorator,191,198,7,pytest,0,claude,agent
Arize-ai/openinference,python,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,python/instrumentation/openinference-instrumentation-claude-agent-sdk/tests/conftest.py,instrument,pytest_decorator,201,208,7,pytest,0,claude,agent
Arize-ai/openinference,python,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,python/instrumentation/openinference-instrumentation-claude-agent-sdk/tests/conftest.py,api_key,pytest_decorator,211,221,10,pytest,0,claude,agent
Arize-ai/phoenix,python,5ec669f379f985b0f552b641183cb038fb3d1efc,tests/unit/server/api/mutations/test_trace_transfer_mutations.py,trace_transfer_fixture,pytest_decorator,227,420,180,pytest,0,claude,agent
Arize-ai/phoenix,python,2235b7d206371b4d3833ede623b93edc9f404cf2,js/packages/phoenix-client/test/spans/addSpanNote.test.ts,<anonymous>_21,before_each,22,32,11,,0,claude,agent
Arize-ai/phoenix,python,7d3f4aca8d5bc3e6df3e5a4f69332fa8ffcc274d,js/packages/phoenix-client/test/traces/getTraces.test.ts,<anonymous>_29,before_each,30,33,4,,0,claude,agent
Arize-ai/phoenix,python,e4f53968696cccd28c66c70487aaa1c470567439,tests/unit/server/api/test_exceptions.py,schema,pytest_decorator,28,30,2,pytest,0,claude,agent
AstrBotDevs/AstrBot,python,a404436f2cddf6b7e49d7e9c60dc240748d0767d,tests/test_api_key_open_api.py,core_lifecycle_td,pytest_decorator,15,30,15,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,a404436f2cddf6b7e49d7e9c60dc240748d0767d,tests/test_api_key_open_api.py,app,pytest_decorator,33,37,4,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,a404436f2cddf6b7e49d7e9c60dc240748d0767d,tests/test_api_key_open_api.py,authenticated_header,pytest_decorator,40,52,12,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,temp_dir,pytest_decorator,109,112,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,event_queue,pytest_decorator,115,118,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,platform_settings,pytest_decorator,121,124,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,temp_data_dir,pytest_decorator,127,139,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,temp_config_file,pytest_decorator,142,154,12,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,temp_db_file,pytest_decorator,157,160,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,mock_provider,pytest_decorator,168,181,13,pytest,5,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,mock_platform,pytest_decorator,184,193,9,pytest,4,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,mock_conversation,pytest_decorator,196,207,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,mock_event,pytest_decorator,210,232,22,pytest,10,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,astrbot_config,pytest_decorator,240,247,6,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,main_agent_build_config,pytest_decorator,250,267,16,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,temp_db,pytest_decorator,275,286,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,mock_context,pytest_decorator,294,337,37,pytest,10,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/conftest.py,provider_request,pytest_decorator,345,356,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/fixtures/mocks/aiocqhttp.py,mock_aiocqhttp_modules,pytest_decorator,27,39,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/fixtures/mocks/discord.py,mock_discord_modules,pytest_decorator,96,117,19,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,7b731ebda8598b7301ac9496a7323a5aff2985ac,tests/fixtures/mocks/telegram.py,mock_telegram_modules,pytest_decorator,62,91,27,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,5af5ad9e3603778c0744b534180300507b67d2b3,tests/unit/test_astr_message_event.py,platform_meta,pytest_decorator,32,39,7,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,5af5ad9e3603778c0744b534180300507b67d2b3,tests/unit/test_astr_message_event.py,message_member,pytest_decorator,42,45,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,5af5ad9e3603778c0744b534180300507b67d2b3,tests/unit/test_astr_message_event.py,astrbot_message,pytest_decorator,48,60,12,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,5af5ad9e3603778c0744b534180300507b67d2b3,tests/unit/test_astr_message_event.py,astr_message_event,pytest_decorator,63,71,8,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_astr_main_agent.py,mock_provider,pytest_decorator,19,28,9,pytest,1,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_astr_main_agent.py,mock_context,pytest_decorator,31,44,13,pytest,5,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_astr_main_agent.py,mock_event,pytest_decorator,47,74,26,pytest,4,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_astr_main_agent.py,mock_conversation,pytest_decorator,77,84,7,pytest,1,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_astr_main_agent.py,sample_config,pytest_decorator,87,97,10,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_core_lifecycle.py,mock_log_broker,pytest_decorator,13,17,4,pytest,1,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_core_lifecycle.py,mock_db,pytest_decorator,20,25,5,pytest,2,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_core_lifecycle.py,mock_astrbot_config,pytest_decorator,28,35,7,pytest,4,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_event_bus.py,event_queue,pytest_decorator,12,15,3,pytest,0,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_event_bus.py,mock_pipeline_scheduler,pytest_decorator,18,23,5,pytest,2,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_event_bus.py,mock_config_manager,pytest_decorator,26,33,7,pytest,2,copilot,agent
AstrBotDevs/AstrBot,python,93decaa99776c515f49c912f5aebfaafb2b431e4,tests/unit/test_event_bus.py,event_bus,pytest_decorator,36,43,7,pytest,0,copilot,agent
AutoX-AI-Labs/AutoR,python,bd0da71d1814ed2a74966cab3c3da7a8636c7925,tests/test_writing_pipeline.py,tmp_run,pytest_decorator,28,38,10,pytest,0,claude,agent
AutoX-AI-Labs/AutoR,python,bd0da71d1814ed2a74966cab3c3da7a8636c7925,tests/test_writing_pipeline.py,_load_registry,pytest_decorator,173,178,5,pytest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ab1fdcbd98349f62053a31f1cb215d674759efa3,tests/test_operator_recovery.py,setUp,unittest_setup,24,25,2,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,810fb13a3fc61c369916f8080619dd2452503eaf,tests/test_bounded_recovery.py,setUp,unittest_setup,46,61,15,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,810fb13a3fc61c369916f8080619dd2452503eaf,tests/test_bounded_recovery.py,tearDown,unittest_setup,63,64,2,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,810fb13a3fc61c369916f8080619dd2452503eaf,tests/test_bounded_recovery.py,setUp,unittest_setup,128,149,21,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,810fb13a3fc61c369916f8080619dd2452503eaf,tests/test_bounded_recovery.py,tearDown,unittest_setup,151,152,2,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,setUp,unittest_setup,137,143,7,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,tearDown,unittest_setup,145,146,2,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,setUp,unittest_setup,161,167,7,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,tearDown,unittest_setup,169,170,2,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,setUp,unittest_setup,226,237,12,unittest,0,claude,agent
AutoX-AI-Labs/AutoR,python,ed53e835143711393083e2a2f7b2a9278f09d4ea,tests/test_decision_ledger.py,tearDown,unittest_setup,239,240,2,unittest,0,claude,agent
BeehiveInnovations/gemini-mcp-server,python,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,tests/test_tracepath.py,tracepath_tool,pytest_decorator,16,19,3,pytest,0,claude,agent
BeehiveInnovations/gemini-mcp-server,python,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,tests/test_tracepath.py,mock_model_response,pytest_decorator,21,60,28,pytest,1,claude,agent
BerriAI/litellm,python,99d851544a33559e7b9799c60b75f1d85ee11cc6,tests/test_litellm/llms/openai/responses/test_openai_responses_transformation.py,setup_method,pytest_class_method,281,284,4,pytest,1,cursor,agent
BerriAI/litellm,python,bc26845ec4f000404e0c00b4abe0fe975e59aef2,tests/ocr_tests/base_ocr_unit_tests.py,_handle_rate_limits,pytest_decorator,29,37,8,pytest,0,cursor,agent
BerriAI/litellm,python,2905feb88925700a85758ef434630e3b8561728c,tests/litellm/llms/oci/chat/test_oci_chat_transformation.py,config,pytest_decorator,20,22,2,pytest,0,cursor,agent
BerriAI/litellm,python,82f0c3c8875a38b6973734577efc0fc12f3de816,tests/proxy_unit_tests/test_google_endpoint_routing.py,mock_user_api_key_dict,pytest_decorator,19,34,15,pytest,0,cursor,agent
BerriAI/litellm,python,82f0c3c8875a38b6973734577efc0fc12f3de816,tests/proxy_unit_tests/test_google_endpoint_routing.py,mock_request,pytest_decorator,37,49,10,pytest,1,cursor,agent
BerriAI/litellm,python,82f0c3c8875a38b6973734577efc0fc12f3de816,tests/proxy_unit_tests/test_google_endpoint_routing.py,mock_response,pytest_decorator,52,55,3,pytest,1,cursor,agent
BerriAI/litellm,python,f77eeba186c31413d317ee534ff02d41cedb1269,tests/test_litellm/litellm_core_utils/test_redact_messages.py,_reset_global_redaction,pytest_decorator,14,20,6,pytest,0,cursor,agent
BerriAI/litellm,python,28a0c61c513d85610ccac94210baff772a1f1ac4,tests/test_litellm/llms/vertex_ai/rerank/test_vertex_ai_rerank_transformation.py,teardown_method,pytest_class_method,37,40,4,pytest,0,cursor,agent
BerriAI/litellm,python,cf118671598f2e656b750c13f7750fa48df31cec,tests/test_litellm/llms/vertex_ai/vertex_ai_partner_models/gpt_oss/test_vertex_ai_gpt_oss_transformation.py,clean_vertex_env,pytest_decorator,19,40,19,pytest,0,cursor,agent
BerriAI/litellm,python,62ac8cee8ef5bde0ab35cc35a9daafb0556c7205,tests/test_litellm/llms/vertex_ai/vertex_ai_partner_models/qwen/test_vertex_ai_qwen_global_endpoint.py,clean_vertex_env,pytest_decorator,27,48,19,pytest,0,cursor,agent
BerriAI/litellm,python,5f79bf4906cbcd2ffbfdeccd6d092e373fb19f0c,tests/test_litellm/litellm_core_utils/test_token_counter.py,clear_tokenizer_cache_before_test,pytest_decorator,498,508,9,pytest,0,cursor,agent
BerriAI/litellm,python,5f79bf4906cbcd2ffbfdeccd6d092e373fb19f0c,tests/test_litellm/litellm_core_utils/test_token_counter.py,setUpClass,unittest_setup,513,515,3,unittest,0,cursor,agent
BerriAI/litellm,python,5f79bf4906cbcd2ffbfdeccd6d092e373fb19f0c,tests/test_litellm/litellm_core_utils/test_token_counter.py,setUp,unittest_setup,517,519,3,unittest,0,cursor,agent
BerriAI/litellm,python,cc2dff058154af166d51e3cdeb68c1ab57db8f08,tests/test_litellm/proxy/_experimental/mcp_server/test_mcp_server.py,cleanup_mcp_global_state,pytest_decorator,19,38,18,pytest,0,cursor,agent
BerriAI/litellm,python,defc76b32a6c98d2d81208d6711fc1c989a7644b,tests/proxy_unit_tests/test_prisma_client_backoff_retry.py,mock_prisma_binary,pytest_decorator,25,36,10,pytest,1,cursor,agent
