repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
869413421/ai-moive-studio,python,7,2,f1103449c4be590287c12d3413152e95c243180f,d5012dd4afb57a7c78a13969ae1c2434a0d77dbf,https://github.com/869413421/ai-moive-studio.git
AgentOps-AI/agentops,python,2,1,c1a40153a08ca2ee049a9229f5df15f91b3b6dfd,c1a40153a08ca2ee049a9229f5df15f91b3b6dfd,https://github.com/AgentOps-AI/agentops.git
AgriciDaniel/claude-blog,python,6,4,1c9edd19eec57cc9650ec34d64a7dfb94a6594a9,f9ff6eeab19c2d34399fa067d3a801e7251cde6e,https://github.com/AgriciDaniel/claude-blog.git
ArcadeAI/arcade-ai,python,2,1,f537771f296c6cab91fe403964ce45b28357cd72,f537771f296c6cab91fe403964ce45b28357cd72,https://github.com/ArcadeAI/arcade-ai.git
Archmonger/django-dbbackup,python,2,2,6869166c4b8c863d831b1d82e1f17477a7a6da3c,099ac5d54d57f5e4903ca9e1890c16159e762c28,https://github.com/Archmonger/django-dbbackup.git
Arize-ai/openinference,python,5,1,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,6f627e74a0e06e823aa593922d8d13b8d3d9aa22,https://github.com/Arize-ai/openinference.git
Arize-ai/phoenix,python,4,4,5ec669f379f985b0f552b641183cb038fb3d1efc,e4f53968696cccd28c66c70487aaa1c470567439,https://github.com/Arize-ai/phoenix.git
AstrBotDevs/AstrBot,python,37,4,a404436f2cddf6b7e49d7e9c60dc240748d0767d,93decaa99776c515f49c912f5aebfaafb2b431e4,https://github.com/AstrBotDevs/AstrBot.git
AutoX-AI-Labs/AutoR,python,13,4,bd0da71d1814ed2a74966cab3c3da7a8636c7925,ed53e835143711393083e2a2f7b2a9278f09d4ea,https://github.com/AutoX-AI-Labs/AutoR.git
BeehiveInnovations/gemini-mcp-server,python,2,1,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,3bc79562396621b755ea9ab1a46dfcc3bd83bd73,https://github.com/BeehiveInnovations/gemini-mcp-server.git
BerriAI/litellm,python,121,55,99d851544a33559e7b9799c60b75f1d85ee11cc6,669ddc12c7888e2da7d5a2bc7b03bc665f1f9cf9,https://github.com/BerriAI/litellm.git
BrainBlend-AI/atomic-agents,python,6,1,f53c965f95a1bfd150c7707de662739d414ba342,f53c965f95a1bfd150c7707de662739d414ba342,https://github.com/BrainBlend-AI/atomic-agents.git
CRui5in/paper-ppt-agent,python,1,1,a6f6b5c090fdeae916213aa6aebd9a3476844749,a6f6b5c090fdeae916213aa6aebd9a3476844749,https://github.com/CRui5in/paper-ppt-agent.git
CelestoAI/SmolVM,python,9,8,57923526fadf1d663e78c248f33a365ce3bfa5f9,44bac4a240f594a28ef57b177229c17b3db030c1,https://github.com/CelestoAI/SmolVM.git
ClawBio/ClawBio,python,26,13,a41a8b1dad4c0992114334b4153a192b0db78033,4b1657227ae5acf015f2b34eb1ce973dbb68c7d5,https://github.com/ClawBio/ClawBio.git
CodeGraphContext/CodeGraphContext,python,9,5,a5714f6f02f9e9c32b57eabdb6553e6e9a837ead,510aa83afcd5afa4d4181a942d0a9a5f85c630e4,https://github.com/CodeGraphContext/CodeGraphContext.git
CursorTouch/Windows-MCP,python,7,1,b9318843328047b50f48d13484921afa1d73e5f4,b9318843328047b50f48d13484921afa1d73e5f4,https://github.com/CursorTouch/Windows-MCP.git
Datus-ai/Datus-agent,python,12,7,9718489eabd8fb391b2d9eff64631cf09795f78d,c4cac5b12882684f95c47c3038b80ae1456cb40f,https://github.com/Datus-ai/Datus-agent.git
Decade-qiu/CookHero,python,2,1,b9fd6d51a6522f1006f023e31e29a718225965d7,b9fd6d51a6522f1006f023e31e29a718225965d7,https://github.com/Decade-qiu/CookHero.git
Dicklesworthstone/mcp_agent_mail,python,9,6,be695ac4f51ae133efcaf47698e4dce60e81ff45,dd7f0b37fb3d18cf6d46373e78f1b0d7c7848941,https://github.com/Dicklesworthstone/mcp_agent_mail.git
EBOLABOY/GridBNB-USDT,python,16,1,96125954861288e8fd1dd429805ecc40c086a002,96125954861288e8fd1dd429805ecc40c086a002,https://github.com/EBOLABOY/GridBNB-USDT.git
FalkorDB/QueryWeaver,python,6,4,d088b36502832d8e5aa2625cea7adecc71db973e,bd5a46114a5246e5f9e61ca4b063885acd69197e,https://github.com/FalkorDB/QueryWeaver.git
GH05TCREW/PentestAgent,python,4,2,bf3597cb5b4133528b3dce5e1cb8a65cacca09ba,8c34ec6bab9ddeae4a9bc3383b8aa2964e594611,https://github.com/GH05TCREW/PentestAgent.git
GetBindu/Bindu,python,23,12,ae77e5dbc5d7ecdc8f2fd242c8e59f07eb6f44ad,50652432c94e45ccc15f61a5051e90b672a235a6,https://github.com/GetBindu/Bindu.git
