repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url
sonarsource/sonarjs,typescript,14,1,b0f6154efe2416d73aa58d5af0ad17e80ebe82ee,b0f6154efe2416d73aa58d5af0ad17e80ebe82ee,https://github.com/sonarsource/sonarjs.git
microsoft/lage,typescript,2,1,cdc303b4f5ceba1832e531b1e1b317a76b911706,cdc303b4f5ceba1832e531b1e1b317a76b911706,https://github.com/microsoft/lage.git
thomasnordquist/mqtt-explorer,typescript,12,4,ed8a7f559e03a9b20135286c52f921d55deb4b39,8285627c5f8d1d8dcf556ac98588de0c6401f00e,https://github.com/thomasnordquist/mqtt-explorer.git
markuplint/markuplint,typescript,2,1,203d4fb5bfdc0656f95a39af23b5e079ea324d39,203d4fb5bfdc0656f95a39af23b5e079ea324d39,https://github.com/markuplint/markuplint.git
ericblade/quagga2,typescript,15,10,ea327ba078bd83d0d95c56b2f3dbd4115bc7f763,dc17b13bc2a3486081b32cb771a221159c849d29,https://github.com/ericblade/quagga2.git
six7/figma-tokens,typescript,5,5,a07afc51652f2c4977ccfd452499d3817ae4611e,faaee7b582a89e7fd6fabae5de0088f9f7152500,https://github.com/six7/figma-tokens.git
golevelup/nestjs,typescript,13,6,7f9295d44c8b4bb037e62705c20e8196db9e158d,0de36a8da7c2dab631623e3c7497f73257f57b2e,https://github.com/golevelup/nestjs.git
homebridge/homebridge,typescript,5,1,f9ad47cd263f67029d3a8174167f087014713b40,f9ad47cd263f67029d3a8174167f087014713b40,https://github.com/homebridge/homebridge.git
getsentry/sentry-react-native,typescript,2,1,24138d360aed88473203e3cd6176ee0776c5e67b,24138d360aed88473203e3cd6176ee0776c5e67b,https://github.com/getsentry/sentry-react-native.git
microsoft/beachball,typescript,6,3,e6196c1cc45b8062bdfa08bf3d7f0683005f1e9d,f7e3db4f77ee990e4695278f2879181f92167a01,https://github.com/microsoft/beachball.git
sindresorhus/refined-github,typescript,2,1,fa4f83b41bca54291753540d2ffabc5bc2e611b1,fa4f83b41bca54291753540d2ffabc5bc2e611b1,https://github.com/sindresorhus/refined-github.git
acacode/swagger-typescript-api,typescript,2,1,691d07d805c17a02da3f0062ef1c0457ec0e2543,691d07d805c17a02da3f0062ef1c0457ec0e2543,https://github.com/acacode/swagger-typescript-api.git
mikro-orm/mikro-orm,typescript,52,4,725e9244f19057f99423a2e1bcc6e3fcff9d6f3d,5937ab695d781f347fee67ddc5708ff4b5c46bac,https://github.com/mikro-orm/mikro-orm.git
nomiclabs/hardhat,typescript,3,1,c4a7daace7ce9d9d76eca194b1abba4e8f6c64c3,c4a7daace7ce9d9d76eca194b1abba4e8f6c64c3,https://github.com/nomiclabs/hardhat.git
po-ui/po-angular,typescript,5,2,c4235c3c79180d0f988b7d2156d6b2ad769e37b6,c32ca35fe5d833085883b5ac2fad61809732468a,https://github.com/po-ui/po-angular.git
electron-userland/electron-builder,typescript,1,1,a5d8ab9436dd7db0c58a08cf9594e47613c4fc8e,a5d8ab9436dd7db0c58a08cf9594e47613c4fc8e,https://github.com/electron-userland/electron-builder.git
ng-zorro/ng-zorro-antd,typescript,1,1,de0faf6dcb333ae430d1f5e85c95303c8081cbeb,de0faf6dcb333ae430d1f5e85c95303c8081cbeb,https://github.com/ng-zorro/ng-zorro-antd.git
microsoft/rushstack,typescript,5,1,6e6df7361d81fdfb24acaafda37e2523d6b65db7,6e6df7361d81fdfb24acaafda37e2523d6b65db7,https://github.com/microsoft/rushstack.git
sanity-io/sanity,typescript,17,7,03217c90079df8b18f2a1af0fa2c4b97de39d6e5,34215dfc3a4cb2100276aa03e526292ea73302ec,https://github.com/sanity-io/sanity.git
azuread/microsoft-authentication-library-for-js,typescript,4,2,bd1d3fbb4d7d5746152540ccb0d2201bd0d81394,a07373dcbfbd28d081c121086eaade36cfedb3a9,https://github.com/azuread/microsoft-authentication-library-for-js.git
microsoft/vscode-pull-request-github,typescript,4,3,eacf5393ca03c7f541c0b8db59a7af9585a34587,3071d50110b383a403c165c99c78718ad0358386,https://github.com/microsoft/vscode-pull-request-github.git
igniteui/igniteui-angular,typescript,11,3,c2c1b8bf2a4cfbeb140d92e11cf7b55f57767d26,b1794c1b07650403292c10f5f7ab7011171175af,https://github.com/igniteui/igniteui-angular.git
github/codeql-action,typescript,10,2,9660df3fccdf5b20ab86e041325c17a2204cc1ae,357e0ceaa944420266db3ff50182959161a023f0,https://github.com/github/codeql-action.git
trezor/trezor-suite,typescript,2,2,b9a864c14bf7e9f167b125fbfc6c27432969f7ec,e07eed84c9bc1c52870fd5e85e7f8da837404957,https://github.com/trezor/trezor-suite.git
tinkoffcreditsystems/taiga-ui,typescript,4,2,5536dddc2e16d0aa4dafe3bfeaacc3101b0dc6e7,ac8653330dc14007149ef88d1321d31efc69d77d,https://github.com/tinkoffcreditsystems/taiga-ui.git
sap/spartacus,typescript,45,6,0909c3ae067dda2b9866d7186ea66a77ac265f4f,355a8908d50335049fe2e5f2c49b80b6061b0a79,https://github.com/sap/spartacus.git
