repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,reuse_count,has_teardown_pair,github_url,agent_type,commit_kind,is_complete_addition
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-fabric/test/connector-configuration/ConnectorConfiguration.js,<anonymous>_34,before_each,35,39,5,,0,per_test,1,1,0,1,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-fabric/test/connector-configuration/ConnectorConfiguration.js#L35-L39,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-core/test/worker/rate-control/maxRate.js,<anonymous>_30,before_each,31,48,17,,0,per_test,1,1,0,1,0,1,1,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-core/test/worker/rate-control/maxRate.js#L31-L48,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-core/test/worker/rate-control/linearRate.js,<anonymous>_212,after_each,213,215,3,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-core/test/worker/rate-control/linearRate.js#L213-L215,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-core/test/manager/charts/chart-builder.js,<anonymous>_249,after_each,250,252,3,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-core/test/manager/charts/chart-builder.js#L250-L252,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-core/test/worker/rate-control/linearRate.js,<anonymous>_63,before_each,64,80,17,,0,per_test,1,1,0,1,0,1,1,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-core/test/worker/rate-control/linearRate.js#L64-L80,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-fabric/test/configValidator.js,<anonymous>_2126,before_each,2127,2129,3,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-fabric/test/configValidator.js#L2127-L2129,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-fabric/test/connector-versions/v1/FabricNonGateway.js,<anonymous>_61,mocha_after,62,65,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-fabric/test/connector-versions/v1/FabricNonGateway.js#L62-L65,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-fabric/test/configValidator.js,<anonymous>_53,before_each,54,66,12,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-fabric/test/configValidator.js#L54-L66,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-fabric/test/connector-versions/v1/ClientCreator.js,<anonymous>_50,mocha_after,51,54,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-fabric/test/connector-versions/v1/ClientCreator.js#L51-L54,human_pre2022,human,1
hyperledger/caliper,javascript,bc436e851261adfafc8b3ca7f334c0651e21c876,packages/caliper-core/test/manager/charts/chart-builder.js,<anonymous>_271,before_each,272,274,3,,0,per_test,1,1,0,0,0,1,1,https://github.com/hyperledger/caliper/blob/bc436e851261adfafc8b3ca7f334c0651e21c876/packages/caliper-core/test/manager/charts/chart-builder.js#L272-L274,human_pre2022,human,1
