repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,reuse_count,has_teardown_pair,github_url,agent_type,commit_kind,is_complete_addition
formidablelabs/renature,typescript,23fd4c01d19ac5e2a131121ea08d5a640812e474,__tests__/animation/group.spec.ts,<anonymous>_41,after_each,42,44,3,,0,per_test,1,1,0,0,0,1,0,https://github.com/formidablelabs/renature/blob/23fd4c01d19ac5e2a131121ea08d5a640812e474/__tests__/animation/group.spec.ts#L42-L44,human_pre2022,human,1
formidablelabs/renature,typescript,23fd4c01d19ac5e2a131121ea08d5a640812e474,__tests__/rAF/rAF.spec.ts,<anonymous>_12,after_each,13,16,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/formidablelabs/renature/blob/23fd4c01d19ac5e2a131121ea08d5a640812e474/__tests__/rAF/rAF.spec.ts#L13-L16,human_pre2022,human,1
formidablelabs/renature,typescript,23fd4c01d19ac5e2a131121ea08d5a640812e474,__tests__/rAF/update.spec.ts,<anonymous>_33,after_each,34,37,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/formidablelabs/renature/blob/23fd4c01d19ac5e2a131121ea08d5a640812e474/__tests__/rAF/update.spec.ts#L34-L37,human_pre2022,human,1
formium/formik,typescript,e4fe4a2a11ff0d0495a0319def0307fceb7440d2,packages/formik/test/Field.test.tsx,<anonymous>_98,after_each,99,99,1,,0,per_test,1,1,0,0,0,1,0,https://github.com/formium/formik/blob/e4fe4a2a11ff0d0495a0319def0307fceb7440d2/packages/formik/test/Field.test.tsx#L99-L99,human_pre2022,human,1
formium/formik,typescript,e4fe4a2a11ff0d0495a0319def0307fceb7440d2,packages/formik/test/setupTests.ts,<anonymous>_4,before_each,5,14,10,,0,per_test,1,1,0,0,0,1,1,https://github.com/formium/formik/blob/e4fe4a2a11ff0d0495a0319def0307fceb7440d2/packages/formik/test/setupTests.ts#L5-L14,human_pre2022,human,1
formium/formik,typescript,e4fe4a2a11ff0d0495a0319def0307fceb7440d2,packages/formik/test/setupTests.ts,<anonymous>_15,after_each,16,23,7,,0,per_test,2,2,0,0,0,1,0,https://github.com/formium/formik/blob/e4fe4a2a11ff0d0495a0319def0307fceb7440d2/packages/formik/test/setupTests.ts#L16-L23,human_pre2022,human,1
h3js/h3,typescript,7d0bffda44b8bd6a9e3ea29a397480c84e3d313d,test/app.test.ts,<anonymous>_7,before_each,8,11,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/h3js/h3/blob/7d0bffda44b8bd6a9e3ea29a397480c84e3d313d/test/app.test.ts#L8-L11,human_pre2022,human,1
h3js/h3,typescript,7d0bffda44b8bd6a9e3ea29a397480c84e3d313d,test/body.test.ts,<anonymous>_7,before_each,8,11,4,,0,per_test,1,1,0,0,0,1,0,https://github.com/h3js/h3/blob/7d0bffda44b8bd6a9e3ea29a397480c84e3d313d/test/body.test.ts#L8-L11,human_pre2022,human,1
h3js/h3,typescript,7d0bffda44b8bd6a9e3ea29a397480c84e3d313d,test/e2e.test.ts,<anonymous>_13,before_each,14,20,7,,0,per_test,1,1,0,1,0,1,1,https://github.com/h3js/h3/blob/7d0bffda44b8bd6a9e3ea29a397480c84e3d313d/test/e2e.test.ts#L14-L20,human_pre2022,human,1
h3js/h3,typescript,7d0bffda44b8bd6a9e3ea29a397480c84e3d313d,test/e2e.test.ts,<anonymous>_21,after_each,22,24,3,,0,per_test,1,1,0,0,0,1,0,https://github.com/h3js/h3/blob/7d0bffda44b8bd6a9e3ea29a397480c84e3d313d/test/e2e.test.ts#L22-L24,human_pre2022,human,1
