repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,reuse_count,has_teardown_pair,github_url,is_complete_addition
Canner/wren-engine,java,e38f545137df6dcdcdceca63735a13791c5bd8e0,ibis-server/tests/routers/v2/connector/test_mysql.py,mysql_ssl_off,pytest_decorator,116,120,4,pytest,0,per_module,1,2,1,1,1,2,0,https://github.com/Canner/wren-engine/blob/e38f545137df6dcdcdceca63735a13791c5bd8e0/ibis-server/tests/routers/v2/connector/test_mysql.py#L116-L120,1
Canner/wren-engine,java,9cf19fdb814907c80251bf8d0826f5af44e9ddb3,ibis-server/tests/routers/v2/connector/test_minio_file.py,manifest_str,pytest_decorator,81,83,2,pytest,0,per_module,1,2,0,0,0,5,0,https://github.com/Canner/wren-engine/blob/9cf19fdb814907c80251bf8d0826f5af44e9ddb3/ibis-server/tests/routers/v2/connector/test_minio_file.py#L81-L83,1
Canner/wren-engine,java,9cf19fdb814907c80251bf8d0826f5af44e9ddb3,ibis-server/tests/routers/v2/connector/test_minio_file.py,minio,pytest_decorator,86,152,64,pytest,0,per_module,1,2,1,1,1,12,0,https://github.com/Canner/wren-engine/blob/9cf19fdb814907c80251bf8d0826f5af44e9ddb3/ibis-server/tests/routers/v2/connector/test_minio_file.py#L86-L152,1
Canner/wren-engine,java,50d12400863c9da091b383a9d270ea799f12c4a8,ibis-server/tests/routers/v2/connector/test_gcs_file.py,manifest_str,pytest_decorator,83,85,2,pytest,0,per_module,1,2,0,0,0,5,0,https://github.com/Canner/wren-engine/blob/50d12400863c9da091b383a9d270ea799f12c4a8/ibis-server/tests/routers/v2/connector/test_gcs_file.py#L83-L85,1
Canner/wren-engine,java,50d12400863c9da091b383a9d270ea799f12c4a8,ibis-server/tests/routers/v2/connector/test_gcs_file.py,connection_info,pytest_decorator,88,97,9,pytest,0,per_module,1,2,0,0,0,7,0,https://github.com/Canner/wren-engine/blob/50d12400863c9da091b383a9d270ea799f12c4a8/ibis-server/tests/routers/v2/connector/test_gcs_file.py#L88-L97,1
Canner/wren-engine,java,b698a58ce817b1c9cc4f9546307ff976ccb6a9a8,ibis-server/tests/routers/v2/connector/test_oracle.py,manifest_str,pytest_decorator,80,82,2,pytest,0,per_module,1,2,0,0,0,11,0,https://github.com/Canner/wren-engine/blob/b698a58ce817b1c9cc4f9546307ff976ccb6a9a8/ibis-server/tests/routers/v2/connector/test_oracle.py#L80-L82,1
Canner/wren-engine,java,b698a58ce817b1c9cc4f9546307ff976ccb6a9a8,ibis-server/tests/routers/v2/connector/test_oracle.py,oracle,pytest_decorator,85,110,22,pytest,0,per_module,1,4,1,2,1,15,0,https://github.com/Canner/wren-engine/blob/b698a58ce817b1c9cc4f9546307ff976ccb6a9a8/ibis-server/tests/routers/v2/connector/test_oracle.py#L85-L110,1
Canner/wren-engine,java,d6c4693adc7235647f43e5d6039912a53ac1c8d1,ibis-server/tests/routers/v3/connector/local_file/test_functions.py,manifest_str,pytest_decorator,30,32,2,pytest,0,per_module,1,2,0,0,0,2,0,https://github.com/Canner/wren-engine/blob/d6c4693adc7235647f43e5d6039912a53ac1c8d1/ibis-server/tests/routers/v3/connector/local_file/test_functions.py#L30-L32,1
Canner/wren-engine,java,d6c4693adc7235647f43e5d6039912a53ac1c8d1,ibis-server/tests/routers/v3/connector/local_file/test_functions.py,set_remote_function_list_path,pytest_decorator,35,40,5,pytest,0,per_test,1,2,0,0,0,0,1,https://github.com/Canner/wren-engine/blob/d6c4693adc7235647f43e5d6039912a53ac1c8d1/ibis-server/tests/routers/v3/connector/local_file/test_functions.py#L35-L40,1
Canner/wren-engine,java,8549745676c439b935becd1e513e45c15317082a,ibis-server/tests/routers/v2/connector/test_oracle.py,duplicate_key_manifest_str,pytest_decorator,113,115,2,pytest,0,per_module,1,2,0,0,0,1,0,https://github.com/Canner/wren-engine/blob/8549745676c439b935becd1e513e45c15317082a/ibis-server/tests/routers/v2/connector/test_oracle.py#L113-L115,1
