repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,is_complete_addition
michaelchu/optopsy,python,e15d250ff951e7c6707475736e32fd20fb06860e,tests/test_simulator_portfolio.py,spy_data_up,pytest_decorator,98,100,2,pytest,0,1
michaelchu/optopsy,python,e15d250ff951e7c6707475736e32fd20fb06860e,tests/test_simulator_portfolio.py,qqq_data_up,pytest_decorator,103,105,2,pytest,0,1
michaelchu/optopsy,python,e15d250ff951e7c6707475736e32fd20fb06860e,tests/test_simulator_portfolio.py,spy_data_down,pytest_decorator,108,110,2,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,data,pytest_decorator,249,252,3,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,multi_strike_data,pytest_decorator,255,258,3,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,multi_entry_data,pytest_decorator,261,284,23,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,calendar_data,pytest_decorator,287,290,3,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,calendar_put_data,pytest_decorator,293,296,3,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,directional_data,pytest_decorator,1029,1031,2,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,directional_multi_strike_data,pytest_decorator,1034,1036,2,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,directional_calendar_data,pytest_decorator,1039,1041,2,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,directional_calendar_put_data,pytest_decorator,1044,1046,2,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,multi_entry_spread_data,pytest_decorator,1200,1223,23,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator.py,multi_trade_spread_result,pytest_decorator,1226,1235,9,pytest,0,1
michaelchu/optopsy,python,f9a8a57e7386dac48245c3d0865225a4c97c4e0f,tests/test_simulator_e2e.py,chain_csv,pytest_decorator,73,119,44,pytest,0,1
