repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
eclipse/che,1,typescript,6909,https://github.com/eclipse/che.git,137,,2026-05-26T05:25:16.275915+00:00
mcodex/react-native-sensitive-info,0,typescript,1050,https://github.com/mcodex/react-native-sensitive-info.git,50,no_agent_config,2026-05-26T05:25:19.855577+00:00
jhipster/jhipster-registry,0,typescript,708,https://github.com/jhipster/jhipster-registry.git,49,no_agent_config,2026-05-26T05:25:19.870795+00:00
microsoft/vscode-java-debug,0,typescript,586,https://github.com/microsoft/vscode-java-debug.git,38,no_agent_config,2026-05-26T05:25:20.694036+00:00
apicurio/apicurio-studio,0,typescript,1062,https://github.com/apicurio/apicurio-studio.git,9,no_agent_config,2026-05-26T05:25:20.799877+00:00
sonarsource/sonarjs,1,typescript,1235,https://github.com/sonarsource/sonarjs.git,94,,2026-05-26T05:25:21.256376+00:00
ionic-team/capacitor,0,typescript,15722,https://github.com/ionic-team/capacitor.git,287,no_agent_config,2026-05-26T05:25:22.657685+00:00
software-mansion/react-native-screens,1,typescript,3664,https://github.com/software-mansion/react-native-screens.git,164,,2026-05-26T05:25:24.250026+00:00
justjake/quickjs-emscripten,1,typescript,1615,https://github.com/justjake/quickjs-emscripten.git,14,,2026-05-26T05:25:24.767348+00:00
crauzer/obsidian,0,typescript,646,https://github.com/crauzer/obsidian.git,9,no_agent_config,2026-05-26T05:25:24.937196+00:00
dotnet/try,0,typescript,3020,https://github.com/dotnet/try.git,47,no_agent_config,2026-05-26T05:25:26.016964+00:00
guryanovev/crystalquartz,0,typescript,1059,https://github.com/guryanovev/crystalquartz.git,10,no_agent_config,2026-05-26T05:25:26.592058+00:00
software-mansion/react-native-gesture-handler,1,typescript,6726,https://github.com/software-mansion/react-native-gesture-handler.git,259,,2026-05-26T05:25:27.886612+00:00
openvidu/openvidu,0,typescript,2100,https://github.com/openvidu/openvidu.git,32,no_agent_config,2026-05-26T05:25:29.072741+00:00
tdurieux/anonymous_github,0,typescript,2082,https://github.com/tdurieux/anonymous_github.git,8,no_agent_config,2026-05-26T05:25:31.109226+00:00
mil-tokyo/webdnn,0,typescript,1995,https://github.com/mil-tokyo/webdnn.git,11,no_agent_config,2026-05-26T05:25:31.116338+00:00
ohmyform/ohmyform,0,typescript,2811,https://github.com/ohmyform/ohmyform.git,49,no_agent_config,2026-05-26T05:25:31.133012+00:00
chrismaltby/gb-studio,0,typescript,9277,https://github.com/chrismaltby/gb-studio.git,69,no_agent_config,2026-05-26T05:25:31.166389+00:00
korzhcom/easydata,0,typescript,620,https://github.com/korzhcom/easydata.git,8,no_agent_config,2026-05-26T05:25:31.599465+00:00
melpon/wandbox,0,typescript,1264,https://github.com/melpon/wandbox.git,15,no_agent_config,2026-05-26T05:25:32.374075+00:00
transistorsoft/react-native-background-geolocation,0,typescript,2892,https://github.com/transistorsoft/react-native-background-geolocation.git,33,no_agent_config,2026-05-26T05:25:32.734813+00:00
onesignal/react-native-onesignal,0,typescript,1594,https://github.com/onesignal/react-native-onesignal.git,82,no_agent_config,2026-05-26T05:25:32.739527+00:00
caiiiycuk/js-dos,0,typescript,1289,https://github.com/caiiiycuk/js-dos.git,7,no_agent_config,2026-05-26T05:25:32.865760+00:00
xgi/houdoku,0,typescript,841,https://github.com/xgi/houdoku.git,22,no_agent_config,2026-05-26T05:25:33.831813+00:00
rive-app/rive-wasm,0,typescript,939,https://github.com/rive-app/rive-wasm.git,18,no_agent_config,2026-05-26T05:25:33.836867+00:00
rpg-paper-maker/rpg-paper-maker,0,typescript,670,https://github.com/rpg-paper-maker/rpg-paper-maker.git,16,no_agent_config,2026-05-26T05:25:35.118338+00:00
react-native-maps/react-native-maps,0,typescript,15948,https://github.com/react-native-maps/react-native-maps.git,423,no_agent_config,2026-05-26T05:25:36.293765+00:00
wowup/wowup,0,typescript,948,https://github.com/wowup/wowup.git,45,no_agent_config,2026-05-26T05:25:36.305010+00:00
owtf/owtf,0,typescript,1935,https://github.com/owtf/owtf.git,64,no_agent_config,2026-05-26T05:25:36.313104+00:00
superwerker/superwerker,0,typescript,547,https://github.com/superwerker/superwerker.git,21,no_agent_config,2026-05-26T05:25:36.844326+00:00
jupyter/nbdime,0,typescript,2829,https://github.com/jupyter/nbdime.git,49,no_agent_config,2026-05-26T05:25:38.307305+00:00
blackholll/loonflow,0,typescript,2080,https://github.com/blackholll/loonflow.git,15,no_agent_config,2026-05-26T05:25:39.622781+00:00
orchest/orchest,0,typescript,3878,https://github.com/orchest/orchest.git,28,no_agent_config,2026-05-26T05:25:39.638841+00:00
yuche/gouqi,0,typescript,500,https://github.com/yuche/gouqi.git,0,no_agent_config,2026-05-26T05:25:39.808077+00:00
witheve/eve,0,typescript,6945,https://github.com/witheve/eve.git,47,no_agent_config,2026-05-26T05:25:40.888845+00:00
polymer/polymer-bundler,0,typescript,1205,https://github.com/polymer/polymer-bundler.git,34,no_agent_config,2026-05-26T05:25:41.381860+00:00
colmena/colmena,0,typescript,1426,https://github.com/colmena/colmena.git,31,no_agent_config,2026-05-26T05:25:41.389178+00:00
propelml/propel,0,typescript,2769,https://github.com/propelml/propel.git,18,no_agent_config,2026-05-26T05:25:42.280704+00:00
nathanwalker/angular-seed-advanced,0,typescript,2295,https://github.com/nathanwalker/angular-seed-advanced.git,183,no_agent_config,2026-05-26T05:25:43.290299+00:00
ispring/webglobe,0,typescript,676,https://github.com/ispring/webglobe.git,2,no_agent_config,2026-05-26T05:25:43.979179+00:00
phodal/growth-ionic,0,typescript,2214,https://github.com/phodal/growth-ionic.git,8,no_agent_config,2026-05-26T05:25:44.607888+00:00
blakeblackshear/frigate,1,typescript,32057,https://github.com/blakeblackshear/frigate.git,381,,2026-05-26T05:25:45.739899+00:00
