name,mainLanguage,domain,confidence,reasoning
pmd/pmd,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
thymeleaf/thymeleaf,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
apache/curator,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
soniccloudorg/sonic-server,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
jetbrains/jediterm,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
henrichg/phoneprofilesplus,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
atmosphere/atmosphere,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
qlangtech/tis,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
yuliskov/smarttubenext,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
google/tink,Java,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
