name,mainLanguage,domain,confidence,reasoning
famous/famous,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
HeyPuter/puter,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
fsahin/artist-explorer,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
crits/crits,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
cay-zhang/rssbud,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
hackclub/sprig,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
discord-datamining/discord-datamining,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
fex-team/fis3-demo,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
helpers/handlebars-helpers,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
nectarjs/nectarjs,JavaScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
