name,mainLanguage,domain,confidence,reasoning
lyswhut/lx-music-desktop,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
communitysolidserver/communitysolidserver,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
eyeix/meilisearch-ui,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
angular/react-native-renderer,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
jameskerr/react-arborist,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
aeharding/voyager,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
daydreamsai/daydreams,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
vercel/vercel,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
apollographql/apollo-client-nextjs,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
ever-co/ever-demand,TypeScript,other,low,"LLM error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout="
