repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
yahoo/athenz,python,245d63cff8cc5c03eb19cd39d8413e9d4c2ebd7c,provider/spacelift/sia-spacelift/sia_test.py,private_key,pytest_decorator,130,131,2,pytest,0,per_test,1,1,0,0,0,0,https://github.com/yahoo/athenz/blob/245d63cff8cc5c03eb19cd39d8413e9d4c2ebd7c/provider/spacelift/sia-spacelift/sia_test.py#L130-L131,gemini,agent,feat,"def private_key(self):
        return rsa.generate_private_key(public_exponent=65537, key_size=2048)",2026-04-17,9.412731006160165,1
jesse-ai/jesse,python,60157d01450ef4f8d524487a3f8d3f8b933af6df,tests/test_candle_timeframe_filter.py,sqlite_candles,pytest_decorator,53,58,6,pytest,0,per_test,1,2,0,1,0,1,https://github.com/jesse-ai/jesse/blob/60157d01450ef4f8d524487a3f8d3f8b933af6df/tests/test_candle_timeframe_filter.py#L53-L58,claude,agent,none,"def sqlite_candles():
    """"""Binds the Candle model to a throwaway in-memory database for the test.""""""
    db = peewee.SqliteDatabase(':memory:')
    with db.bind_ctx([Candle]):
        db.execute_sql(LEGACY_SCHEMA)
        yield db",2026-07-29,7.715263518138261,1
salesforce/cloudsplaining,python,c0546f7cfa91dfd703bceeb451513ab139b14384,test/conftest.py,_reset_exclusion_output,pytest_decorator,9,18,9,pytest,0,per_test,1,1,0,0,0,1,https://github.com/salesforce/cloudsplaining/blob/c0546f7cfa91dfd703bceeb451513ab139b14384/test/conftest.py#L9-L18,claude,agent,none,"def _reset_exclusion_output():
    """"""Reset the exclusion-output toggle to the library default after every test.

    The CLI scopes ``set_exclusion_output(True)`` to its invocation and restores it on
    teardown, so this is defense-in-depth: it guarantees that any test which flips the
    toggle directly (or a CLI test that bypasses normal context teardown) cannot leak
    printing state into another test and cause order-dependent flakiness.
    """"""
    yield
    set_exclusion_output(False)",2026-06-14,6.151950718685832,1
salesforce/cloudsplaining,python,c0546f7cfa91dfd703bceeb451513ab139b14384,test/shared/test_exclusion_output.py,setUp,unittest_setup,21,24,4,unittest,0,per_test,1,1,0,0,0,1,https://github.com/salesforce/cloudsplaining/blob/c0546f7cfa91dfd703bceeb451513ab139b14384/test/shared/test_exclusion_output.py#L21-L24,claude,agent,none,"def setUp(self):
        # Every test starts from the library default and restores it afterward.
        self.addCleanup(set_exclusion_output, False)
        set_exclusion_output(False)",2026-06-14,6.151950718685832,1
talebook/talebook,python,5db25971568797419f7ebe4e60f64e98bfa17218,tests/test_upload.py,setUp,unittest_setup,14,16,3,unittest,0,per_test,1,1,0,0,0,0,https://github.com/talebook/talebook/blob/5db25971568797419f7ebe4e60f64e98bfa17218/tests/test_upload.py#L14-L16,claude,agent,test,"def setUp(self):
        from webserver.handlers.book import decode_filename
        self.decode = decode_filename",2026-04-23,9.604380561259411,1
talebook/talebook,python,626bbed5333442da7091e343e3161a2531745efc,tests/test_booksource_engine.py,setUp,unittest_setup,72,74,3,unittest,0,per_test,1,1,0,2,0,0,https://github.com/talebook/talebook/blob/626bbed5333442da7091e343e3161a2531745efc/tests/test_booksource_engine.py#L72-L74,claude,agent,feat,"def setUp(self):
        self.soup = BeautifulSoup(text(""search.html""), ""html.parser"")
        self.ar = AnalyzeRule(self.soup, base_url=""http://x.com"")",2026-05-23,9.686516084873375,1
talebook/talebook,python,626bbed5333442da7091e343e3161a2531745efc,tests/test_booksource_engine.py,setUp,unittest_setup,133,137,4,unittest,0,per_test,1,1,0,1,0,0,https://github.com/talebook/talebook/blob/626bbed5333442da7091e343e3161a2531745efc/tests/test_booksource_engine.py#L133-L137,claude,agent,feat,"def setUp(self):
        import json

        self.data = json.loads(text(""search.json""))
        self.ar = AnalyzeRule(self.data)",2026-05-23,9.686516084873375,1
talebook/talebook,python,34d605a7baf460d33347d0fe1bb1c1218ae0c817,tests/test_booksource_admin.py,setUpModule,unittest_setup,14,15,2,unittest,0,per_module,1,1,0,0,0,0,https://github.com/talebook/talebook/blob/34d605a7baf460d33347d0fe1bb1c1218ae0c817/tests/test_booksource_admin.py#L14-L15,claude,agent,feat,"def setUpModule():
    init()",2026-05-23,9.686516084873375,1
talebook/talebook,python,34d605a7baf460d33347d0fe1bb1c1218ae0c817,tests/test_booksource_admin.py,setUp,unittest_setup,47,51,5,unittest,0,per_test,1,1,0,0,2,0,https://github.com/talebook/talebook/blob/34d605a7baf460d33347d0fe1bb1c1218ae0c817/tests/test_booksource_admin.py#L47-L51,claude,agent,feat,"def setUp(self):
        super().setUp()
        session = get_db()
        session.query(models.BookSourceModel).delete()
        session.commit()",2026-05-23,9.686516084873375,1
talebook/talebook,python,34d605a7baf460d33347d0fe1bb1c1218ae0c817,tests/test_network_library.py,setUpModule,unittest_setup,16,17,2,unittest,0,per_module,1,1,0,0,0,0,https://github.com/talebook/talebook/blob/34d605a7baf460d33347d0fe1bb1c1218ae0c817/tests/test_network_library.py#L16-L17,claude,agent,feat,"def setUpModule():
    init()",2026-05-23,9.686516084873375,1
talebook/talebook,python,34d605a7baf460d33347d0fe1bb1c1218ae0c817,tests/test_network_library.py,setUp,unittest_setup,34,36,3,unittest,0,per_test,1,1,0,0,0,0,https://github.com/talebook/talebook/blob/34d605a7baf460d33347d0fe1bb1c1218ae0c817/tests/test_network_library.py#L34-L36,claude,agent,feat,"def setUp(self):
        super().setUp()
        self.sid = make_source()",2026-05-23,9.686516084873375,1
talebook/talebook,python,a4b07f7f8c9dbf7e2684c13806135324463c249c,tests/test_network_save.py,setUpModule,unittest_setup,15,16,2,unittest,0,per_module,1,1,0,0,0,0,https://github.com/talebook/talebook/blob/a4b07f7f8c9dbf7e2684c13806135324463c249c/tests/test_network_save.py#L15-L16,claude,agent,feat,"def setUpModule():
    init()",2026-05-23,9.686516084873375,1
talebook/talebook,python,a4b07f7f8c9dbf7e2684c13806135324463c249c,tests/test_network_save.py,setUp,unittest_setup,23,31,9,unittest,0,per_test,1,1,0,1,3,0,https://github.com/talebook/talebook/blob/a4b07f7f8c9dbf7e2684c13806135324463c249c/tests/test_network_save.py#L23-L31,claude,agent,feat,"def setUp(self):
        super().setUp()
        session = get_db()
        session.query(models.BookSourceModel).delete()
        session.query(models.OnlineBookMeta).filter(models.OnlineBookMeta.book_id == FAKE_BOOK_ID).delete()
        session.commit()
        source = models.BookSourceModel(CSS_SOURCE)
        source.save()
        self.sid = source.id",2026-05-23,9.686516084873375,1
talebook/talebook,python,aed6919f306e00a4df17fe8d9c1a6c9e6cf5d118,tests/test_models.py,setUp,unittest_setup,313,330,17,unittest,0,per_test,2,1,0,0,1,1,https://github.com/talebook/talebook/blob/aed6919f306e00a4df17fe8d9c1a6c9e6cf5d118/tests/test_models.py#L313-L330,claude,agent,fix,"def setUp(self):
        from social_sqlalchemy.storage import SQLAlchemyMixin
        from sqlalchemy import create_engine
        from sqlalchemy.orm import scoped_session, sessionmaker

        self.engine = create_engine(""sqlite://"")
        models.Base.metadata.create_all(self.engine)
        self.ScopedSession = scoped_session(sessionmaker(bind=self.engine))
        # 保存并在 tearDown 中恢复全局绑定，避免影响其它用例
        self._old_bindings = [
            (cls, name, vars(cls).get(name))
            for cls, name in [
                (models.Base, ""_session""),
                (SQLAlchemyMixin, ""_session""),
                (SQLAlchemyMixin, ""_save_instance""),
            ]
        ]
        models.bind_session(self.ScopedSession)",2026-06-10,9.735797399041752,1
talebook/talebook,python,aed6919f306e00a4df17fe8d9c1a6c9e6cf5d118,tests/test_models.py,tearDown,unittest_setup,332,338,7,unittest,0,per_test,3,3,0,0,0,0,https://github.com/talebook/talebook/blob/aed6919f306e00a4df17fe8d9c1a6c9e6cf5d118/tests/test_models.py#L332-L338,claude,agent,fix,"def tearDown(self):
        self.ScopedSession.remove()
        for cls, name, old in self._old_bindings:
            if old is None:
                delattr(cls, name)
            else:
                setattr(cls, name, old)",2026-06-10,9.735797399041752,1
talebook/talebook,python,7c6b7abd7ed1a36fdc9843801f46f94fc60f3e4a,tests/test_booksource_engine.py,setUp,unittest_setup,469,470,2,unittest,0,per_test,1,1,0,2,0,0,https://github.com/talebook/talebook/blob/7c6b7abd7ed1a36fdc9843801f46f94fc60f3e4a/tests/test_booksource_engine.py#L469-L470,claude,agent,feat,"def setUp(self):
        self.ar = AnalyzeRule(BeautifulSoup(LIST_HTML, ""html.parser""), base_url=""http://x.com"")",2026-06-11,9.738535249828884,1
