repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
alibaba/qlexpress,java,0,0,,,https://github.com/alibaba/qlexpress.git,0,0,0,2017-03-15T08:39:54,[]
activiti/activiti,java,0,0,,,https://github.com/activiti/activiti.git,4,3,1,2012-09-13T11:34:43,"[""activiti"", ""bpm"", ""bpmn"", ""business-process"", ""cloud"", ""hxps"", ""java"", ""microservices"", ""product-activiti"", ""spring""]"
afkt/devutils,java,0,0,,,https://github.com/afkt/devutils.git,0,0,0,2018-09-07T05:43:54,"[""android"", ""compose"", ""coroutines"", ""databinding"", ""hilt"", ""jetpack"", ""kotlin"", ""leakcanary"", ""library"", ""lifecycle"", ""mvvm"", ""navigation"", ""okhttp"", ""permission"", ""retrofit"", ""room"", ""utils"", ""viewbinding"", ""viewmodel"", ""workmanager""]"
antennapod/antennapod,java,0,0,,,https://github.com/antennapod/antennapod.git,1,0,1,2012-07-31T10:25:08,"[""android"", ""apps"", ""hacktoberfest"", ""podcast-manager"", ""podcasting20""]"
apache/groovy,java,0,0,,,https://github.com/apache/groovy.git,5,0,5,2015-04-16T07:00:05,"[""apache"", ""compiler"", ""dynamic-typing"", ""functional-programming"", ""groovy"", ""jvm-languages"", ""metaprogramming"", ""programming-language"", ""static-typing""]"
anysoftkeyboard/anysoftkeyboard,java,0,0,,,https://github.com/anysoftkeyboard/anysoftkeyboard.git,11,7,4,2012-04-18T12:38:01,"[""android"", ""anysoftkeyboard"", ""java"", ""language"", ""multiple-languages"", ""screen-keyboard""]"
alibaba/druid,java,0,0,,,https://github.com/alibaba/druid.git,21,7,14,2011-11-03T05:12:51,[]
alibaba/nacos,java,36,14,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,59ca6199de25ca4794653f96b1fc7289457b2906,https://github.com/alibaba/nacos.git,155,112,43,2018-06-15T06:49:27,"[""a2a-registry"", ""agent"", ""ai-registry"", ""configuration-management"", ""distributed-configuration"", ""dubbo"", ""istio"", ""kubernetes"", ""mcp"", ""mcp-management"", ""mcp-registry"", ""microservices"", ""nacos"", ""prompt"", ""skills"", ""spring-cloud""]"
apache/iotdb,java,4,1,abb9ef93ca183986d71b6dcada58a835b306121d,abb9ef93ca183986d71b6dcada58a835b306121d,https://github.com/apache/iotdb.git,4,2,2,2018-11-24T09:29:17,"[""big-data"", ""database"", ""iot"", ""java"", ""nosql"", ""timeseries"", ""tsdb""]"
apache/ranger,java,0,0,,,https://github.com/apache/ranger.git,8,4,4,2014-07-27T07:00:08,"[""apache"", ""authz"", ""docker"", ""java"", ""python"", ""ranger""]"
apache/incubator-dolphinscheduler,java,0,0,,,https://github.com/apache/incubator-dolphinscheduler.git,1,0,1,2019-03-01T04:39:25,[]
apache/cassandra,java,0,0,,,https://github.com/apache/cassandra.git,1,0,1,2009-05-21T02:10:09,"[""cassandra"", ""database"", ""java""]"
