repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
adlered/csdngreener,javascript,0,0,,,https://github.com/adlered/csdngreener.git,0,0,0,2019-02-28T12:13:19,"[""csdn"", ""tampermonkey"", ""userscript""]"
abalabahaha/eris,javascript,0,0,,,https://github.com/abalabahaha/eris.git,0,0,0,2016-06-30T10:41:48,"[""bot"", ""discord"", ""discord-api"", ""eris"", ""nodejs""]"
actions/javascript-action,javascript,0,0,,,https://github.com/actions/javascript-action.git,0,0,0,2019-09-10T12:11:44,[]
algolia/shipjs,javascript,0,0,,,https://github.com/algolia/shipjs.git,8,5,3,2019-07-07T03:06:52,"[""automation"", ""ci"", ""conventional-changelog"", ""conventional-commits"", ""github"", ""process"", ""release"", ""semantic"", ""semver"", ""versioning""]"
adobe/leonardo,javascript,0,0,,,https://github.com/adobe/leonardo.git,3,1,2,2019-10-21T02:56:25,"[""a11y"", ""color"", ""color-generator"", ""color-palette"", ""color-palette-generator"", ""color-picker"", ""color-theme"", ""color-theme-switcher"", ""color-themes"", ""colors"", ""colorscheme"", ""colorscheme-generator"", ""contrast"", ""contrast-ratio"", ""dark""]"
antvis/f2,javascript,0,0,,,https://github.com/antvis/f2.git,0,0,0,2016-08-29T06:26:23,"[""antv"", ""charts"", ""data-visualisation"", ""data-visualization"", ""f2"", ""grammar"", ""html5-canvas"", ""mobile"", ""visualization""]"
alpinejs/alpine,javascript,0,0,,,https://github.com/alpinejs/alpine.git,21,7,14,2019-11-28T01:51:55,[]
albinotonnina/albinotonnina.com,javascript,0,0,,,https://github.com/albinotonnina/albinotonnina.com.git,0,0,0,2014-03-16T12:55:15,"[""albinotonnina"", ""animatecss"", ""css"", ""javascript"", ""portfolio-website"", ""scrolling"", ""vanilla-javascript"", ""webpack""]"
asyncapi/generator,javascript,0,0,,,https://github.com/asyncapi/generator.git,0,0,0,2018-07-24T01:55:43,"[""asyncapi"", ""codegen"", ""codegenerator"", ""documentation"", ""generator"", ""get-global-docs-autoupdate"", ""get-global-holopin"", ""get-global-prettierignore"", ""hacktoberfest"", ""nodejs""]"
agershun/alasql,javascript,92,45,f9f6e750054be4c62ec55378ab46082966abd146,2c170d8bfb752e50a59b5b692c28d72a7f9326c9,https://github.com/agershun/alasql.git,94,22,72,2014-10-26T04:30:37,[]
andris9/imapapi,javascript,0,0,,,https://github.com/andris9/imapapi.git,2,1,1,2020-02-28T05:17:44,[]
asciidoctor/asciidoctor.js,javascript,6,2,d5541c4ee2bc1fbd0e951c911d7df565144defe6,08184c8df1343fd5815c090de2f03bfeb2bd3b7d,https://github.com/asciidoctor/asciidoctor.js.git,61,21,40,2013-05-19T08:46:05,"[""asciidoc"", ""asciidoctor"", ""hacktoberfest"", ""javascript""]"
alshedivat/al-folio,javascript,0,0,,,https://github.com/alshedivat/al-folio.git,3,2,1,2016-05-30T04:32:46,[]
axios/axios,javascript,0,0,,,https://github.com/axios/axios.git,7,3,4,2014-08-18T10:30:27,"[""hacktoberfest"", ""http-client"", ""javascript"", ""nodejs"", ""promise""]"
bottelet/daybydaycrm,javascript,0,0,,,https://github.com/bottelet/daybydaycrm.git,5,1,4,2016-01-14T10:43:51,"[""crm"", ""crm-platform"", ""crm-system"", ""daybyday"", ""daybydaycrm"", ""hacktoberfest"", ""hacktoberfest2020"", ""laravel"", ""managaement"", ""task-manager"", ""tracking""]"
bpmn-io/bpmn-js,javascript,1,1,39da77ce1f8c76eca020c1db3b07049ba3f61425,39da77ce1f8c76eca020c1db3b07049ba3f61425,https://github.com/bpmn-io/bpmn-js.git,3,2,1,2014-03-10T12:57:00,"[""bpmn"", ""bpmn-js"", ""browser"", ""hacktoberfest"", ""javascript"", ""modeler"", ""toolkit""]"
