repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
aeagle/react-spaces,typescript,0,0,,,https://github.com/aeagle/react-spaces.git,0,0,0,2019-07-21T03:58:06,"[""component-library"", ""components"", ""javascript-library"", ""react"", ""reactjs"", ""reactjs-components"", ""web"", ""web-ui"", ""web-ui-framework""]"
airtasker/spot,typescript,0,0,,,https://github.com/airtasker/spot.git,1,0,1,2018-10-11T09:55:46,"[""api-blueprint"", ""dsl"", ""json-schema"", ""openapi"", ""openapi3"", ""swagger"", ""typescript""]"
abagames/crisp-game-lib,typescript,12,1,98516ec1d7543b2ab9d3b9a9ad08f424f57b9a91,98516ec1d7543b2ab9d3b9a9ad08f424f57b9a91,https://github.com/abagames/crisp-game-lib.git,3,1,2,2019-12-08T06:51:14,"[""game-development""]"
alibaba/hooks,typescript,0,0,,,https://github.com/alibaba/hooks.git,0,0,0,2019-06-27T05:20:06,"[""ahooks"", ""hooks-library"", ""react"", ""react-hooks"", ""umi-hooks""]"
aadsm/jschardet,typescript,2,1,54f2745cae60b30fa3f5546726399c7a8853f5ab,54f2745cae60b30fa3f5546726399c7a8853f5ab,https://github.com/aadsm/jschardet.git,10,3,7,2010-04-17T08:23:09,"[""character-encoding"", ""charset""]"
amondnet/vercel-action,typescript,0,0,,,https://github.com/amondnet/vercel-action.git,3,3,0,2020-05-16T12:39:37,"[""github-actions"", ""vercel"", ""zeit-now""]"
acacode/swagger-typescript-api,typescript,9,3,9d493e8f64f133c403335d85cf6aaa15e125343b,306d59acb8ffbb00f953f807b97234b21f51d9de,https://github.com/acacode/swagger-typescript-api.git,4,0,4,2020-01-12T11:46:19,[]
algolia/docsearch,typescript,0,0,,,https://github.com/algolia/docsearch.git,1,0,1,2015-11-20T10:55:10,"[""algolia"", ""docsearch"", ""documentation"", ""javascript"", ""react"", ""search"", ""typescript""]"
angular-schule/angular-cli-ghpages,typescript,0,0,,,https://github.com/angular-schule/angular-cli-ghpages.git,0,0,0,2016-04-07T07:42:30,"[""angular"", ""angular-cli"", ""angular-cli-ghpages"", ""circle-ci"", ""cloudflare-pages"", ""gh-pages"", ""github-actions"", ""github-pages"", ""ng-deploy"", ""travis-ci""]"
annexare/countries,typescript,0,0,,,https://github.com/annexare/countries.git,0,0,0,2014-07-06T04:44:51,"[""calling-codes"", ""capital"", ""cjs"", ""continent"", ""countries"", ""country-codes"", ""csv"", ""currencies"", ""emoji"", ""esm"", ""iso3166"", ""iso3166-1"", ""iso639"", ""iso639-1"", ""json"", ""language-codes"", ""locales"", ""sql"", ""typescript"", ""typings""]"
angular-eslint/angular-eslint,typescript,0,0,,,https://github.com/angular-eslint/angular-eslint.git,0,0,0,2019-07-28T10:51:06,"[""angular"", ""eslint"", ""typescript""]"
algolia/instantsearch.js,typescript,2,2,bbba058991ae6ab518bc0de4b68c9059cb6abfe6,55bd627dbacabd538b92aa1c8654ec3631e59ece,https://github.com/algolia/instantsearch.js.git,26,15,11,2015-07-21T12:10:27,[]
adobe/spectrum-web-components,typescript,0,0,,,https://github.com/adobe/spectrum-web-components.git,18,8,10,2018-11-19T10:15:50,"[""adobe"", ""spectrum"", ""webcomponents""]"
ant-design/ant-design-mobile-rn,typescript,0,0,,,https://github.com/ant-design/ant-design-mobile-rn.git,0,0,0,2018-05-02T08:38:52,"[""android"", ""antd-mobile"", ""ios"", ""javascript"", ""react"", ""react-native"", ""typescript""]"
ant-design/ant-design-pro,typescript,5,1,a4d91e49a1bec35676d5d08e22c5ff96e28eafd8,a4d91e49a1bec35676d5d08e22c5ff96e28eafd8,https://github.com/ant-design/ant-design-pro.git,6,4,2,2017-08-25T10:40:44,"[""admin"", ""ant-design"", ""antd"", ""antv"", ""boilerplate"", ""dashboard"", ""enterprise"", ""react"", ""umi""]"
