repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
mongodb/mongo-java-driver,1,java,2659,https://github.com/mongodb/mongo-java-driver.git,186,,2026-05-25T22:26:40.529783+00:00
apache/cassandra,1,java,9743,https://github.com/apache/cassandra.git,272,,2026-05-25T22:27:11.125747+00:00
flyingsaucerproject/flyingsaucer,1,java,2222,https://github.com/flyingsaucerproject/flyingsaucer.git,91,,2026-05-25T22:28:59.372576+00:00
mixpanel/mixpanel-android,1,java,1044,https://github.com/mixpanel/mixpanel-android.git,53,,2026-05-25T22:29:41.561887+00:00
atmosphere/atmosphere,1,java,3766,https://github.com/atmosphere/atmosphere.git,117,,2026-05-25T22:29:58.170977+00:00
rabbitmq/rabbitmq-java-client,1,java,1307,https://github.com/rabbitmq/rabbitmq-java-client.git,63,,2026-05-25T22:30:02.130611+00:00
graylog2/graylog2-server,1,java,8042,https://github.com/graylog2/graylog2-server.git,148,,2026-05-25T22:30:12.747626+00:00
bndtools/bnd,1,java,556,https://github.com/bndtools/bnd.git,107,,2026-05-25T22:31:00.712077+00:00
plantuml/plantuml,1,java,13027,https://github.com/plantuml/plantuml.git,115,,2026-05-25T22:31:28.903335+00:00
infinispan/infinispan,1,java,1328,https://github.com/infinispan/infinispan.git,194,,2026-05-25T22:32:23.992075+00:00
webbukkit/dynmap,1,java,2191,https://github.com/webbukkit/dynmap.git,116,,2026-05-25T22:32:24.161446+00:00
rstudio/rstudio,1,java,5005,https://github.com/rstudio/rstudio.git,171,,2026-05-25T22:32:24.918669+00:00
kong/unirest-java,1,java,2703,https://github.com/kong/unirest-java.git,58,,2026-05-25T22:33:17.415890+00:00
mvel/mvel,1,java,1204,https://github.com/mvel/mvel.git,38,,2026-05-25T22:33:22.435163+00:00
onebusaway/onebusaway-android,1,java,539,https://github.com/onebusaway/onebusaway-android.git,56,,2026-05-25T22:33:52.179395+00:00
msgpack/msgpack-java,1,java,1466,https://github.com/msgpack/msgpack-java.git,46,,2026-05-25T22:33:59.138802+00:00
cgeo/cgeo,1,java,1515,https://github.com/cgeo/cgeo.git,136,,2026-05-25T22:34:32.905654+00:00
elastic/elasticsearch,1,java,76752,https://github.com/elastic/elasticsearch.git,352,,2026-05-25T22:34:44.309352+00:00
apache/camel,1,java,6199,https://github.com/apache/camel.git,329,,2026-05-25T22:34:46.335044+00:00
stripe/stripe-java,1,java,976,https://github.com/stripe/stripe-java.git,149,,2026-05-25T22:34:56.554646+00:00
opentripplanner/opentripplanner,1,java,2637,https://github.com/opentripplanner/opentripplanner.git,197,,2026-05-25T22:35:02.152935+00:00
tomakehurst/wiremock,1,java,4594,https://github.com/tomakehurst/wiremock.git,134,,2026-05-25T22:35:48.184078+00:00
alibaba/druid,1,java,28197,https://github.com/alibaba/druid.git,276,,2026-05-25T22:36:52.532246+00:00
