repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
theotherp/nzbhydra2,1,javascript,1639,https://github.com/theotherp/nzbhydra2.git,27,,2026-05-26T00:28:11.180300+00:00
bigbluebutton/bigbluebutton,1,javascript,9126,https://github.com/bigbluebutton/bigbluebutton.git,228,,2026-05-26T00:28:13.463769+00:00
newlifex/newlife.cube,1,javascript,628,https://github.com/newlifex/newlife.cube.git,41,,2026-05-26T00:29:17.415714+00:00
weizhiqiang1995/skyeye,1,javascript,824,https://github.com/weizhiqiang1995/skyeye.git,9,,2026-05-26T00:29:47.098443+00:00
scality/zenko,1,javascript,534,https://github.com/scality/zenko.git,48,,2026-05-26T00:30:01.862693+00:00
basnijholt/home-assistant-config,1,javascript,1932,https://github.com/basnijholt/home-assistant-config.git,3,,2026-05-26T00:30:05.837520+00:00
mozilla/rhino,1,javascript,4578,https://github.com/mozilla/rhino.git,110,,2026-05-26T00:30:07.629332+00:00
facebook/hermes,1,javascript,11079,https://github.com/facebook/hermes.git,178,,2026-05-26T00:30:23.189984+00:00
cloudera/hue,1,javascript,1402,https://github.com/cloudera/hue.git,231,,2026-05-26T00:30:33.947320+00:00
foundry376/mailspring,1,javascript,17517,https://github.com/foundry376/mailspring.git,230,,2026-05-26T00:30:59.627860+00:00
thedjpetersen/subway,1,javascript,1466,https://github.com/thedjpetersen/subway.git,42,,2026-05-26T00:31:24.016879+00:00
humblesoftware/flotr2,1,javascript,2439,https://github.com/humblesoftware/flotr2.git,19,,2026-05-26T00:33:01.994336+00:00
dcloudio/casecode,1,javascript,1448,https://github.com/dcloudio/casecode.git,6,,2026-05-26T00:34:39.019684+00:00
jimmywarting/native-file-system-adapter,1,javascript,588,https://github.com/jimmywarting/native-file-system-adapter.git,9,,2026-05-26T00:40:01.526676+00:00
highcharts/highcharts-react,1,javascript,1174,https://github.com/highcharts/highcharts-react.git,23,,2026-05-26T00:40:57.043556+00:00
shopperlabs/framework,1,javascript,667,https://github.com/shopperlabs/framework.git,12,,2026-05-26T00:41:31.452834+00:00
jpush/jpush-phonegap-plugin,1,javascript,923,https://github.com/jpush/jpush-phonegap-plugin.git,19,,2026-05-26T00:42:51.421190+00:00
a9t9/rpa,1,javascript,1908,https://github.com/a9t9/rpa.git,3,,2026-05-26T00:43:04.607193+00:00
adobe/leonardo,1,javascript,2108,https://github.com/adobe/leonardo.git,15,,2026-05-26T00:44:59.697576+00:00
crossbario/autobahn-js,1,javascript,1448,https://github.com/crossbario/autobahn-js.git,57,,2026-05-26T00:45:36.694974+00:00
cncjs/cncjs,1,javascript,2598,https://github.com/cncjs/cncjs.git,45,,2026-05-26T00:46:03.568534+00:00
protofire/solhint,1,javascript,1119,https://github.com/protofire/solhint.git,72,,2026-05-26T00:46:11.744625+00:00
antvis/f2,1,javascript,7988,https://github.com/antvis/f2.git,46,,2026-05-26T00:46:12.886571+00:00
draggable/formeo,1,javascript,600,https://github.com/draggable/formeo.git,14,,2026-05-26T00:46:24.535807+00:00
pyramation/latex2js,1,javascript,603,https://github.com/pyramation/latex2js.git,2,,2026-05-26T00:46:41.365017+00:00
uhop/stream-json,1,javascript,1183,https://github.com/uhop/stream-json.git,8,,2026-05-26T00:46:47.803469+00:00
nicroto/viktor,1,javascript,526,https://github.com/nicroto/viktor.git,1,,2026-05-26T00:46:51.511676+00:00
liriliri/licia,1,javascript,2375,https://github.com/liriliri/licia.git,4,,2026-05-26T00:47:06.888804+00:00
freegroup/draw2d,1,javascript,782,https://github.com/freegroup/draw2d.git,9,,2026-05-26T00:47:20.566038+00:00
retroreversing/retroreversing,1,javascript,646,https://github.com/retroreversing/retroreversing.git,48,,2026-05-26T00:47:20.973522+00:00
doramart/doracms,1,javascript,3527,https://github.com/doramart/doracms.git,1,,2026-05-26T00:47:23.406765+00:00
andris9/imapapi,1,javascript,886,https://github.com/andris9/imapapi.git,6,,2026-05-26T00:47:33.139494+00:00
zhw2590582/artplayer,1,javascript,3749,https://github.com/zhw2590582/artplayer.git,28,,2026-05-26T00:47:35.283751+00:00
squaremo/amqp.node,1,javascript,3062,https://github.com/squaremo/amqp.node.git,41,,2026-05-26T00:48:03.960106+00:00
webpack/enhanced-resolve,1,javascript,984,https://github.com/webpack/enhanced-resolve.git,71,,2026-05-26T00:48:15.858980+00:00
totallyinformation/node-red-contrib-uibuilder,1,javascript,518,https://github.com/totallyinformation/node-red-contrib-uibuilder.git,12,,2026-05-26T00:49:28.292426+00:00
ctrlplusb/easy-peasy,1,javascript,5042,https://github.com/ctrlplusb/easy-peasy.git,68,,2026-05-26T00:49:35.065621+00:00
bytedance/xgplayer,1,javascript,9193,https://github.com/bytedance/xgplayer.git,61,,2026-05-26T00:49:37.159072+00:00
leonardomso/33-js-concepts,1,javascript,66410,https://github.com/leonardomso/33-js-concepts.git,198,,2026-05-26T00:50:12.664396+00:00
maildev/maildev,1,javascript,3184,https://github.com/maildev/maildev.git,54,,2026-05-26T00:50:37.542912+00:00
orangecoding/fredy,1,javascript,635,https://github.com/orangecoding/fredy.git,39,,2026-05-26T00:51:07.392334+00:00
tediousjs/node-mssql,1,javascript,2276,https://github.com/tediousjs/node-mssql.git,92,,2026-05-26T00:51:10.412830+00:00
