repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
chipsec/chipsec,1,python,3250,https://github.com/chipsec/chipsec.git,90,,2026-05-26T03:35:33.838427+00:00
feast-dev/feast,1,python,7050,https://github.com/feast-dev/feast.git,347,,2026-05-26T03:36:03.896849+00:00
airbytehq/airbyte,1,python,21303,https://github.com/airbytehq/airbyte.git,378,,2026-05-26T03:37:20.178517+00:00
mindwerks/worldengine,1,python,1027,https://github.com/mindwerks/worldengine.git,17,,2026-05-26T03:37:35.027671+00:00
martin-majlis/wikipedia-api,1,python,740,https://github.com/martin-majlis/wikipedia-api.git,11,,2026-05-26T03:38:03.605630+00:00
crossbario/autobahn-testsuite,1,python,1580,https://github.com/crossbario/autobahn-testsuite.git,20,,2026-05-26T03:39:13.737228+00:00
kengz/slm-lab,1,python,1341,https://github.com/kengz/slm-lab.git,17,,2026-05-26T03:39:22.960403+00:00
trustedsec/hate_crack,1,python,1826,https://github.com/trustedsec/hate_crack.git,8,,2026-05-26T03:39:53.385524+00:00
datafolklabs/cement,1,python,1342,https://github.com/datafolklabs/cement.git,39,,2026-05-26T03:39:54.544779+00:00
django-parler/django-parler,1,python,727,https://github.com/django-parler/django-parler.git,59,,2026-05-26T03:40:19.490726+00:00
trigger/trigger,1,python,557,https://github.com/trigger/trigger.git,21,,2026-05-26T03:40:26.684862+00:00
ezyang/ghstack,1,python,983,https://github.com/ezyang/ghstack.git,43,,2026-05-26T03:40:33.065344+00:00
caesar0301/treelib,1,python,835,https://github.com/caesar0301/treelib.git,38,,2026-05-26T03:40:34.825910+00:00
zachowj/hass-node-red,1,python,567,https://github.com/zachowj/hass-node-red.git,27,,2026-05-26T03:40:45.679319+00:00
sharebook-kr/pykrx,1,python,988,https://github.com/sharebook-kr/pykrx.git,19,,2026-05-26T03:40:57.740275+00:00
pybuilder/pybuilder,1,python,1974,https://github.com/pybuilder/pybuilder.git,32,,2026-05-26T03:41:01.849860+00:00
nat-n/poethepoet,1,python,2036,https://github.com/nat-n/poethepoet.git,44,,2026-05-26T03:41:11.398711+00:00
toshas/torch-fidelity,1,python,1180,https://github.com/toshas/torch-fidelity.git,12,,2026-05-26T03:42:31.281736+00:00
nvidia/megatron-lm,1,python,16411,https://github.com/nvidia/megatron-lm.git,289,,2026-05-26T03:42:39.562321+00:00
benadida/helios-server,1,python,893,https://github.com/benadida/helios-server.git,35,,2026-05-26T03:43:16.444698+00:00
se2p/pynguin,1,python,1379,https://github.com/se2p/pynguin.git,20,,2026-05-26T03:43:23.023715+00:00
ghostmanager/ghostwriter,1,python,1820,https://github.com/ghostmanager/ghostwriter.git,26,,2026-05-26T03:43:27.143883+00:00
enarjord/passivbot,1,python,1999,https://github.com/enarjord/passivbot.git,49,,2026-05-26T03:43:41.541482+00:00
unrealcv/unrealcv,1,python,2166,https://github.com/unrealcv/unrealcv.git,19,,2026-05-26T03:43:50.590892+00:00
hozn/stravalib,1,python,629,https://github.com/hozn/stravalib.git,46,,2026-05-26T03:43:59.759084+00:00
ulauncher/ulauncher,1,python,4455,https://github.com/ulauncher/ulauncher.git,62,,2026-05-26T03:44:02.851266+00:00
jjjake/internetarchive,1,python,1866,https://github.com/jjjake/internetarchive.git,61,,2026-05-26T03:44:03.208767+00:00
terryyin/lizard,1,python,2348,https://github.com/terryyin/lizard.git,57,,2026-05-26T03:44:03.263257+00:00
tmux-python/libtmux,1,python,1172,https://github.com/tmux-python/libtmux.git,42,,2026-05-26T03:44:38.126765+00:00
trailofbits/graphtage,1,python,2469,https://github.com/trailofbits/graphtage.git,11,,2026-05-26T03:44:39.311384+00:00
michaelchu/optopsy,1,python,1260,https://github.com/michaelchu/optopsy.git,4,,2026-05-26T03:44:42.075758+00:00
splunk/splunk-sdk-python,1,python,737,https://github.com/splunk/splunk-sdk-python.git,79,,2026-05-26T03:45:05.017225+00:00
andialbrecht/sqlparse,1,python,4002,https://github.com/andialbrecht/sqlparse.git,92,,2026-05-26T03:45:14.132449+00:00
sirver/ultisnips,1,python,7686,https://github.com/sirver/ultisnips.git,154,,2026-05-26T03:45:29.796286+00:00
silviogutierrez/reactivated,1,python,744,https://github.com/silviogutierrez/reactivated.git,10,,2026-05-26T03:46:00.752147+00:00
chardet/chardet,1,python,2621,https://github.com/chardet/chardet.git,53,,2026-05-26T03:46:04.936471+00:00
alberanid/imdbpy,1,python,923,https://github.com/alberanid/imdbpy.git,54,,2026-05-26T03:46:39.611785+00:00
digitalbazaar/pyld,1,python,664,https://github.com/digitalbazaar/pyld.git,32,,2026-05-26T03:46:40.749993+00:00
fgmacedo/python-statemachine,1,python,1241,https://github.com/fgmacedo/python-statemachine.git,18,,2026-05-26T03:46:45.523455+00:00
andymccurdy/redis-py,1,python,9674,https://github.com/andymccurdy/redis-py.git,211,,2026-05-26T03:46:54.006319+00:00
evhub/coconut,1,python,4305,https://github.com/evhub/coconut.git,30,,2026-05-26T03:47:20.901190+00:00
openatx/uiautomator2,1,python,7895,https://github.com/openatx/uiautomator2.git,45,,2026-05-26T03:47:21.062643+00:00
nats-io/nats.py,1,python,1219,https://github.com/nats-io/nats.py.git,79,,2026-05-26T03:47:25.439994+00:00
ricequant/rqalpha,1,python,6402,https://github.com/ricequant/rqalpha.git,37,,2026-05-26T03:47:33.257437+00:00
macbre/sql-metadata,1,python,881,https://github.com/macbre/sql-metadata.git,21,,2026-05-26T03:47:56.091038+00:00
mlco2/codecarbon,1,python,1837,https://github.com/mlco2/codecarbon.git,106,,2026-05-26T03:47:58.903635+00:00
