repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
eclipse/che,1,typescript,6909,https://github.com/eclipse/che.git,137,,CLAUDE.md,2026-07-25T03:07:22.127085+00:00,2015-03-26T03:31:01,"[""cloud"", ""cloud-ide"", ""containers"", ""devtools"", ""eclipse"", ""ide"", ""kubernetes""]",1
software-mansion/react-native-screens,1,typescript,3695,https://github.com/software-mansion/react-native-screens.git,169,,CLAUDE.md,2026-07-25T03:07:22.942659+00:00,2018-08-03T11:36:32,"[""react-native"", ""react-navigation"", ""typescript""]",1
sonarsource/sonarjs,1,typescript,1247,https://github.com/sonarsource/sonarjs.git,99,,CLAUDE.md,2026-07-25T03:07:23.015706+00:00,2012-05-15T12:35:38,"[""code-quality"", ""javascript"", ""language-team"", ""sonarcloud"", ""sonarqube"", ""static-analysis"", ""static-analyzer"", ""static-code-analysis"", ""typescript""]",1
mil-tokyo/webdnn,1,typescript,1998,https://github.com/mil-tokyo/webdnn.git,12,,CLAUDE.md,2026-07-25T03:07:27.306608+00:00,2017-04-06T08:11:46,"[""accelerate"", ""deep-neural-networks"", ""javascript"", ""optimization"", ""webgpu""]",1
justjake/quickjs-emscripten,1,typescript,1615,https://github.com/justjake/quickjs-emscripten.git,14,,CLAUDE.md,2026-07-25T03:07:27.861127+00:00,2020-01-05T04:09:48,"[""eval"", ""javascript"", ""plugins"", ""quickjs"", ""wasm""]",1
software-mansion/react-native-gesture-handler,1,typescript,6759,https://github.com/software-mansion/react-native-gesture-handler.git,265,,CLAUDE.md,2026-07-25T03:07:30.000520+00:00,2016-10-27T08:31:38,"[""gesture"", ""javascript"", ""react-native""]",1
wowup/wowup,1,typescript,948,https://github.com/wowup/wowup.git,45,,CLAUDE.md,2026-07-25T03:07:39.735135+00:00,2020-06-28T04:01:59,"[""world-of-warcraft"", ""world-of-warcraft-addon""]",1
blakeblackshear/frigate,1,typescript,34199,https://github.com/blakeblackshear/frigate.git,387,,copilot-instructions.md,2026-07-25T03:07:39.756206+00:00,2019-01-26T01:52:38,"[""ai"", ""camera"", ""google-coral"", ""home-assistant"", ""home-automation"", ""homeautomation"", ""mqtt"", ""nvr"", ""object-detection"", ""realtime"", ""rtsp"", ""tensorflow""]",1
nomcopter/react-mosaic,1,typescript,4745,https://github.com/nomcopter/react-mosaic.git,17,,.cursor/,2026-07-25T03:08:32.571573+00:00,2017-03-23T03:51:26,"[""react"", ""tiling-window-manager"", ""typescript"", ""window-manager""]",1
bdash-app/bdash,1,typescript,1517,https://github.com/bdash-app/bdash.git,23,,CLAUDE.md,2026-07-25T03:08:40.725711+00:00,2016-08-23T12:20:03,"[""electron"", ""javascript"", ""sql"", ""visualization""]",1
angular-schule/angular-cli-ghpages,1,typescript,982,https://github.com/angular-schule/angular-cli-ghpages.git,23,,CLAUDE.md,2026-07-25T03:08:50.272770+00:00,2016-04-07T07:42:30,"[""angular"", ""angular-cli"", ""angular-cli-ghpages"", ""circle-ci"", ""cloudflare-pages"", ""gh-pages"", ""github-actions"", ""github-pages"", ""ng-deploy"", ""travis-ci""]",1
react-cosmos/react-cosmos,1,typescript,8671,https://github.com/react-cosmos/react-cosmos.git,108,,CLAUDE.md,2026-07-25T03:08:50.763657+00:00,2014-02-05T06:48:27,"[""components"", ""devtools"", ""react"", ""sandbox"", ""testing"", ""ui""]",1
nuclearpasta/react-native-drax,1,typescript,697,https://github.com/nuclearpasta/react-native-drax.git,10,,CLAUDE.md,2026-07-25T03:08:57.037228+00:00,2019-12-20T06:44:59,[],1
sanity-io/next-sanity,1,typescript,949,https://github.com/sanity-io/next-sanity.git,47,,CLAUDE.md,2026-07-25T03:09:00.357474+00:00,2020-10-22T02:46:51,"[""hook"", ""nextjs"", ""preview"", ""real-time"", ""sanity"", ""team-ecosystem"", ""toolkit""]",1
traduora/traduora,1,typescript,1460,https://github.com/traduora/traduora.git,12,,.cursor/,2026-07-25T03:09:02.660381+00:00,2019-03-05T07:46:09,[],1
apptension/aws-boilerplate,1,typescript,697,https://github.com/apptension/aws-boilerplate.git,9,,.cursor/,2026-07-25T03:09:04.052041+00:00,2020-04-14T09:31:26,[],1
teradata/covalent,1,typescript,2224,https://github.com/teradata/covalent.git,98,,.github/instructions/,2026-07-25T03:09:04.078176+00:00,2016-07-11T11:30:52,"[""angular"", ""angular-material"", ""angular2"", ""material"", ""material-design"", ""teradata"", ""typescript""]",1
ekalinin/sitemap.js,1,typescript,1709,https://github.com/ekalinin/sitemap.js.git,49,,CLAUDE.md,2026-07-25T03:09:07.002744+00:00,2011-06-29T03:09:12,"[""nodejs"", ""sitemap"", ""sitemap-generator"", ""sitemap-xml""]",1
ryohey/signal,1,typescript,2306,https://github.com/ryohey/signal.git,19,,CLAUDE.md,2026-07-25T03:09:09.990663+00:00,2016-03-06T03:19:53,"[""audio"", ""editor"", ""midi"", ""music"", ""react"", ""typescript"", ""webaudio""]",1
