repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,is_complete_addition
antennapod/antennapod,java,ce1cc546de249b7f1b4f0444e40cba7a2437e5ab,app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java,activityRule,junit_rule,44,45,2,junit,0,per_test,1,1,0,0,0,0,https://github.com/antennapod/antennapod/blob/ce1cc546de249b7f1b4f0444e40cba7a2437e5ab/app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java#L44-L45,human,unknown,none,"@Rule
    public IntentsTestRule<MainActivity> activityRule = new IntentsTestRule<>(MainActivity.class, false, false);",1
antennapod/antennapod,java,ce1cc546de249b7f1b4f0444e40cba7a2437e5ab,app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java,setUp,junit4_before,47,55,8,junit,0,per_test,1,1,0,1,0,1,https://github.com/antennapod/antennapod/blob/ce1cc546de249b7f1b4f0444e40cba7a2437e5ab/app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java#L47-L55,human,unknown,none,"@Before
    public void setUp() throws IOException {
        uiTestUtils = new UITestUtils(InstrumentationRegistry.getInstrumentation().getTargetContext());
        uiTestUtils.setup();

        EspressoTestUtils.clearPreferences();
        EspressoTestUtils.clearDatabase();
        UserPreferences.setBottomNavigationEnabled(true);
    }",1
antennapod/antennapod,java,ce1cc546de249b7f1b4f0444e40cba7a2437e5ab,app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java,tearDown,junit4_after,57,60,4,junit,0,per_test,1,1,0,0,0,0,https://github.com/antennapod/antennapod/blob/ce1cc546de249b7f1b4f0444e40cba7a2437e5ab/app/src/androidTest/java/de/test/antennapod/ui/BottomNavigationTest.java#L57-L60,human,unknown,none,"@After
    public void tearDown() throws Exception {
        uiTestUtils.tearDown();
    }",1
antennapod/antennapod,java,f47134a7ebb18beb64ec1e6dd53d860d40698db9,app/src/androidTest/java/de/test/antennapod/ui/DownloadLogTest.java,activityRule,junit_rule,43,44,2,junit,0,per_test,1,1,0,0,0,0,https://github.com/antennapod/antennapod/blob/f47134a7ebb18beb64ec1e6dd53d860d40698db9/app/src/androidTest/java/de/test/antennapod/ui/DownloadLogTest.java#L43-L44,human,unknown,none,"@Rule
    public IntentsTestRule<MainActivity> activityRule = new IntentsTestRule<>(MainActivity.class, false, false);",1
antennapod/antennapod,java,f47134a7ebb18beb64ec1e6dd53d860d40698db9,app/src/androidTest/java/de/test/antennapod/ui/DownloadLogTest.java,setUp,junit4_before,50,66,16,junit,0,per_test,1,1,0,5,0,0,https://github.com/antennapod/antennapod/blob/f47134a7ebb18beb64ec1e6dd53d860d40698db9/app/src/androidTest/java/de/test/antennapod/ui/DownloadLogTest.java#L50-L66,human,unknown,none,"@Before
    public void setUp() throws Exception {
        EspressoTestUtils.clearPreferences();
        EspressoTestUtils.clearDatabase();
        context = InstrumentationRegistry.getInstrumentation().getTargetContext();
        completedDownloadsIntent = new Intent(context, MainActivity.class);
        completedDownloadsIntent.putExtra(MainActivityStarter.EXTRA_FRAGMENT_TAG, CompletedDownloadsFragment.TAG);

        feed = new Feed(0, ""last modified"", ""@@Feed title@@"", ""link"", ""description"", ""payment link"",
                ""@author@"", ""language"", ""type"", ""feedIdentifier"", ""http://localhost/cover.png"",
                ""/sdcard/abc"", ""http://localhost/feed.xml"", 0);
        FeedItem item = new FeedItem(0, ""title"", ""identifier"", ""link"", new Date(), FeedItem.UNPLAYED, feed);
        media = new FeedMedia(item, ""http://localhost/media.mp3"", 10000, ""mime type"");
        item.setMedia(media);
        feed.setItems(Collections.singletonList(item));
        feed = FeedDatabaseWriter.updateFeed(context, feed, false);
    }",1
antennapod/antennapod,java,e024bd9fc0e382108c99095df9cb8d299f9c20ad,app/src/androidTest/java/de/test/antennapod/ui/AboutFragmentTest.java,activityTestRule,junit_rule,21,23,3,junit,0,per_test,1,1,0,0,0,0,https://github.com/antennapod/antennapod/blob/e024bd9fc0e382108c99095df9cb8d299f9c20ad/app/src/androidTest/java/de/test/antennapod/ui/AboutFragmentTest.java#L21-L23,human,unknown,none,"@Rule
    public ActivityTestRule<PreferenceActivity> activityTestRule = new ActivityTestRule<>(PreferenceActivity.class,
            false, false);",1
anysoftkeyboard/anysoftkeyboard,java,3cb6ae8e8a26b28815c157f490f710026c027ba6,ime/preferences-service/src/androidTest/java/com/anysoftkeyboard/service/PreferencesUpdateServiceTest.java,setUp,junit4_before,36,60,23,junit,7,per_test,1,1,0,0,0,1,https://github.com/anysoftkeyboard/anysoftkeyboard/blob/3cb6ae8e8a26b28815c157f490f710026c027ba6/ime/preferences-service/src/androidTest/java/com/anysoftkeyboard/service/PreferencesUpdateServiceTest.java#L36-L60,human,unknown,none,"@Before
  public void setUp() {
    mContext = ApplicationProvider.getApplicationContext();
    mMockRxSharedPrefs = mock(RxSharedPrefs.class);
    mMockBooleanPreference = mock(Preference.class);
    mMockIntegerPreference = mock(Preference.class);
    mMockStringPreference = mock(Preference.class);
    mMockLongPreference = mock(Preference.class);
    mMockFloatPreference = mock(Preference.class);
    mMockStringSetPreference = mock(Preference.class);

    when(mMockRxSharedPrefs.getBoolean(Mockito.anyString(), Mockito.anyBoolean()))
        .thenReturn(mMockBooleanPreference);
    when(mMockRxSharedPrefs.getInteger(Mockito.anyString(), Mockito.anyInt()))
        .thenReturn(mMockIntegerPreference);
    when(mMockRxSharedPrefs.getString(Mockito.anyString(), Mockito.anyString()))
        .thenReturn(mMockStringPreference);
    when(mMockRxSharedPrefs.getLong(Mockito.anyString(), Mockito.anyLong()))
        .thenReturn(mMockLongPreference);
    when(mMockRxSharedPrefs.getFloat(Mockito.anyString(), Mockito.anyFloat()))
        .thenReturn(mMockFloatPreference);
    when(mMockRxSharedPrefs.getStringSet(Mockito.anyString())).thenReturn(mMockStringSetPreference);

    RxSharedPrefsProvider.setInstance(mMockRxSharedPrefs);
  }",1
anysoftkeyboard/anysoftkeyboard,java,3cb6ae8e8a26b28815c157f490f710026c027ba6,ime/preferences-service/src/androidTest/java/com/anysoftkeyboard/service/PreferencesUpdateServiceTest.java,tearDown,junit4_after,62,65,4,junit,0,per_test,1,1,0,0,0,0,https://github.com/anysoftkeyboard/anysoftkeyboard/blob/3cb6ae8e8a26b28815c157f490f710026c027ba6/ime/preferences-service/src/androidTest/java/com/anysoftkeyboard/service/PreferencesUpdateServiceTest.java#L62-L65,human,unknown,none,"@After
  public void tearDown() {
    RxSharedPrefsProvider.setInstance(null); // Reset to no-op
  }",1
anysoftkeyboard/anysoftkeyboard,java,f80ac31c27d04a64abf71e301a7b2baffe5d403d,ime/addons/src/test/java/com/anysoftkeyboard/addons/UserUnlockedReceiverTest.java,setUp,junit4_before,18,22,5,junit,1,per_test,1,1,0,1,0,0,https://github.com/anysoftkeyboard/anysoftkeyboard/blob/f80ac31c27d04a64abf71e301a7b2baffe5d403d/ime/addons/src/test/java/com/anysoftkeyboard/addons/UserUnlockedReceiverTest.java#L18-L22,human,unknown,none,"@Before
  public void setUp() {
    mMockUnlockRunnable = Mockito.mock(Runnable.class);
    mUnderTest = new UserUnlockedReceiver(mMockUnlockRunnable);
  }",1
alibaba/druid,java,2e788bde25cc1cc41e903b0ba7a6e5a2f4c04dee,core/src/test/java/com/alibaba/druid/bvt/pool/UserPasswordVersionTest.java,setUp,junit3_setup,21,29,9,junit,0,per_test,1,1,0,1,0,1,https://github.com/alibaba/druid/blob/2e788bde25cc1cc41e903b0ba7a6e5a2f4c04dee/core/src/test/java/com/alibaba/druid/bvt/pool/UserPasswordVersionTest.java#L21-L29,human,unknown,none,"protected void setUp() throws Exception {
        dataSource = new DruidDataSource();
        dataSource.setUrl(""jdbc:mock:xxx"");
        dataSource.setTestOnBorrow(false);
        dataSource.setMaxActive(1);
        dataSource.setMaxWait(30);
        dataSource.setInitialSize(1);
        dataSource.init();
    }",1
