repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,is_complete_addition
atmosphere/atmosphere,javascript,e636a41664e7bf4986c55e65b2cd0091892e60eb,website-astro/node_modules/tiny-inflate/test/index.js,<anonymous>_22,mocha_before,23,28,6,,0,per_test,1,1,2,0,0,0,https://github.com/atmosphere/atmosphere/blob/e636a41664e7bf4986c55e65b2cd0091892e60eb/website-astro/node_modules/tiny-inflate/test/index.js#L23-L28,human,unknown,none,"before(function(done) {
    zlib.deflateRaw(uncompressed, function(err, data) {
      compressed = data;
      done();
    });
  })",1
atmosphere/atmosphere,javascript,e636a41664e7bf4986c55e65b2cd0091892e60eb,website-astro/node_modules/tiny-inflate/test/index.js,<anonymous>_29,mocha_before,30,35,6,,0,per_test,1,1,2,0,0,0,https://github.com/atmosphere/atmosphere/blob/e636a41664e7bf4986c55e65b2cd0091892e60eb/website-astro/node_modules/tiny-inflate/test/index.js#L30-L35,human,unknown,none,"before(function(done) {
    deflate(uncompressed, { level: zlib.Z_NO_COMPRESSION }, function(err, data) {
      noCompression = data;
      done();
    });
  })",1
atmosphere/atmosphere,javascript,e636a41664e7bf4986c55e65b2cd0091892e60eb,website-astro/node_modules/tiny-inflate/test/index.js,<anonymous>_36,mocha_before,37,42,6,,0,per_test,1,1,2,0,0,0,https://github.com/atmosphere/atmosphere/blob/e636a41664e7bf4986c55e65b2cd0091892e60eb/website-astro/node_modules/tiny-inflate/test/index.js#L37-L42,human,unknown,none,"before(function(done) {
    deflate(uncompressed, { strategy: zlib.Z_FIXED }, function(err, data) {
      fixed = data;
      done();
    });
  })",1
mock-server/mockserver,javascript,8e998d5def8e330be2e1012f7c2cdfb6ea2a21ed,test/no_proxy/mock_server_browser_client_spec.js,<anonymous>_46,before_each,47,53,7,,0,per_test,1,1,0,0,0,1,https://github.com/mock-server/mockserver/blob/8e998d5def8e330be2e1012f7c2cdfb6ea2a21ed/test/no_proxy/mock_server_browser_client_spec.js#L47-L53,human,unknown,none,"beforeEach(function (done) {
        originalTimeout = jasmine.DEFAULT_TIMEOUT_INTERVAL;
        jasmine.DEFAULT_TIMEOUT_INTERVAL = 250 * 1000;
        client.clear().then(function () {
            done();
        }, fail);
    })",1
mock-server/mockserver,javascript,8e998d5def8e330be2e1012f7c2cdfb6ea2a21ed,test/no_proxy/mock_server_browser_client_spec.js,<anonymous>_54,after_each,55,58,4,,0,per_test,1,1,1,0,0,0,https://github.com/mock-server/mockserver/blob/8e998d5def8e330be2e1012f7c2cdfb6ea2a21ed/test/no_proxy/mock_server_browser_client_spec.js#L55-L58,human,unknown,none,"afterEach(function (done) {
        jasmine.DEFAULT_TIMEOUT_INTERVAL = originalTimeout;
        done();
    })",1
mock-server/mockserver,javascript,ba57c6cd253b8a4b2cbb72ceac42bb52751a461c,mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js,<anonymous>_76,before_each,77,83,7,,0,per_test,1,1,0,0,0,1,https://github.com/mock-server/mockserver/blob/ba57c6cd253b8a4b2cbb72ceac42bb52751a461c/mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js#L77-L83,human,unknown,feat,"beforeEach(function () {
    capturedOptions = [];
    originalHttpRequest = http.request;
    originalHttpsRequest = https.request;
    http.request = captureRequest;
    https.request = captureRequest;
})",1
mock-server/mockserver,javascript,ba57c6cd253b8a4b2cbb72ceac42bb52751a461c,mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js,<anonymous>_84,after_each,85,88,4,,0,per_test,1,1,0,0,0,0,https://github.com/mock-server/mockserver/blob/ba57c6cd253b8a4b2cbb72ceac42bb52751a461c/mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js#L85-L88,human,unknown,feat,"afterEach(function () {
    http.request = originalHttpRequest;
    https.request = originalHttpsRequest;
})",1
mock-server/mockserver,javascript,ba57c6cd253b8a4b2cbb72ceac42bb52751a461c,mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js,<anonymous>_169,before_each,170,180,11,,0,per_test,1,1,0,0,0,1,https://github.com/mock-server/mockserver/blob/ba57c6cd253b8a4b2cbb72ceac42bb52751a461c/mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js#L170-L180,human,unknown,feat,"beforeEach(function () {
        tmpDir = fs.mkdtempSync(path.join(os.tmpdir(), 'ms-mtls-'));
        certPath = path.join(tmpDir, 'client.pem');
        keyPath = path.join(tmpDir, 'client-key.pem');
        // A real CA file path is supplied so sendRequest.js skips the network
        // download branch (which would otherwise hit our stubbed https.request).
        caPath = path.join(tmpDir, 'ca.pem');
        fs.writeFileSync(certPath, '-----BEGIN CERTIFICATE-----\nFAKECERT\n-----END CERTIFICATE-----\n');
        fs.writeFileSync(keyPath, '-----BEGIN PRIVATE KEY-----\nFAKEKEY\n-----END PRIVATE KEY-----\n');
        fs.writeFileSync(caPath, '-----BEGIN CERTIFICATE-----\nFAKECA\n-----END CERTIFICATE-----\n');
    })",1
mock-server/mockserver,javascript,ba57c6cd253b8a4b2cbb72ceac42bb52751a461c,mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js,<anonymous>_181,after_each,182,184,3,,0,per_test,1,1,0,0,0,0,https://github.com/mock-server/mockserver/blob/ba57c6cd253b8a4b2cbb72ceac42bb52751a461c/mockserver-client-node/test/no_proxy/control_plane_auth_tls_test.js#L182-L184,human,unknown,feat,"afterEach(function () {
        fs.rmSync(tmpDir, { recursive: true, force: true });
    })",1
mock-server/mockserver,javascript,9956ea88a95878bfce66105ef9614dae12086049,mockserver-client-node/test/no_proxy/when_dsl_test.js,<anonymous>_45,before_each,46,52,7,,0,per_test,1,1,0,0,0,1,https://github.com/mock-server/mockserver/blob/9956ea88a95878bfce66105ef9614dae12086049/mockserver-client-node/test/no_proxy/when_dsl_test.js#L46-L52,human,unknown,feat,"beforeEach(function () {
    captured = [];
    originalSend = sendRequestModule.sendRequest;
    originalGet = sendRequestModule.sendGetRequest;
    originalDelete = sendRequestModule.sendDeleteRequest;
    originalBinary = sendRequestModule.sendBinaryRequest;
})",1
mock-server/mockserver,javascript,9956ea88a95878bfce66105ef9614dae12086049,mockserver-client-node/test/no_proxy/when_dsl_test.js,<anonymous>_53,after_each,54,59,6,,0,per_test,1,1,0,0,0,0,https://github.com/mock-server/mockserver/blob/9956ea88a95878bfce66105ef9614dae12086049/mockserver-client-node/test/no_proxy/when_dsl_test.js#L54-L59,human,unknown,feat,"afterEach(function () {
    sendRequestModule.sendRequest = originalSend;
    sendRequestModule.sendGetRequest = originalGet;
    sendRequestModule.sendDeleteRequest = originalDelete;
    sendRequestModule.sendBinaryRequest = originalBinary;
})",1
mock-server/mockserver,javascript,887026c47ea27f6cce4561b0b731026ffe118052,mockserver-client-node/test/no_proxy/drift_test.js,<anonymous>_45,before_each,46,50,5,,0,per_test,1,1,0,0,0,1,https://github.com/mock-server/mockserver/blob/887026c47ea27f6cce4561b0b731026ffe118052/mockserver-client-node/test/no_proxy/drift_test.js#L46-L50,human,unknown,feat,"beforeEach(function () {
    captured = [];
    originalSend = sendRequestModule.sendRequest;
    originalGet = sendRequestModule.sendGetRequest;
})",1
mock-server/mockserver,javascript,887026c47ea27f6cce4561b0b731026ffe118052,mockserver-client-node/test/no_proxy/drift_test.js,<anonymous>_51,after_each,52,55,4,,0,per_test,1,1,0,0,0,0,https://github.com/mock-server/mockserver/blob/887026c47ea27f6cce4561b0b731026ffe118052/mockserver-client-node/test/no_proxy/drift_test.js#L52-L55,human,unknown,feat,"afterEach(function () {
    sendRequestModule.sendRequest = originalSend;
    sendRequestModule.sendGetRequest = originalGet;
})",1
alpinejs/alpine,javascript,76defdecf48b48f2cdf4d70d5ee5add9e44e5d78,tests/vitest/csp-evaluator.spec.js,<anonymous>_6,before_all,7,7,1,,0,per_class,1,1,0,0,0,0,https://github.com/alpinejs/alpine/blob/76defdecf48b48f2cdf4d70d5ee5add9e44e5d78/tests/vitest/csp-evaluator.spec.js#L7-L7,human,unknown,none,beforeAll(() => Alpine.start()),1
alpinejs/alpine,javascript,76defdecf48b48f2cdf4d70d5ee5add9e44e5d78,tests/vitest/evaluator.spec.js,<anonymous>_6,before_all,7,7,1,,0,per_class,1,1,0,0,0,0,https://github.com/alpinejs/alpine/blob/76defdecf48b48f2cdf4d70d5ee5add9e44e5d78/tests/vitest/evaluator.spec.js#L7-L7,human,unknown,none,beforeAll(() => Alpine.start()),1
asyncapi/generator,javascript,18d3511c73cadd536aef011c17d345eaf6dc9a58,packages/templates/clients/js/websocket/test/components/FileHeaderInfo.test.js,<anonymous>_10,before_all,11,14,4,,0,per_class,1,1,0,0,0,0,https://github.com/asyncapi/generator/blob/18d3511c73cadd536aef011c17d345eaf6dc9a58/packages/templates/clients/js/websocket/test/components/FileHeaderInfo.test.js#L11-L14,human,unknown,test,"beforeAll(async () => {
    const parseResult = await fromFile(parser, asyncapi_websocket_query).parse();
    parsedAsyncAPIDocument = parseResult.document;
  })",1
asyncapi/generator,javascript,eacd0570cb3609c1bf7389956b2bc61caab0bb63,apps/hooks/test/index.test.js,<anonymous>_26,before_all,27,29,3,,0,per_class,1,1,0,0,0,0,https://github.com/asyncapi/generator/blob/eacd0570cb3609c1bf7389956b2bc61caab0bb63/apps/hooks/test/index.test.js#L27-L29,human,unknown,test,"beforeAll(async () => {
    await mkdir(testResultPath, { recursive: true });
  })",1
asyncapi/generator,javascript,b29fcd05b80c06d24b3eaa6abca222b97950617e,apps/generator/test/hooksRegistry.test.js,<anonymous>_13,before_each,14,18,5,,0,per_test,1,1,0,0,0,0,https://github.com/asyncapi/generator/blob/b29fcd05b80c06d24b3eaa6abca222b97950617e/apps/generator/test/hooksRegistry.test.js#L14-L18,human,unknown,test,"beforeEach(() => {
    hooks = {};  // reset hooks for each test
    jest.clearAllMocks(); // Reset all mocks
    jest.resetModules(); // Reset modules
  })",1
asyncapi/generator,javascript,b29fcd05b80c06d24b3eaa6abca222b97950617e,apps/generator/test/hooksRegistry.test.js,<anonymous>_51,before_all,52,54,3,,0,per_class,1,1,0,0,0,0,https://github.com/asyncapi/generator/blob/b29fcd05b80c06d24b3eaa6abca222b97950617e/apps/generator/test/hooksRegistry.test.js#L52-L54,human,unknown,test,"beforeAll(() => {
      path.join.mockImplementation((...args) => args.join('/'));
    })",1
