repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
30-seconds/30-seconds-of-code,1,javascript,0,https://github.com/30-seconds/30-seconds-of-code.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
a9t9/rpa,1,javascript,0,https://github.com/a9t9/rpa.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
abalabahaha/eris,1,javascript,0,https://github.com/abalabahaha/eris.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
actions/javascript-action,1,javascript,0,https://github.com/actions/javascript-action.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
adlered/csdngreener,1,javascript,0,https://github.com/adlered/csdngreener.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
adobe/leonardo,1,javascript,0,https://github.com/adobe/leonardo.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aframevr/aframe,1,javascript,0,https://github.com/aframevr/aframe.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
agershun/alasql,1,javascript,0,https://github.com/agershun/alasql.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
algolia/shipjs,1,javascript,0,https://github.com/algolia/shipjs.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
alpinejs/alpine,1,javascript,0,https://github.com/alpinejs/alpine.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
alshedivat/al-folio,1,javascript,0,https://github.com/alshedivat/al-folio.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
andris9/imapapi,1,javascript,0,https://github.com/andris9/imapapi.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
antvis/f2,1,javascript,0,https://github.com/antvis/f2.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
asciidoctor/asciidoctor.js,1,javascript,0,https://github.com/asciidoctor/asciidoctor.js.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
asyncapi/generator,1,javascript,0,https://github.com/asyncapi/generator.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
axios/axios,1,javascript,0,https://github.com/axios/axios.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
azgaar/fantasy-map-generator,1,javascript,0,https://github.com/azgaar/fantasy-map-generator.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
basnijholt/home-assistant-config,1,javascript,0,https://github.com/basnijholt/home-assistant-config.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
