repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
3b1b/videos,1,python,0,https://github.com/3b1b/videos.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
agronholm/anyio,1,python,0,https://github.com/agronholm/anyio.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aiidateam/aiida-core,1,python,0,https://github.com/aiidateam/aiida-core.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aio-libs/aiobotocore,1,python,0,https://github.com/aio-libs/aiobotocore.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aio-libs/aiohttp,1,python,0,https://github.com/aio-libs/aiohttp.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aio-libs/yarl,1,python,0,https://github.com/aio-libs/yarl.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aiogram/aiogram,1,python,0,https://github.com/aiogram/aiogram.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
airbytehq/airbyte,1,python,0,https://github.com/airbytehq/airbyte.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
al-one/hass-xiaomi-miot,1,python,0,https://github.com/al-one/hass-xiaomi-miot.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
alberanid/imdbpy,1,python,0,https://github.com/alberanid/imdbpy.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
albumentations-team/albumentations,1,python,0,https://github.com/albumentations-team/albumentations.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
amphibian-dev/toad,1,python,0,https://github.com/amphibian-dev/toad.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
andialbrecht/sqlparse,1,python,0,https://github.com/andialbrecht/sqlparse.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
andymccurdy/redis-py,1,python,0,https://github.com/andymccurdy/redis-py.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ansible/ansible,1,python,0,https://github.com/ansible/ansible.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
apache/tvm,1,python,0,https://github.com/apache/tvm.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aragonsnow/qiandao,1,python,0,https://github.com/aragonsnow/qiandao.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
archivebox/archivebox,1,python,0,https://github.com/archivebox/archivebox.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
azure/azure-sdk-for-python,1,python,0,https://github.com/azure/azure-sdk-for-python.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
beetbox/beets,1,python,0,https://github.com/beetbox/beets.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
benadida/helios-server,1,python,0,https://github.com/benadida/helios-server.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
binref/refinery,1,python,0,https://github.com/binref/refinery.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
borgbase/vorta,1,python,0,https://github.com/borgbase/vorta.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
bouni/kicad-jlcpcb-tools,1,python,0,https://github.com/bouni/kicad-jlcpcb-tools.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
brainix/pottery,1,python,0,https://github.com/brainix/pottery.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
brndnmtthws/thetagang,1,python,0,https://github.com/brndnmtthws/thetagang.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
bunkerity/bunkerized-nginx,1,python,0,https://github.com/bunkerity/bunkerized-nginx.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
caesar0301/treelib,1,python,0,https://github.com/caesar0301/treelib.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
capitalone/datacompy,1,python,0,https://github.com/capitalone/datacompy.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
