repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics
abagames/crisp-game-lib,1,typescript,0,https://github.com/abagames/crisp-game-lib.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
acacode/swagger-typescript-api,1,typescript,0,https://github.com/acacode/swagger-typescript-api.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
acro5piano/react-native-big-calendar,1,typescript,0,https://github.com/acro5piano/react-native-big-calendar.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
adobe/spectrum-web-components,1,typescript,0,https://github.com/adobe/spectrum-web-components.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aeagle/react-spaces,1,typescript,0,https://github.com/aeagle/react-spaces.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
airtasker/spot,1,typescript,0,https://github.com/airtasker/spot.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
algolia/docsearch,1,typescript,0,https://github.com/algolia/docsearch.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
algolia/instantsearch.js,1,typescript,0,https://github.com/algolia/instantsearch.js.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
alibaba/hooks,1,typescript,0,https://github.com/alibaba/hooks.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
amannn/next-intl,1,typescript,0,https://github.com/amannn/next-intl.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
amondnet/vercel-action,1,typescript,0,https://github.com/amondnet/vercel-action.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
amruthpillai/reactive-resume,1,typescript,0,https://github.com/amruthpillai/reactive-resume.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
angular-eslint/angular-eslint,1,typescript,0,https://github.com/angular-eslint/angular-eslint.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
angular-schule/angular-cli-ghpages,1,typescript,0,https://github.com/angular-schule/angular-cli-ghpages.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ant-design/ant-design,1,typescript,0,https://github.com/ant-design/ant-design.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ant-design/ant-design-pro,1,typescript,0,https://github.com/ant-design/ant-design-pro.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
ant-design/pro-components,1,typescript,0,https://github.com/ant-design/pro-components.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
antvis/g2,1,typescript,0,https://github.com/antvis/g2.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
antvis/g6,1,typescript,0,https://github.com/antvis/g6.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
antvis/l7,1,typescript,0,https://github.com/antvis/l7.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
apidevtools/json-schema-ref-parser,1,typescript,0,https://github.com/apidevtools/json-schema-ref-parser.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
apollographql/apollo-client,1,typescript,0,https://github.com/apollographql/apollo-client.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
appsmithorg/appsmith,1,typescript,0,https://github.com/appsmithorg/appsmith.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
apptension/aws-boilerplate,1,typescript,0,https://github.com/apptension/aws-boilerplate.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
argos-ci/argos,1,typescript,0,https://github.com/argos-ci/argos.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
artalar/reatom,1,typescript,0,https://github.com/artalar/reatom.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
artsy/eigen,1,typescript,0,https://github.com/artsy/eigen.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
artsy/force,1,typescript,0,https://github.com/artsy/force.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
audreyt/ethercalc,1,typescript,0,https://github.com/audreyt/ethercalc.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
auth0/node-auth0,1,typescript,0,https://github.com/auth0/node-auth0.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
aws/aws-cdk,1,typescript,0,https://github.com/aws/aws-cdk.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
azure/azure-sdk-for-js,1,typescript,0,https://github.com/azure/azure-sdk-for-js.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
azuread/microsoft-authentication-library-for-js,1,typescript,0,https://github.com/azuread/microsoft-authentication-library-for-js.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
bdash-app/bdash,1,typescript,0,https://github.com/bdash-app/bdash.git,0,,,2026-07-13T00:54:34.166822+00:00,,[]
