repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,is_complete_addition
theotherp/nzbhydra2,javascript,257cbac63e9f2b8028e04d06130331ae0ce47d1d,other/githubbot/nzbhydra2-github-issue-reminder/test/index.test.js,<anonymous>_50,before_each,51,57,7,,0,per_test,1,1,0,1,0,0,https://github.com/theotherp/nzbhydra2/blob/257cbac63e9f2b8028e04d06130331ae0ce47d1d/other/githubbot/nzbhydra2-github-issue-reminder/test/index.test.js#L51-L57,human_pre2022,human,,"beforeEach(function () {
        probot = new probot_1.Probot({ id: 123, cert: 'test' });
        // Load our app into probot
        var app = probot.load(src_1.default);
        // just return a test token
        app.app = function () { return 'test'; };
    })",1
htmlunit/htmlunit,javascript,e251e2b9bdddc2a3f2cf8cc4d5af8370ec8ac322,src/test/resources/libraries/dojo/1.9.3/dojo/Evented.js,<anonymous>_25,mocha_after,26,26,1,,0,per_test,1,1,0,0,0,0,https://github.com/htmlunit/htmlunit/blob/e251e2b9bdddc2a3f2cf8cc4d5af8370ec8ac322/src/test/resources/libraries/dojo/1.9.3/dojo/Evented.js#L26-L26,human_pre2022,human,,"after(target, 'on' + type, listener, true)",1
htmlunit/htmlunit,javascript,e251e2b9bdddc2a3f2cf8cc4d5af8370ec8ac322,src/test/resources/libraries/jQuery/1.8.2/jquery/src/sizzle/speed/frameworks/dojo.js,<anonymous>_12844,mocha_after,12845,12845,1,,0,per_test,1,1,0,0,0,0,https://github.com/htmlunit/htmlunit/blob/e251e2b9bdddc2a3f2cf8cc4d5af8370ec8ac322/src/test/resources/libraries/jQuery/1.8.2/jquery/src/sizzle/speed/frameworks/dojo.js#L12845-L12845,human_pre2022,human,,"after(target, 'on' + type, listener, true)",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_33,mocha_before,34,40,7,,0,per_test,2,2,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L34-L40,human_pre2022,human,,"before(function() {
    ['protoc', 'protoc-gen-grpc-web'].map(prog => {
      if (!commandExists(prog)) {
        assert.fail(`${prog} is not installed`);
      }
    });
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_41,before_each,42,45,4,,0,per_test,1,1,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L42-L45,human_pre2022,human,,"beforeEach(function() {
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
    fs.mkdirSync(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_46,after_each,47,49,3,,0,per_test,1,1,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L47-L49,human_pre2022,human,,"afterEach(function() {
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_66,mocha_before,67,73,7,,0,per_test,2,2,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L67-L73,human_pre2022,human,,"before(function() {
    ['protoc', 'protoc-gen-grpc-web'].map(prog => {
      if (!commandExists(prog)) {
        assert.fail(`${prog} is not installed`);
      }
    });
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_74,before_each,75,78,4,,0,per_test,1,1,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L75-L78,human_pre2022,human,,"beforeEach(function() {
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
    fs.mkdirSync(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/eval_test.js,<anonymous>_79,after_each,80,82,3,,0,per_test,1,1,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/eval_test.js#L80-L82,human_pre2022,human,,"afterEach(function() {
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_43,mocha_before,44,48,5,,0,per_test,2,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L44-L48,human_pre2022,human,,"before(function() {
    if (!commandExists('protoc')) {
      assert.fail('protoc is not installed');
    }
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_49,before_each,50,54,5,,0,per_test,2,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L50-L54,human_pre2022,human,,"beforeEach(function() {
    if (fs.existsSync(genCodePath)) {
      fs.unlinkSync(genCodePath);
    }
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_55,after_each,56,60,5,,0,per_test,2,2,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L56-L60,human_pre2022,human,,"afterEach(function() {
    if (fs.existsSync(genCodePath)) {
      fs.unlinkSync(genCodePath);
    }
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_84,mocha_before,85,92,7,,0,per_test,1,1,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L85-L92,human_pre2022,human,,"before(function() {
    MockXMLHttpRequest = mockXmlHttpRequest.newMockXhr()
    global.XMLHttpRequest = MockXMLHttpRequest;

    execSync(genCodeCmd);
    assert.equal(true, fs.existsSync(protoGenCodePath));
    assert.equal(true, fs.existsSync(genCodePath));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_93,mocha_after,94,97,4,,0,per_test,1,1,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L94-L97,human_pre2022,human,,"after(function() {
    fs.unlinkSync(protoGenCodePath);
    fs.unlinkSync(genCodePath);
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_153,mocha_before,154,160,7,,0,per_test,2,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L154-L160,human_pre2022,human,,"before(function() {
    ['protoc', 'protoc-gen-grpc-web'].map(prog => {
      if (!commandExists(prog)) {
        assert.fail(`${prog} is not installed`);
      }
    });
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_161,before_each,162,171,10,,0,per_test,3,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L162-L171,human_pre2022,human,,"beforeEach(function() {
    if (fs.existsSync(protoGenCodePath)) {
      fs.unlinkSync(protoGenCodePath);
    }
    if (fs.existsSync(genCodePath)) {
      fs.unlinkSync(genCodePath);
    }
    MockXMLHttpRequest = mockXmlHttpRequest.newMockXhr()
    global.XMLHttpRequest = MockXMLHttpRequest;
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_172,after_each,173,181,9,,0,per_test,3,2,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L173-L181,human_pre2022,human,,"afterEach(function() {
    if (fs.existsSync(protoGenCodePath)) {
      fs.unlinkSync(protoGenCodePath);
    }
    if (fs.existsSync(genCodePath)) {
      fs.unlinkSync(genCodePath);
    }
    global.XMLHttpRequest = oldXMLHttpRequest;
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_489,mocha_before,490,502,13,,0,per_test,2,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L490-L502,human_pre2022,human,,"before(function() {
    ['protoc', 'protoc-gen-grpc-web'].map(prog => {
      if (!commandExists(prog)) {
        assert.fail(`${prog} is not installed`);
      }
    });
    if (!fs.existsSync(path.resolve(
      __dirname, '../../../javascript/net/grpc/web/grpcwebclientbase.js'))) {
      this.skip();
    }
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
    fs.mkdirSync(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_503,before_each,504,507,4,,0,per_test,1,1,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L504-L507,human_pre2022,human,,"beforeEach(function() {
    MockXMLHttpRequest = mockXmlHttpRequest.newMockXhr()
    global.XMLHttpRequest = MockXMLHttpRequest;
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_508,after_each,509,511,3,,0,per_test,1,1,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L509-L511,human_pre2022,human,,"afterEach(function() {
    global.XMLHttpRequest = oldXMLHttpRequest;
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_512,mocha_after,513,515,3,,0,per_test,1,1,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L513-L515,human_pre2022,human,,"after(function() {
    removeDirectory(path.resolve(__dirname, GENERATED_CODE_PATH));
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_565,mocha_before,566,576,10,,0,per_test,1,1,0,2,1,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L566-L576,human_pre2022,human,,"before(function() {
    MockXMLHttpRequest = mockXmlHttpRequest.newMockXhr()
    global.XMLHttpRequest = MockXMLHttpRequest;

    execSync(genCodeCmd);
    const {EchoServiceClient} = require(genCodePath);
    const {EchoRequest} = require(protoGenCodePath);
    echoService = new EchoServiceClient('MyHostname', null, null);
    request = new EchoRequest();
    request.setMessage('aaa');
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/generated_code_test.js,<anonymous>_577,mocha_after,578,585,8,,0,per_test,3,2,0,0,0,0,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/generated_code_test.js#L578-L585,human_pre2022,human,,"after(function() {
    if (fs.existsSync(protoGenCodePath)) {
      fs.unlinkSync(protoGenCodePath);
    }
    if (fs.existsSync(genCodePath)) {
      fs.unlinkSync(genCodePath);
    }
  })",1
grpc/grpc-web,javascript,e88fdc809d9ccbf1c9dae701ee14cce53be38b9e,packages/grpc-web/test/plugin_test.js,<anonymous>_47,mocha_before,48,54,7,,0,per_test,2,2,0,0,0,1,https://github.com/grpc/grpc-web/blob/e88fdc809d9ccbf1c9dae701ee14cce53be38b9e/packages/grpc-web/test/plugin_test.js#L48-L54,human_pre2022,human,,"before(function() {
    ['protoc', 'protoc-gen-grpc-web'].map(prog => {
      if (!commandExists(prog)) {
        assert.fail(`${prog} is not installed`);
      }
    });
  })",1
