repo_name,language,clone_url,github_id,created_at,topics,stars
yiuchoi/microreader,java,https://github.com/yiuchoi/microreader.git,3230812,,,
nightonke/wowoviewpager,java,https://github.com/nightonke/wowoviewpager.git,3234475,,,
rukey7/mvpapp,java,https://github.com/rukey7/mvpapp.git,3236559,,,
byhieg/javatutorial,java,https://github.com/byhieg/javatutorial.git,3238499,,,
material-foundation/material-remixer-android,java,https://github.com/material-foundation/material-remixer-android.git,3239507,,,
rogerou/baby,java,https://github.com/rogerou/baby.git,3239509,,,
452mj/c9mj,java,https://github.com/452mj/c9mj.git,3239510,,,
burgessjp/ganhuoio,java,https://github.com/burgessjp/ganhuoio.git,3241023,,,
wuapnjie/puzzleview,java,https://github.com/wuapnjie/puzzleview.git,3243503,,,
opntec/open-event-android,java,https://github.com/opntec/open-event-android.git,3244570,,,
weexteam/hackernews-app-powered-by-apache-weex,java,https://github.com/weexteam/hackernews-app-powered-by-apache-weex.git,3244571,,,
diwi/pixelflow,java,https://github.com/diwi/pixelflow.git,3244575,,,
jigsaw-projects/jigsaw-payment,java,https://github.com/jigsaw-projects/jigsaw-payment.git,3244578,,,
daxiak/mydiary,java,https://github.com/daxiak/mydiary.git,3245894,,,
typ0520/fastdex,java,https://github.com/typ0520/fastdex.git,3245895,,,
cameloeanthony/ant,java,https://github.com/cameloeanthony/ant.git,3245898,,,
xiaojianglaile/calendar,java,https://github.com/xiaojianglaile/calendar.git,3247192,,,
androidjiang/stockchart,java,https://github.com/androidjiang/stockchart.git,3247194,,,
blox/blox,java,https://github.com/blox/blox.git,3247727,,,
baidao/tinker-manager,java,https://github.com/baidao/tinker-manager.git,3247761,,,
licola1213/huabandemo,java,https://github.com/licola1213/huabandemo.git,3247798,,,
gcssloop/diycode,java,https://github.com/gcssloop/diycode.git,3248310,,,
jameszbl/java_design_patterns,java,https://github.com/jameszbl/java_design_patterns.git,3248406,,,
nightonke/boommenu,java,https://github.com/nightonke/boommenu.git,3249640,,,
megagao/production_ssm,java,https://github.com/megagao/production_ssm.git,3249648,,,
xiaoyaoyou1212/ble,java,https://github.com/xiaoyaoyou1212/ble.git,3251000,,,
crossoverjie/ssm,java,https://github.com/crossoverjie/ssm.git,3252360,,,
xinghongfei/looklook,java,https://github.com/xinghongfei/looklook.git,3252361,,,
aa112901/remusic,java,https://github.com/aa112901/remusic.git,3253389,,,
xiaoyaoyou1212/xsnow,java,https://github.com/xiaoyaoyou1212/xsnow.git,3253391,,,
topjohnwu/magiskmanager,java,https://github.com/topjohnwu/magiskmanager.git,3253395,,,
xujeff/tianti,java,https://github.com/xujeff/tianti.git,3253396,,,
codeestx/geeknews,java,https://github.com/codeestx/geeknews.git,3253988,,,
kaz-anova/stacknet,java,https://github.com/kaz-anova/stacknet.git,3253998,,,
horrarndoo/yizhi,java,https://github.com/horrarndoo/yizhi.git,3254009,,,
konifar/droidkaigi2016,java,https://github.com/konifar/droidkaigi2016.git,3254010,,,
zfman/timetableview,java,https://github.com/zfman/timetableview.git,3254767,,,
imeiji/toutiao,java,https://github.com/imeiji/toutiao.git,3255188,,,
g-joker/weaponapp,java,https://github.com/g-joker/weaponapp.git,3255192,,,
huangyanbin/smarttable,java,https://github.com/huangyanbin/smarttable.git,3255259,,,
zwwill/yanxuan-weex-demo,java,https://github.com/zwwill/yanxuan-weex-demo.git,3255269,,,
yago-naga/yago3,java,https://github.com/yago-naga/yago3.git,3255549,,,
li-yu/fakeweather,java,https://github.com/li-yu/fakeweather.git,3255576,,,
grover-c13/pokegoapi-java,java,https://github.com/grover-c13/pokegoapi-java.git,3255591,,,
tencent/rapidview,java,https://github.com/tencent/rapidview.git,3255592,,,
a2888409/face2face,java,https://github.com/a2888409/face2face.git,3255609,,,
airbnb/native-navigation,java,https://github.com/airbnb/native-navigation.git,3255618,,,
jdsjlzx/lrecyclerview,java,https://github.com/jdsjlzx/lrecyclerview.git,3255619,,,
philliphsu/bottomsheetpickers,java,https://github.com/philliphsu/bottomsheetpickers.git,3255624,,,
razerdp/friendcircle,java,https://github.com/razerdp/friendcircle.git,3255633,,,
mitchtabian/android-instagram-clone,java,https://github.com/mitchtabian/android-instagram-clone.git,3255638,,,
google/blockly-android,java,https://github.com/google/blockly-android.git,3255645,,,
janishar/placeholderview,java,https://github.com/janishar/placeholderview.git,3255662,,,
ucodeustory/s-mvp,java,https://github.com/ucodeustory/s-mvp.git,3255672,,,
iqiyi/andromeda,java,https://github.com/iqiyi/andromeda.git,3255688,,,
hotbitmapgg/bilibili-android-client,java,https://github.com/hotbitmapgg/bilibili-android-client.git,3255693,,,
nytimes/store,java,https://github.com/nytimes/store.git,3255695,,,
maoruibin/translateapp,java,https://github.com/maoruibin/translateapp.git,3255704,,,
algorithm004-01/algorithm004-01,java,https://github.com/algorithm004-01/algorithm004-01.git,3255708,,,
loda-kun/spring-boot-learning,java,https://github.com/loda-kun/spring-boot-learning.git,3255872,,,
tencent/vassonic,java,https://github.com/tencent/vassonic.git,3256736,,,
google/wycheproof,java,https://github.com/google/wycheproof.git,3256752,,,
javaee/javamail,java,https://github.com/javaee/javamail.git,3256764,,,
linkedin/pygradle,java,https://github.com/linkedin/pygradle.git,3257477,,,
mindorksopensource/android-mvp-architecture,java,https://github.com/mindorksopensource/android-mvp-architecture.git,3257577,,,
chora10/cknife,java,https://github.com/chora10/cknife.git,3257581,,,
eleme/amigo,java,https://github.com/eleme/amigo.git,3257582,,,
whataa/pandora,java,https://github.com/whataa/pandora.git,3257583,,,
newbiechen1024/novelreader,java,https://github.com/newbiechen1024/novelreader.git,3257584,,,
kymjs/rxvolley,java,https://github.com/kymjs/rxvolley.git,3257585,,,
penglu20/bigbang,java,https://github.com/penglu20/bigbang.git,3257589,,,
yueyi2019/online-taxi,java,https://github.com/yueyi2019/online-taxi.git,3257591,,,
googlearchive/firebase-jobdispatcher-android,java,https://github.com/googlearchive/firebase-jobdispatcher-android.git,3257606,,,
bephrem1/backtobackswe,java,https://github.com/bephrem1/backtobackswe.git,3257611,,,
kangjianwei/learningjdk,java,https://github.com/kangjianwei/learningjdk.git,3257618,,,
byron4j/cookbook,java,https://github.com/byron4j/cookbook.git,3257635,,,
zhanghai/douya,java,https://github.com/zhanghai/douya.git,3257638,,,
alidili/demos,java,https://github.com/alidili/demos.git,3257641,,,
javaee/glassfish,java,https://github.com/javaee/glassfish.git,3257649,,,
neo4j-contrib/neo4j-graph-algorithms,java,https://github.com/neo4j-contrib/neo4j-graph-algorithms.git,3257650,,,
linecutfeng/playpicdio,java,https://github.com/linecutfeng/playpicdio.git,3257659,,,
jeasonlzy/okhttp-okgo,java,https://github.com/jeasonlzy/okhttp-okgo.git,3257668,,,
wuyouzhuguli/springall,java,https://github.com/wuyouzhuguli/springall.git,3257673,,,
alibaba/freeline,java,https://github.com/alibaba/freeline.git,3257674,,,
goldze/mvvmhabit,java,https://github.com/goldze/mvvmhabit.git,3257676,,,
yanzhenjie/swiperecyclerview,java,https://github.com/yanzhenjie/swiperecyclerview.git,3257677,,,
luckybilly/cc,java,https://github.com/luckybilly/cc.git,3257679,,,
doikki/dkvideoplayer,java,https://github.com/doikki/dkvideoplayer.git,3257681,,,
linkedin/dr-elephant,java,https://github.com/linkedin/dr-elephant.git,3257689,,,
yangpeixing/yimagepicker,java,https://github.com/yangpeixing/yimagepicker.git,3257692,,,
mzcretin/autoupdateproject,java,https://github.com/mzcretin/autoupdateproject.git,3257693,,,
maventalker/simplemall,java,https://github.com/maventalker/simplemall.git,3257695,,,
1024-lab/smart-admin,java,https://github.com/1024-lab/smart-admin.git,3257697,,,
mpusher/mpush,java,https://github.com/mpusher/mpush.git,3258063,,,
huantansheng/easyphotos,java,https://github.com/huantansheng/easyphotos.git,3258067,,,
alibaba/vlayout,java,https://github.com/alibaba/vlayout.git,3258141,,,
getactivity/androidproject,java,https://github.com/getactivity/androidproject.git,3258142,,,
dragonetmc/dragonproxy,java,https://github.com/dragonetmc/dragonproxy.git,3258152,,,
lovebing/react-native-baidu-map,java,https://github.com/lovebing/react-native-baidu-map.git,3258158,,,
kohgylw/kiftd-source,java,https://github.com/kohgylw/kiftd-source.git,3258160,,,
tophold/financialcustomerview,java,https://github.com/tophold/financialcustomerview.git,3258161,,,
samourai-wallet/samourai-wallet-android,java,https://github.com/samourai-wallet/samourai-wallet-android.git,3258167,,,
k0shk0sh/fasthub,java,https://github.com/k0shk0sh/fasthub.git,3258812,,,
victoralbertos/rxcache,java,https://github.com/victoralbertos/rxcache.git,3258816,,,
yanzhenjie/album,java,https://github.com/yanzhenjie/album.git,3258817,,,
alibaba/tangram-android,java,https://github.com/alibaba/tangram-android.git,3258818,,,
2227324689/gpmall,java,https://github.com/2227324689/gpmall.git,3258819,,,
hope-for/hope-boot,java,https://github.com/hope-for/hope-boot.git,3258820,,,
liuyangming/bytetcc,java,https://github.com/liuyangming/bytetcc.git,3258822,,,
timusus/shuttle,java,https://github.com/timusus/shuttle.git,3258824,,,
microservices-patterns/ftgo-application,java,https://github.com/microservices-patterns/ftgo-application.git,3258828,,,
lipangit/jiaozivideoplayer,java,https://github.com/lipangit/jiaozivideoplayer.git,3258830,,,
zhou-you/rxeasyhttp,java,https://github.com/zhou-you/rxeasyhttp.git,3258833,,,
finalteam/rxgalleryfinal,java,https://github.com/finalteam/rxgalleryfinal.git,3258835,,,
javen205/ijpay,java,https://github.com/javen205/ijpay.git,3258836,,,
qnjr-group/easytransaction,java,https://github.com/qnjr-group/easytransaction.git,3258840,,,
ac-pm/inspeckage,java,https://github.com/ac-pm/inspeckage.git,3258841,,,
liaoinstan/springview,java,https://github.com/liaoinstan/springview.git,3258842,,,
cainkernel/caincamera,java,https://github.com/cainkernel/caincamera.git,3258845,,,
apache/servicecomb-pack,java,https://github.com/apache/servicecomb-pack.git,3258846,,,
tencent/soter,java,https://github.com/tencent/soter.git,3258847,,,
luizgrp/sectionedrecyclerviewadapter,java,https://github.com/luizgrp/sectionedrecyclerviewadapter.git,3258848,,,
ainilili/ratel,java,https://github.com/ainilili/ratel.git,3258850,,,
voghdev/pdfviewpager,java,https://github.com/voghdev/pdfviewpager.git,3258853,,,
mikaelzero/mojito,java,https://github.com/mikaelzero/mojito.git,3258862,,,
xaecbd/kafkacenter,java,https://github.com/xaecbd/kafkacenter.git,3258864,,,
