repo_name,language,clone_url,github_id,created_at,topics,stars
feast-dev/feast,python,https://github.com/feast-dev/feast.git,3277687,,,
academysoftwarefoundation/opencue,python,https://github.com/academysoftwarefoundation/opencue.git,3279097,,,
airbytehq/airbyte,python,https://github.com/airbytehq/airbyte.git,3279827,,,
nccgroup/sniffle,python,https://github.com/nccgroup/sniffle.git,3396461,,,
garyexplains/examples,python,https://github.com/garyexplains/examples.git,3484297,,,
stanfordvl/igibson,python,https://github.com/stanfordvl/igibson.git,3490709,,,
catia-systems/fmpy,python,https://github.com/catia-systems/fmpy.git,3490768,,,
keirf/greaseweazle,python,https://github.com/keirf/greaseweazle.git,3494570,,,
favll/pogom,python,https://github.com/favll/pogom.git,3532656,,,
fossasia/knittingpattern,python,https://github.com/fossasia/knittingpattern.git,3535397,,,
empireproject/empyre,python,https://github.com/empireproject/empyre.git,3545917,,,
zehaos/mobilenet,python,https://github.com/zehaos/mobilenet.git,3551102,,,
opntec/open-event-server,python,https://github.com/opntec/open-event-server.git,3556972,,,
charlesshang/fastmaskrcnn,python,https://github.com/charlesshang/fastmaskrcnn.git,3560313,,,
rocketmap/rocketmap,python,https://github.com/rocketmap/rocketmap.git,3563419,,,
openai/universe,python,https://github.com/openai/universe.git,3564430,,,
wzpan/dingdang-robot,python,https://github.com/wzpan/dingdang-robot.git,3564432,,,
ericoporto/fgmk,python,https://github.com/ericoporto/fgmk.git,3565337,,,
brmson/dataset-sts,python,https://github.com/brmson/dataset-sts.git,3568236,,,
charlesshang/tffrcnn,python,https://github.com/charlesshang/tffrcnn.git,3569954,,,
ahangchen/gdlnotes,python,https://github.com/ahangchen/gdlnotes.git,3571784,,,
zhreshold/mxnet-ssd,python,https://github.com/zhreshold/mxnet-ssd.git,3571787,,,
cbfinn/gps,python,https://github.com/cbfinn/gps.git,3571792,,,
spencerdodd/kernelpop,python,https://github.com/spencerdodd/kernelpop.git,3574429,,,
rll/rllab,python,https://github.com/rll/rllab.git,3581901,,,
drsleep/tensorflow-deeplab-resnet,python,https://github.com/drsleep/tensorflow-deeplab-resnet.git,3581903,,,
jiaxuanyou/graph-generation,python,https://github.com/jiaxuanyou/graph-generation.git,3587123,,,
pogodevorg/pgoapi,python,https://github.com/pogodevorg/pgoapi.git,3588470,,,
sabri-zaki/easy_hack,python,https://github.com/sabri-zaki/easy_hack.git,3589435,,,
wiseodd/generative-models,python,https://github.com/wiseodd/generative-models.git,3592654,,,
aploium/zmirror,python,https://github.com/aploium/zmirror.git,3592656,,,
gauravbh1010tt/deeplearn,python,https://github.com/gauravbh1010tt/deeplearn.git,3592658,,,
dingdang-robot/dingdang-robot,python,https://github.com/dingdang-robot/dingdang-robot.git,3593601,,,
tensorflow/nmt,python,https://github.com/tensorflow/nmt.git,3594540,,,
neteasegame/atx,python,https://github.com/neteasegame/atx.git,3595865,,,
haarnoja/sac,python,https://github.com/haarnoja/sac.git,3595874,,,
allenai/bi-att-flow,python,https://github.com/allenai/bi-att-flow.git,3596907,,,
anki/cozmo-python-sdk,python,https://github.com/anki/cozmo-python-sdk.git,3596918,,,
ishikota/pypokerengine,python,https://github.com/ishikota/pypokerengine.git,3596934,,,
shibing624/parrots,python,https://github.com/shibing624/parrots.git,3597135,,,
ansible/ansible-container,python,https://github.com/ansible/ansible-container.git,3597974,,,
rjt1990/pyflux,python,https://github.com/rjt1990/pyflux.git,3597976,,,
khronosgroup/gltf-blender-exporter,python,https://github.com/khronosgroup/gltf-blender-exporter.git,3599299,,,
quantos-org/jaqs,python,https://github.com/quantos-org/jaqs.git,3601756,,,
ekultek/zeus-scanner,python,https://github.com/ekultek/zeus-scanner.git,3604290,,,
rasahq/rasa_core,python,https://github.com/rasahq/rasa_core.git,3607828,,,
vfaronov/httpolice,python,https://github.com/vfaronov/httpolice.git,3610136,,,
lbryio/torba,python,https://github.com/lbryio/torba.git,3610147,,,
baidu/dureader,python,https://github.com/baidu/dureader.git,3611178,,,
guanfuchen/semseg,python,https://github.com/guanfuchen/semseg.git,3611182,,,
fossasia/open-event-legacy,python,https://github.com/fossasia/open-event-legacy.git,3613622,,,
hubertroy/leetcode,python,https://github.com/hubertroy/leetcode.git,3614633,,,
ircama/elm327-emulator,python,https://github.com/ircama/elm327-emulator.git,3614814,,,
chris-annin/ar2,python,https://github.com/chris-annin/ar2.git,3615895,,,
guyzmo/git-repo,python,https://github.com/guyzmo/git-repo.git,3616995,,,
typeintandem/tandem,python,https://github.com/typeintandem/tandem.git,3616998,,,
roytseng-tw/detectron.pytorch,python,https://github.com/roytseng-tw/detectron.pytorch.git,3618079,,,
w-digital-scanner/w9scan,python,https://github.com/w-digital-scanner/w9scan.git,3618084,,,
wramberg/terminalview,python,https://github.com/wramberg/terminalview.git,3618085,,,
robinhood/thorn,python,https://github.com/robinhood/thorn.git,3618093,,,
robotlocomotion/pytorch-dense-correspondence,python,https://github.com/robotlocomotion/pytorch-dense-correspondence.git,3620466,,,
salesforce/decanlp,python,https://github.com/salesforce/decanlp.git,3622016,,,
openai/roboschool,python,https://github.com/openai/roboschool.git,3622032,,,
cbfinn/maml_rl,python,https://github.com/cbfinn/maml_rl.git,3623210,,,
joxeankoret/pigaios,python,https://github.com/joxeankoret/pigaios.git,3623211,,,
linkedin/kafka-tools,python,https://github.com/linkedin/kafka-tools.git,3625837,,,
gnes-ai/gnes,python,https://github.com/gnes-ai/gnes.git,3626669,,,
xvjiarui/gcnet,python,https://github.com/xvjiarui/gcnet.git,3628023,,,
eladhoffer/seq2seq.pytorch,python,https://github.com/eladhoffer/seq2seq.pytorch.git,3628039,,,
zhaoolee/starsandclown,python,https://github.com/zhaoolee/starsandclown.git,3629315,,,
bgshih/aster,python,https://github.com/bgshih/aster.git,3629332,,,
jakespringer/angr_ctf,python,https://github.com/jakespringer/angr_ctf.git,3629355,,,
dentosal/python-sc2,python,https://github.com/dentosal/python-sc2.git,3630804,,,
princewen/tensorflow_practice,python,https://github.com/princewen/tensorflow_practice.git,3632297,,,
alanhamlett/pip-update-requirements,python,https://github.com/alanhamlett/pip-update-requirements.git,3633551,,,
ousret/charset_normalizer,python,https://github.com/ousret/charset_normalizer.git,3633980,,,
china-testing/bazi,python,https://github.com/china-testing/bazi.git,3634854,,,
thu-ml/zhusuan,python,https://github.com/thu-ml/zhusuan.git,3636091,,,
kennethreitz-archive/requests3,python,https://github.com/kennethreitz-archive/requests3.git,3636095,,,
corkami/collisions,python,https://github.com/corkami/collisions.git,3636098,,,
mwielgoszewski/doorman,python,https://github.com/mwielgoszewski/doorman.git,3636106,,,
jack-lee-hiter/algorithmsbypython,python,https://github.com/jack-lee-hiter/algorithmsbypython.git,3637633,,,
pytorch/tnt,python,https://github.com/pytorch/tnt.git,3637639,,,
chainer/chainercv,python,https://github.com/chainer/chainercv.git,3639126,,,
neubig/nn4nlp-code,python,https://github.com/neubig/nn4nlp-code.git,3639131,,,
