repo_name,language,clone_url,github_id,created_at,topics,stars
jhipster/jhipster-registry,typescript,https://github.com/jhipster/jhipster-registry.git,3265069,,,
mcodex/react-native-sensitive-info,typescript,https://github.com/mcodex/react-native-sensitive-info.git,3268965,,,
apicurio/apicurio-studio,typescript,https://github.com/apicurio/apicurio-studio.git,3273276,,,
microsoft/vscode-java-debug,typescript,https://github.com/microsoft/vscode-java-debug.git,3273322,,,
software-mansion/react-native-gesture-handler,typescript,https://github.com/software-mansion/react-native-gesture-handler.git,3275766,,,
software-mansion/react-native-screens,typescript,https://github.com/software-mansion/react-native-screens.git,3277676,,,
openvidu/openvidu,typescript,https://github.com/openvidu/openvidu.git,3279818,,,
ionic-team/capacitor,typescript,https://github.com/ionic-team/capacitor.git,3341822,,,
expo/expo,typescript,https://github.com/expo/expo.git,3374198,,,
justjake/quickjs-emscripten,typescript,https://github.com/justjake/quickjs-emscripten.git,3392131,,,
crauzer/obsidian,typescript,https://github.com/crauzer/obsidian.git,3453493,,,
dotnet/try,typescript,https://github.com/dotnet/try.git,3460776,,,
korzhcom/easydata,typescript,https://github.com/korzhcom/easydata.git,3462350,,,
chrismaltby/gb-studio,typescript,https://github.com/chrismaltby/gb-studio.git,3495277,,,
tdurieux/anonymous_github,typescript,https://github.com/tdurieux/anonymous_github.git,3697231,,,
ohmyform/ohmyform,typescript,https://github.com/ohmyform/ohmyform.git,3714297,,,
mil-tokyo/webdnn,typescript,https://github.com/mil-tokyo/webdnn.git,3720176,,,
onesignal/react-native-onesignal,typescript,https://github.com/onesignal/react-native-onesignal.git,3802614,,,
rive-app/rive-wasm,typescript,https://github.com/rive-app/rive-wasm.git,3899220,,,
xgi/houdoku,typescript,https://github.com/xgi/houdoku.git,3932424,,,
rpg-paper-maker/rpg-paper-maker,typescript,https://github.com/rpg-paper-maker/rpg-paper-maker.git,3942818,,,
maartenbreddels/ipyvolume,typescript,https://github.com/maartenbreddels/ipyvolume.git,3962533,,,
wowup/wowup,typescript,https://github.com/wowup/wowup.git,3981016,,,
superwerker/superwerker,typescript,https://github.com/superwerker/superwerker.git,3982045,,,
blackholll/loonflow,typescript,https://github.com/blackholll/loonflow.git,3983500,,,
orchest/orchest,typescript,https://github.com/orchest/orchest.git,3984942,,,
blakeblackshear/frigate,typescript,https://github.com/blakeblackshear/frigate.git,3988015,,,
yuche/gouqi,typescript,https://github.com/yuche/gouqi.git,4005531,,,
propelml/propel,typescript,https://github.com/propelml/propel.git,4009227,,,
nathanwalker/angular-seed-advanced,typescript,https://github.com/nathanwalker/angular-seed-advanced.git,4009244,,,
ispring/webglobe,typescript,https://github.com/ispring/webglobe.git,4009299,,,
brookshi/hitchhiker,typescript,https://github.com/brookshi/hitchhiker.git,4012097,,,
bitrinjani/r2,typescript,https://github.com/bitrinjani/r2.git,4012103,,,
tensorflow/tfjs-core,typescript,https://github.com/tensorflow/tfjs-core.git,4014616,,,
denoland/deno_std,typescript,https://github.com/denoland/deno_std.git,4014626,,,
tensorflow/tfjs-node,typescript,https://github.com/tensorflow/tfjs-node.git,4014627,,,
